travelCode,User_ID_x,Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date,User_ID_y,Hotel_Name,Arrival_place,Hotel_stay,Hotel_per_day_price,Check-in_x,Hotel_TotalPrice,User_ID,Check-in_y,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price,car_booking
1048,9,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,17/09/2020,9,Hotel A,Florianopolis (SC),3,313.02,09/17/2020,939.06,9.0,09/17/2020,Johnside,Sarahhaven,Luxury,Avis,3.0,334.0,Full-to-Full,Cancelled,7976.0,1
1055,9,Recife (PE),Salvador (BH),economic,861.68,2.05,788.55,Rainbow,11/05/2020,9,Hotel K,Salvador (BH),3,263.41,11/05/2020,790.23,9.0,11/05/2020,West Melissa,Mayshire,SUV,Budget,4.0,382.0,Partial,Pending,5367.0,1
1151,10,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1183.57,1.55,597.61,CloudFy,25/06/2020,10,Hotel CB,Rio de Janeiro (RJ),4,165.99,06/25/2020,663.96,10.0,06/25/2020,Lake Nicholasland,Lake Matthew,Hatchback,Avis,1.0,87.0,Partial,Confirmed,994.0,1
1157,10,Recife (PE),Brasilia (DF),premium,573.61,0.63,242.21,CloudFy,08/06/2020,10,Hotel BP,Brasilia (DF),3,247.62,08/06/2020,742.86,10.0,08/06/2020,West Penny,North Danielbury,SUV,Enterprise,2.0,438.0,Prepaid,Cancelled,5855.0,1
1173,10,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,26/11/2020,10,Hotel A,Florianopolis (SC),4,313.02,11/26/2020,1252.08,10.0,11/26/2020,West Patrick,East Bryanbury,Luxury,Sixt,1.0,115.0,Partial,Pending,3276.0,1
1180,11,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,24/10/2019,11,Hotel A,Florianopolis (SC),2,313.02,10/24/2019,626.04,11.0,10/24/2019,East Jennifer,Port Tiffanyview,Sedan,Hertz,2.0,86.0,Prepaid,Pending,1346.0,1
1213,11,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,06/11/2020,11,Hotel BP,Brasilia (DF),1,247.62,06/11/2020,247.62,11.0,06/11/2020,West Nathaniel,Claudiatown,Sedan,Budget,5.0,116.0,Full-to-Full,Confirmed,1823.0,1
1255,11,Recife (PE),Sao Paulo (SP),firstClass,954.78,1.26,486.52,FlyingDrops,04/01/2021,11,Hotel AF,Sao Paulo (SP),1,139.1,04/01/2021,139.1,11.0,04/01/2021,Villanuevachester,South David,Sedan,Hertz,3.0,187.0,Partial,Pending,2412.0,1
1276,11,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,26/08/2021,11,Hotel A,Florianopolis (SC),1,313.02,08/26/2021,313.02,11.0,08/26/2021,Lake Nicolechester,Christopherhaven,Luxury,Budget,2.0,68.0,Full-to-Full,Confirmed,2492.0,1
1283,11,Brasilia (DF),Sao Paulo (SP),economic,538.95,0.67,257.81,CloudFy,14/10/2021,11,Hotel AF,Sao Paulo (SP),2,139.1,10/14/2021,278.2,11.0,10/14/2021,Port Pedro,East Danielle,Luxury,Enterprise,1.0,140.0,Prepaid,Cancelled,3786.0,1
1388,12,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,13/02/2020,12,Hotel AU,Recife (PE),1,312.83,02/13/2020,312.83,12.0,02/13/2020,Tinaton,Loristad,Luxury,Hertz,1.0,398.0,Prepaid,Cancelled,8921.0,1
1400,12,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,05/07/2020,12,Hotel K,Salvador (BH),1,263.41,05/07/2020,263.41,12.0,05/07/2020,Gonzalesstad,Vasquezview,Sedan,Hertz,1.0,385.0,Partial,Pending,4231.0,1
1407,12,Brasilia (DF),Florianopolis (SC),premium,1189.32,1.66,637.56,CloudFy,25/06/2020,12,Hotel A,Florianopolis (SC),1,313.02,06/25/2020,313.02,12.0,06/25/2020,Lake Terrifurt,South Garyburgh,Sedan,Sixt,3.0,128.0,Partial,Cancelled,1840.0,1
1412,12,Recife (PE),Natal (RN),premium,488.73,0.58,222.67,Rainbow,30/07/2020,12,Hotel BD,Natal (RN),4,242.88,07/30/2020,971.52,12.0,07/30/2020,West Bobbyton,Lake Joshuafurt,SUV,Enterprise,1.0,225.0,Prepaid,Confirmed,3215.0,1
1420,12,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,24/09/2020,12,Hotel CB,Rio de Janeiro (RJ),1,165.99,09/24/2020,165.99,12.0,09/24/2020,Dawnborough,South Victoriaside,SUV,Hertz,2.0,351.0,Prepaid,Cancelled,4825.0,1
1429,12,Recife (PE),Aracaju (SE),economic,684.88,1.44,555.74,CloudFy,26/11/2020,12,Hotel Z,Aracaju (SE),3,208.04,11/26/2020,624.12,12.0,11/26/2020,New Ashleytown,Hernandezmouth,Sedan,Hertz,1.0,221.0,Full-to-Full,Cancelled,2609.0,1
1505,13,Aracaju (SE),Recife (PE),premium,875.41,1.44,555.74,Rainbow,01/07/2021,13,Hotel AU,Recife (PE),2,312.83,01/07/2021,625.66,13.0,01/07/2021,Lake John,Tylerberg,Hatchback,Budget,2.0,208.0,Prepaid,Confirmed,2001.0,1
1576,13,Aracaju (SE),Brasilia (DF),firstClass,957.68,1.11,425.98,CloudFy,19/05/2022,13,Hotel BP,Brasilia (DF),4,247.62,05/19/2022,990.48,13.0,05/19/2022,West William,Tonistad,Hatchback,Avis,2.0,411.0,Partial,Confirmed,3628.0,1
1587,13,Brasilia (DF),Campo Grande (MS),premium,851.15,0.72,277.7,Rainbow,08/04/2022,13,Hotel BW,Campo Grande (MS),3,60.39,08/04/2022,181.17,13.0,08/04/2022,Matthewstad,North Rebekah,SUV,Sixt,4.0,309.0,Full-to-Full,Pending,4510.0,1
1618,14,Recife (PE),Salvador (BH),firstClass,1596.61,2.05,788.55,FlyingDrops,10/03/2019,14,Hotel K,Salvador (BH),2,263.41,10/03/2019,526.82,14.0,10/03/2019,South Jaredbury,Ginashire,Luxury,Sixt,1.0,243.0,Partial,Cancelled,5856.0,1
1666,15,Aracaju (SE),Recife (PE),firstClass,1124.11,1.44,555.74,CloudFy,28/11/2019,15,Hotel AU,Recife (PE),1,312.83,11/28/2019,312.83,15.0,11/28/2019,South Donaldshire,Davidside,Luxury,Avis,2.0,181.0,Full-to-Full,Pending,4766.0,1
1676,15,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,02/06/2020,15,Hotel Z,Aracaju (SE),1,208.04,02/06/2020,208.04,15.0,02/06/2020,Jillport,Matafurt,Hatchback,Sixt,5.0,228.0,Full-to-Full,Pending,2313.0,1
1737,15,Recife (PE),Aracaju (SE),premium,932.22,1.44,555.74,Rainbow,04/08/2021,15,Hotel Z,Aracaju (SE),3,208.04,04/08/2021,624.12,15.0,04/08/2021,Gonzalezhaven,South Micheal,Sedan,Avis,2.0,187.0,Full-to-Full,Confirmed,2337.0,1
1747,15,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,17/06/2021,15,Hotel Z,Aracaju (SE),3,208.04,06/17/2021,624.12,15.0,06/17/2021,Michaelchester,West Larryberg,Hatchback,Enterprise,5.0,103.0,Partial,Pending,1287.0,1
1751,15,Brasilia (DF),Campo Grande (MS),premium,851.15,0.72,277.7,Rainbow,15/07/2021,15,Hotel BW,Campo Grande (MS),4,60.39,07/15/2021,241.56,15.0,07/15/2021,East Ryan,Morganside,Hatchback,Hertz,5.0,272.0,Partial,Confirmed,2667.0,1
1812,16,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,14/11/2019,16,Hotel Z,Aracaju (SE),4,208.04,11/14/2019,832.16,16.0,11/14/2019,Danielton,Harrishaven,SUV,Hertz,2.0,328.0,Partial,Cancelled,4528.0,1
1843,16,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,18/06/2020,16,Hotel BD,Natal (RN),1,242.88,06/18/2020,242.88,16.0,06/18/2020,Danielbury,East Hannahstad,Luxury,Enterprise,3.0,60.0,Full-to-Full,Confirmed,2496.0,1
1859,16,Recife (PE),Florianopolis (SC),economic,761.2,1.76,676.53,CloudFy,10/08/2020,16,Hotel A,Florianopolis (SC),3,313.02,10/08/2020,939.06,16.0,10/08/2020,Curtismouth,Ericfurt,Sedan,Hertz,2.0,434.0,Prepaid,Cancelled,4827.0,1
1869,16,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,17/12/2020,16,Hotel A,Florianopolis (SC),2,313.02,12/17/2020,626.04,16.0,12/17/2020,South Scottbury,Youngstad,Sedan,Hertz,2.0,383.0,Prepaid,Pending,4303.0,1
1883,16,Recife (PE),Sao Paulo (SP),economic,545.95,1.26,486.52,Rainbow,25/03/2021,16,Hotel AF,Sao Paulo (SP),4,139.1,03/25/2021,556.4,16.0,03/25/2021,Lake Gabriel,Port Steventown,Sedan,Sixt,4.0,173.0,Full-to-Full,Confirmed,2333.0,1
1899,16,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,15/07/2021,16,Hotel K,Salvador (BH),4,263.41,07/15/2021,1053.64,16.0,07/15/2021,Raymouth,South David,Hatchback,Hertz,3.0,205.0,Partial,Cancelled,2019.0,1
1908,16,Recife (PE),Rio de Janeiro (RJ),economic,910.7,2.3,885.57,CloudFy,16/09/2021,16,Hotel CB,Rio de Janeiro (RJ),2,165.99,09/16/2021,331.98,16.0,09/16/2021,West Margaret,Johnsonshire,Sedan,Avis,4.0,463.0,Full-to-Full,Cancelled,5227.0,1
1948,16,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1189.86,1.55,597.61,Rainbow,23/06/2022,16,Hotel CB,Rio de Janeiro (RJ),1,165.99,06/23/2022,165.99,16.0,06/23/2022,West Bryan,Lake Cynthiashire,Sedan,Enterprise,4.0,233.0,Partial,Pending,2932.0,1
1978,17,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,23/01/2020,17,Hotel BD,Natal (RN),1,242.88,01/23/2020,242.88,17.0,01/23/2020,South Richard,Bentleyview,Hatchback,Sixt,1.0,166.0,Prepaid,Pending,1616.0,1
2160,19,Aracaju (SE),Salvador (BH),premium,1289.05,2.16,830.86,Rainbow,04/02/2020,19,Hotel K,Salvador (BH),1,263.41,04/02/2020,263.41,19.0,04/02/2020,East Jasonfort,Kennethshire,Hatchback,Sixt,5.0,405.0,Prepaid,Confirmed,3737.0,1
2209,19,Recife (PE),Sao Paulo (SP),firstClass,980.83,1.26,486.52,Rainbow,03/11/2021,19,Hotel AF,Sao Paulo (SP),3,139.1,03/11/2021,417.3,19.0,03/11/2021,Crawfordland,Barrytown,SUV,Hertz,3.0,211.0,Partial,Cancelled,3249.0,1
2213,19,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,04/08/2021,19,Hotel K,Salvador (BH),3,263.41,04/08/2021,790.23,19.0,04/08/2021,Jefferyland,East Jonathan,Sedan,Sixt,1.0,68.0,Partial,Confirmed,1072.0,1
2272,20,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,22/10/2020,20,Hotel BD,Natal (RN),4,242.88,10/22/2020,971.52,20.0,10/22/2020,Taylorport,Nguyenmouth,Luxury,Budget,5.0,368.0,Partial,Pending,8924.0,1
2327,21,Recife (PE),Rio de Janeiro (RJ),firstClass,1612.39,2.3,885.57,CloudFy,21/05/2020,21,Hotel CB,Rio de Janeiro (RJ),2,165.99,05/21/2020,331.98,21.0,05/21/2020,East Emily,West Christopher,Luxury,Hertz,1.0,402.0,Prepaid,Pending,9014.0,1
2387,21,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,15/07/2021,21,Hotel K,Salvador (BH),3,263.41,07/15/2021,790.23,21.0,07/15/2021,Jenniferborough,North Janice,Hatchback,Enterprise,5.0,191.0,Prepaid,Confirmed,1999.0,1
2396,21,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,16/09/2021,21,Hotel CB,Rio de Janeiro (RJ),3,165.99,09/16/2021,497.97,21.0,09/16/2021,New Michael,New Courtneyport,Luxury,Enterprise,5.0,123.0,Prepaid,Cancelled,4055.0,1
2408,21,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,12/09/2021,21,Hotel A,Florianopolis (SC),3,313.02,12/09/2021,939.06,21.0,12/09/2021,Andreaview,New Marystad,Sedan,Avis,2.0,356.0,Full-to-Full,Pending,4032.0,1
2414,21,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,20/01/2022,21,Hotel Z,Aracaju (SE),1,208.04,01/20/2022,208.04,21.0,01/20/2022,Markstad,East Ashleybury,Hatchback,Enterprise,5.0,193.0,Partial,Cancelled,2010.0,1
2422,21,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,17/03/2022,21,Hotel BD,Natal (RN),3,242.88,03/17/2022,728.64,21.0,03/17/2022,Carolshire,Davisberg,Hatchback,Budget,4.0,299.0,Partial,Confirmed,2821.0,1
2450,21,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,29/09/2022,21,Hotel CB,Rio de Janeiro (RJ),3,165.99,09/29/2022,497.97,21.0,09/29/2022,Patrickton,Nicholasside,Luxury,Avis,4.0,139.0,Prepaid,Cancelled,4199.0,1
2465,21,Recife (PE),Aracaju (SE),premium,932.22,1.44,555.74,Rainbow,01/12/2023,21,Hotel Z,Aracaju (SE),1,208.04,01/12/2023,208.04,21.0,01/12/2023,Jacquelineshire,West Kaylaton,Hatchback,Enterprise,5.0,203.0,Partial,Pending,2095.0,1
2467,21,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,26/01/2023,21,Hotel AU,Recife (PE),1,312.83,01/26/2023,312.83,21.0,01/26/2023,West Thomas,East Kimchester,Sedan,Enterprise,1.0,65.0,Full-to-Full,Pending,1065.0,1
2483,21,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,18/05/2023,21,Hotel BW,Campo Grande (MS),1,60.39,05/18/2023,60.39,21.0,05/18/2023,Ryanchester,Matthewbury,Hatchback,Enterprise,2.0,104.0,Prepaid,Pending,1166.0,1
2523,22,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,30/04/2020,22,Hotel K,Salvador (BH),3,263.41,04/30/2020,790.23,22.0,04/30/2020,Calebmouth,New Tyler,SUV,Enterprise,5.0,112.0,Partial,Pending,2210.0,1
2534,22,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1189.86,1.55,597.61,Rainbow,16/07/2020,22,Hotel CB,Rio de Janeiro (RJ),4,165.99,07/16/2020,663.96,22.0,07/16/2020,Jonathanville,Lake Scotthaven,Sedan,Sixt,5.0,437.0,Prepaid,Pending,5061.0,1
2556,22,Recife (PE),Sao Paulo (SP),economic,545.95,1.26,486.52,Rainbow,17/12/2020,22,Hotel AF,Sao Paulo (SP),4,139.1,12/17/2020,556.4,22.0,12/17/2020,Johnsonfort,Duranfurt,SUV,Sixt,2.0,481.0,Prepaid,Confirmed,6395.0,1
2582,22,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,17/06/2021,22,Hotel AU,Recife (PE),4,312.83,06/17/2021,1251.32,22.0,06/17/2021,Lake Jeromehaven,Michaelhaven,Sedan,Avis,4.0,209.0,Prepaid,Cancelled,2687.0,1
2608,22,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,16/12/2021,22,Hotel A,Florianopolis (SC),2,313.02,12/16/2021,626.04,22.0,12/16/2021,Port Amanda,Sarahmouth,Sedan,Budget,4.0,271.0,Full-to-Full,Pending,3317.0,1
2610,22,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,30/12/2021,22,Hotel BD,Natal (RN),3,242.88,12/30/2021,728.64,22.0,12/30/2021,West Joshuafort,Lake Andrewview,Luxury,Enterprise,2.0,93.0,Prepaid,Pending,2984.0,1
2761,23,Recife (PE),Rio de Janeiro (RJ),economic,908.93,2.3,885.57,Rainbow,17/03/2022,23,Hotel CB,Rio de Janeiro (RJ),1,165.99,03/17/2022,165.99,23.0,03/17/2022,Richardsonhaven,Jeffreymouth,Luxury,Hertz,3.0,173.0,Partial,Cancelled,4758.0,1
2784,24,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,11/07/2019,24,Hotel Z,Aracaju (SE),2,208.04,11/07/2019,416.08,24.0,11/07/2019,Brandonchester,Johnsonbury,Luxury,Budget,5.0,246.0,Full-to-Full,Cancelled,6518.0,1
2828,25,Aracaju (SE),Florianopolis (SC),economic,852.18,2.1,808.85,Rainbow,28/11/2019,25,Hotel A,Florianopolis (SC),3,313.02,11/28/2019,939.06,25.0,11/28/2019,East Robertshire,New Collin,Hatchback,Hertz,5.0,218.0,Partial,Pending,2205.0,1
2845,25,Recife (PE),Brasilia (DF),firstClass,721.93,0.63,242.21,Rainbow,26/03/2020,25,Hotel BP,Brasilia (DF),2,247.62,03/26/2020,495.24,25.0,03/26/2020,Mendozashire,North Katie,Hatchback,Hertz,1.0,230.0,Partial,Confirmed,2108.0,1
2851,25,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,05/07/2020,25,Hotel Z,Aracaju (SE),2,208.04,05/07/2020,416.08,25.0,05/07/2020,Kristahaven,South John,SUV,Enterprise,5.0,206.0,Prepaid,Confirmed,3353.0,1
2863,25,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,30/07/2020,25,Hotel A,Florianopolis (SC),2,313.02,07/30/2020,626.04,25.0,07/30/2020,Port Brian,East Reneeview,Sedan,Hertz,2.0,217.0,Partial,Cancelled,2655.0,1
2883,25,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,17/12/2020,25,Hotel K,Salvador (BH),3,263.41,12/17/2020,790.23,25.0,12/17/2020,Bushmouth,Angelatown,Sedan,Enterprise,3.0,181.0,Partial,Pending,2358.0,1
2884,25,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,24/12/2020,25,Hotel BW,Campo Grande (MS),1,60.39,12/24/2020,60.39,25.0,12/24/2020,Karenside,Lake Stevenland,Luxury,Avis,3.0,235.0,Partial,Cancelled,5980.0,1
