travelCode,User_ID,Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date,Hotel_Name,Arrival_place,Hotel_stay,Hotel_per_day_price,Check_in,Hotel_TotalPrice,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price,car_rental_status
60888,587,Campo Grande (MS),Aracaju (SE),firstClass,1473.41,1.69,650.1,FlyingDrops,2023-02-02,Hotel Z,Aracaju (SE),3,208.04,2023-02-02,624.12,Tracyhaven,Bensonville,SUV,Sixt,5.0,105.0,Partial,Pending,2151.0,1
127598,1259,Florianopolis (SC),Salvador (BH),premium,1367.88,2.44,937.77,Rainbow,2020-04-23,Hotel K,Salvador (BH),4,263.41,2020-04-23,1053.64,Fowlermouth,Marcusmouth,Sedan,Sixt,4.0,190.0,Full-to-Full,Confirmed,2523.0,1
84193,826,Natal (RN),Recife (PE),premium,579.62,0.58,222.67,Rainbow,2020-01-30,Hotel AU,Recife (PE),4,312.83,2020-01-30,1251.32,Cartermouth,East Hannah,Luxury,Budget,1.0,255.0,Prepaid,Confirmed,6097.0,1
29643,283,Brasilia (DF),Florianopolis (SC),premium,1189.32,1.66,637.56,CloudFy,2020-06-02,Hotel A,Florianopolis (SC),4,313.02,2020-02-06,1252.08,,,,,,,,,,0
124191,1227,Florianopolis (SC),Aracaju (SE),premium,1149.53,2.1,808.85,CloudFy,2020-12-17,Hotel Z,Aracaju (SE),4,208.04,2020-12-17,832.16,,,,,,,,,,0
17367,174,Aracaju (SE),Rio de Janeiro (RJ),premium,1007.72,1.55,597.61,CloudFy,2020-10-22,Hotel CB,Rio de Janeiro (RJ),3,165.99,2020-10-22,497.97,Sylviaside,Jamieton,Luxury,Sixt,5.0,497.0,Partial,Pending,11527.0,1
116183,1153,Florianopolis (SC),Brasilia (DF),firstClass,1087.18,1.66,637.56,Rainbow,2020-04-23,Hotel BP,Brasilia (DF),4,247.62,2020-04-23,990.48,,,,,,,,,,0
20165,195,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,2021-12-23,Hotel BW,Campo Grande (MS),1,60.39,2021-12-23,60.39,,,,,,,,,,0
115937,1150,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,624.89,1.21,466.3,FlyingDrops,2022-05-19,Hotel CB,Rio de Janeiro (RJ),1,165.99,2022-05-19,165.99,,,,,,,,,,0
10671,107,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,2020-02-01,Hotel BW,Campo Grande (MS),2,60.39,2020-01-02,120.78,Lake Kayleetown,South Stephanie,Luxury,Enterprise,2.0,275.0,Prepaid,Confirmed,6650.0,1
31243,299,Recife (PE),Salvador (BH),firstClass,1484.94,2.05,788.55,CloudFy,2020-04-06,Hotel K,Salvador (BH),1,263.41,2020-06-04,263.41,Port Travis,Mirandaburgh,Hatchback,Hertz,3.0,206.0,Full-to-Full,Pending,2034.0,1
80329,781,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,1.55,597.61,Rainbow,2021-01-04,Hotel CB,Rio de Janeiro (RJ),2,165.99,2021-04-01,331.98,,,,,,,,,,0
89627,884,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,2021-08-04,Hotel K,Salvador (BH),3,263.41,2021-04-08,790.23,,,,,,,,,,0
114561,1139,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,624.89,1.21,466.3,FlyingDrops,2021-11-18,Hotel CB,Rio de Janeiro (RJ),3,165.99,2021-11-18,497.97,Port Daniel,South Austin,Sedan,Budget,1.0,74.0,Full-to-Full,Cancelled,1133.0,1
60669,586,Campo Grande (MS),Florianopolis (SC),premium,1031.59,1.49,573.81,CloudFy,2021-07-15,Hotel A,Florianopolis (SC),2,313.02,2021-07-15,626.04,,,,,,,,,,0
123905,1225,Florianopolis (SC),Aracaju (SE),economic,819.41,2.1,808.85,Rainbow,2020-01-30,Hotel Z,Aracaju (SE),3,208.04,2020-01-30,624.12,,,,,,,,,,0
52434,509,Campo Grande (MS),Rio de Janeiro (RJ),premium,1363.27,2.09,806.48,CloudFy,2020-07-30,Hotel CB,Rio de Janeiro (RJ),3,165.99,2020-07-30,497.97,Annehaven,Geraldland,Sedan,Sixt,1.0,353.0,Full-to-Full,Cancelled,3910.0,1
130707,1286,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,549.55,1.21,466.3,Rainbow,2021-08-26,Hotel CB,Rio de Janeiro (RJ),2,165.99,2021-08-26,331.98,Campbellmouth,South Jacob,Hatchback,Hertz,3.0,475.0,Full-to-Full,Cancelled,4171.0,1
99701,990,Florianopolis (SC),Recife (PE),premium,918.66,1.76,676.53,CloudFy,2020-12-03,Hotel AU,Recife (PE),2,312.83,2020-03-12,625.66,,,,,,,,,,0
58466,571,Campo Grande (MS),Sao Paulo (SP),premium,441.34,0.44,168.22,Rainbow,2019-07-11,Hotel AF,Sao Paulo (SP),4,139.1,2019-11-07,556.4,,,,,,,,,,0
80597,783,Natal (RN),Florianopolis (SC),premium,1165.99,1.84,709.37,CloudFy,2022-11-08,Hotel A,Florianopolis (SC),3,313.02,2022-08-11,939.06,,,,,,,,,,0
26345,253,Recife (PE),Aracaju (SE),firstClass,1300.81,1.44,555.74,FlyingDrops,2020-09-01,Hotel Z,Aracaju (SE),1,208.04,2020-01-09,208.04,West Heather,West Leah,Sedan,Avis,4.0,230.0,Partial,Pending,2895.0,1
124699,1231,Florianopolis (SC),Brasilia (DF),firstClass,1097.17,1.66,637.56,FlyingDrops,2021-01-07,Hotel BP,Brasilia (DF),1,247.62,2021-07-01,247.62,Nicoleland,Fowlerhaven,Hatchback,Sixt,2.0,224.0,Partial,Confirmed,2118.0,1
126841,1253,Florianopolis (SC),Rio de Janeiro (RJ),premium,481.42,1.21,466.3,Rainbow,2023-03-23,Hotel CB,Rio de Janeiro (RJ),3,165.99,2023-03-23,497.97,,,,,,,,,,0
10266,104,Brasilia (DF),Aracaju (SE),economic,721.2,1.11,425.98,Rainbow,2021-05-13,Hotel Z,Aracaju (SE),1,208.04,2021-05-13,208.04,Escobarbury,Hensonhaven,Luxury,Sixt,4.0,422.0,Prepaid,Cancelled,9886.0,1
25249,244,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,2020-04-16,Hotel AF,Sao Paulo (SP),4,139.1,2020-04-16,556.4,,,,,,,,,,0
77256,751,Sao Paulo (SP),Florianopolis (SC),firstClass,1684.14,1.46,562.14,CloudFy,2020-01-10,Hotel A,Florianopolis (SC),4,313.02,2020-10-01,1252.08,,,,,,,,,,0
100290,997,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,549.55,1.21,466.3,Rainbow,2020-05-03,Hotel CB,Rio de Janeiro (RJ),4,165.99,2020-03-05,663.96,Port Fernandofurt,North Stephanieville,Luxury,Enterprise,3.0,355.0,Full-to-Full,Cancelled,8375.0,1
61036,593,Campo Grande (MS),Salvador (BH),firstClass,1114.75,1.36,522.34,Rainbow,2019-05-12,Hotel K,Salvador (BH),4,263.41,2019-12-05,1053.64,Robinsontown,Chavezside,Sedan,Hertz,1.0,348.0,Prepaid,Cancelled,3871.0,1
18331,181,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,2020-12-11,Hotel CB,Rio de Janeiro (RJ),3,165.99,2020-11-12,497.97,East Jason,Stephenland,Hatchback,Enterprise,2.0,126.0,Partial,Cancelled,1342.0,1
51693,502,Campo Grande (MS),Recife (PE),firstClass,1262.23,1.39,535.4,FlyingDrops,2021-05-20,Hotel AU,Recife (PE),1,312.83,2021-05-20,312.83,,,,,,,,,,0
35865,342,Brasilia (DF),Rio de Janeiro (RJ),premium,457.95,0.48,183.37,CloudFy,2022-06-01,Hotel CB,Rio de Janeiro (RJ),1,165.99,2022-01-06,165.99,,,,,,,,,,0
122900,1218,Florianopolis (SC),Recife (PE),economic,674.52,1.76,676.53,CloudFy,2022-10-03,Hotel AU,Recife (PE),2,312.83,2022-03-10,625.66,North Larryberg,Nicholaston,Sedan,Sixt,1.0,382.0,Prepaid,Cancelled,4220.0,1
10507,106,Brasilia (DF),Sao Paulo (SP),premium,750.0,0.67,257.81,Rainbow,2019-10-10,Hotel AF,Sao Paulo (SP),2,139.1,2019-10-10,278.2,,,,,,,,,,0
127683,1259,Florianopolis (SC),Salvador (BH),premium,1311.38,2.44,937.77,CloudFy,2021-09-12,Hotel K,Salvador (BH),1,263.41,2021-12-09,263.41,North Haleyside,Allenton,SUV,Hertz,5.0,262.0,Full-to-Full,Pending,4034.0,1
102211,1013,Florianopolis (SC),Salvador (BH),premium,1367.88,2.44,937.77,Rainbow,2020-10-22,Hotel K,Salvador (BH),4,263.41,2020-10-22,1053.64,Banksstad,Deborahchester,SUV,Hertz,1.0,333.0,Partial,Pending,4517.0,1
19479,189,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,2023-05-25,Hotel BW,Campo Grande (MS),4,60.39,2023-05-25,241.56,,,,,,,,,,0
70440,683,Sao Paulo (SP),Brasilia (DF),economic,389.47,0.67,257.81,CloudFy,2021-07-10,Hotel BP,Brasilia (DF),3,247.62,2021-10-07,742.86,Lake Lindsay,Suttonland,Hatchback,Hertz,1.0,103.0,Partial,Pending,1108.0,1
70061,678,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,2020-12-17,Hotel BP,Brasilia (DF),4,247.62,2020-12-17,990.48,Michaelville,Donaldfort,Luxury,Avis,5.0,404.0,Partial,Pending,9646.0,1
73182,710,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,2022-07-07,Hotel A,Florianopolis (SC),3,313.02,2022-07-07,939.06,Jadeville,Whitestad,Luxury,Sixt,5.0,357.0,Partial,Pending,8731.0,1
119811,1188,Florianopolis (SC),Brasilia (DF),premium,885.37,1.66,637.56,CloudFy,2022-04-28,Hotel BP,Brasilia (DF),4,247.62,2022-04-28,990.48,Charlestown,Carolynmouth,SUV,Hertz,2.0,358.0,Full-to-Full,Pending,4888.0,1
101621,1008,Florianopolis (SC),Brasilia (DF),firstClass,1127.36,1.66,637.56,CloudFy,2020-09-07,Hotel BP,Brasilia (DF),2,247.62,2020-07-09,495.24,,,,,,,,,,0
87456,864,Sao Paulo (SP),Campo Grande (MS),premium,438.74,0.44,168.22,Rainbow,2020-11-19,Hotel BW,Campo Grande (MS),2,60.39,2020-11-19,120.78,,,,,,,,,,0
97983,971,Florianopolis (SC),Recife (PE),economic,695.3,1.76,676.53,Rainbow,2020-08-13,Hotel AU,Recife (PE),1,312.83,2020-08-13,312.83,Tiffanyville,South Megan,Hatchback,Avis,4.0,219.0,Partial,Confirmed,2174.0,1
974,8,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,2022-08-25,Hotel A,Florianopolis (SC),1,313.02,2022-08-25,313.02,Ryanshire,Tannerberg,Sedan,Hertz,5.0,473.0,Prepaid,Cancelled,5417.0,1
36407,348,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,2019-10-24,Hotel BW,Campo Grande (MS),3,60.39,2019-10-24,181.17,,,,,,,,,,0
76612,745,Sao Paulo (SP),Brasilia (DF),premium,602.12,0.67,257.81,CloudFy,2020-02-13,Hotel BP,Brasilia (DF),4,247.62,2020-02-13,990.48,,,,,,,,,,0
106701,1060,Florianopolis (SC),Aracaju (SE),economic,819.41,2.1,808.85,Rainbow,2019-05-12,Hotel Z,Aracaju (SE),1,208.04,2019-12-05,208.04,,,,,,,,,,0
134386,1322,Florianopolis (SC),Rio de Janeiro (RJ),economic,313.62,1.21,466.3,CloudFy,2021-04-15,Hotel CB,Rio de Janeiro (RJ),1,165.99,2021-04-15,165.99,,,,,,,,,,0
128782,1269,Florianopolis (SC),Aracaju (SE),premium,1149.53,2.1,808.85,CloudFy,2021-01-07,Hotel Z,Aracaju (SE),4,208.04,2021-07-01,832.16,East Brandon,Brandonburgh,Luxury,Budget,2.0,363.0,Prepaid,Cancelled,8374.0,1
102871,1022,Florianopolis (SC),Aracaju (SE),premium,1149.53,2.1,808.85,CloudFy,2019-12-12,Hotel Z,Aracaju (SE),3,208.04,2019-12-12,624.12,North Cindyfort,Davidhaven,Luxury,Sixt,2.0,406.0,Partial,Confirmed,9262.0,1
23780,233,Recife (PE),Campo Grande (MS),economic,615.59,1.39,535.4,Rainbow,2020-02-27,Hotel BW,Campo Grande (MS),4,60.39,2020-02-27,241.56,,,,,,,,,,0
29117,278,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,2020-04-16,Hotel A,Florianopolis (SC),4,313.02,2020-04-16,1252.08,Contrerasstad,Charlesland,Sedan,Enterprise,3.0,341.0,Full-to-Full,Cancelled,3951.0,1
133521,1315,Florianopolis (SC),Rio de Janeiro (RJ),firstClass,549.55,1.21,466.3,Rainbow,2021-11-25,Hotel CB,Rio de Janeiro (RJ),1,165.99,2021-11-25,165.99,New Sonia,East Megan,SUV,Budget,5.0,120.0,Partial,Cancelled,2310.0,1
43694,428,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,2021-04-29,Hotel CB,Rio de Janeiro (RJ),2,165.99,2021-04-29,331.98,Allenberg,Bethland,Hatchback,Budget,4.0,193.0,Full-to-Full,Cancelled,1956.0,1
29221,279,Aracaju (SE),Florianopolis (SC),economic,852.18,2.1,808.85,Rainbow,2020-05-11,Hotel A,Florianopolis (SC),3,313.02,2020-11-05,939.06,North Deniseberg,Bakerbury,SUV,Hertz,1.0,408.0,Full-to-Full,Pending,5433.0,1
74492,723,Sao Paulo (SP),Recife (PE),firstClass,1464.89,1.26,486.52,FlyingDrops,2020-08-27,Hotel AU,Recife (PE),4,312.83,2020-08-27,1251.32,,,,,,,,,,0
123757,1224,Florianopolis (SC),Brasilia (DF),firstClass,1097.17,1.66,637.56,FlyingDrops,2020-03-19,Hotel BP,Brasilia (DF),2,247.62,2020-03-19,495.24,,,,,,,,,,0
55500,541,Campo Grande (MS),Natal (RN),economic,411.05,0.65,250.68,Rainbow,2021-07-29,Hotel BD,Natal (RN),2,242.88,2021-07-29,485.76,,,,,,,,,,0
29523,281,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,2022-06-10,Hotel Z,Aracaju (SE),2,208.04,2022-10-06,416.08,,,,,,,,,,0
25822,248,Aracaju (SE),Recife (PE),firstClass,1119.47,1.44,555.74,Rainbow,2021-03-18,Hotel AU,Recife (PE),1,312.83,2021-03-18,312.83,,,,,,,,,,0
32400,312,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,2020-02-13,Hotel BP,Brasilia (DF),3,247.62,2020-02-13,742.86,,,,,,,,,,0
113364,1126,Florianopolis (SC),Recife (PE),premium,918.66,1.76,676.53,CloudFy,2021-11-03,Hotel AU,Recife (PE),3,312.83,2021-03-11,938.49,,,,,,,,,,0
119914,1189,Florianopolis (SC),Brasilia (DF),economic,636.51,1.66,637.56,CloudFy,2020-12-31,Hotel BP,Brasilia (DF),3,247.62,2020-12-31,742.86,,,,,,,,,,0
54069,523,Campo Grande (MS),Florianopolis (SC),premium,1031.59,1.49,573.81,CloudFy,2020-10-29,Hotel A,Florianopolis (SC),3,313.02,2020-10-29,939.06,East Rachelside,Lake Isabellaton,Sedan,Hertz,5.0,268.0,Full-to-Full,Confirmed,3347.0,1
25222,244,Recife (PE),Florianopolis (SC),firstClass,1354.53,1.76,676.53,CloudFy,2019-10-10,Hotel A,Florianopolis (SC),2,313.02,2019-10-10,626.04,,,,,,,,,,0
90159,890,Florianopolis (SC),Brasilia (DF),economic,555.01,1.66,637.56,Rainbow,2019-05-12,Hotel BP,Brasilia (DF),3,247.62,2019-12-05,742.86,Lake Lori,South Amberview,Luxury,Enterprise,4.0,128.0,Full-to-Full,Pending,4010.0,1
58151,567,Campo Grande (MS),Rio de Janeiro (RJ),firstClass,1614.7,2.09,806.48,CloudFy,2020-07-05,Hotel CB,Rio de Janeiro (RJ),3,165.99,2020-05-07,497.97,North Alan,Liuborough,Luxury,Sixt,4.0,403.0,Partial,Confirmed,9502.0,1
72534,705,Natal (RN),Recife (PE),premium,579.62,0.58,222.67,Rainbow,2021-09-12,Hotel AU,Recife (PE),3,312.83,2021-12-09,938.49,,,,,,,,,,0
81753,796,Natal (RN),Sao Paulo (SP),firstClass,1142.29,0.85,327.55,FlyingDrops,2020-12-11,Hotel AF,Sao Paulo (SP),2,139.1,2020-11-12,278.2,,,,,,,,,,0
73490,713,Sao Paulo (SP),Florianopolis (SC),firstClass,1684.14,1.46,562.14,CloudFy,2020-07-16,Hotel A,Florianopolis (SC),3,313.02,2020-07-16,939.06,,,,,,,,,,0
385,3,Recife (PE),Campo Grande (MS),economic,615.59,1.39,535.4,Rainbow,2022-10-13,Hotel BW,Campo Grande (MS),2,60.39,2022-10-13,120.78,North Caseyburgh,South Carrie,SUV,Hertz,1.0,260.0,Full-to-Full,Confirmed,3631.0,1
39396,381,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,2020-02-07,Hotel BD,Natal (RN),3,242.88,2020-07-02,728.64,Timothyfort,Levifort,Sedan,Enterprise,4.0,219.0,Partial,Confirmed,2802.0,1
107284,1065,Florianopolis (SC),Aracaju (SE),firstClass,1468.03,2.1,808.85,CloudFy,2019-10-17,Hotel Z,Aracaju (SE),1,208.04,2019-10-17,208.04,West Jacquelineville,East Kenneth,Sedan,Sixt,5.0,338.0,Full-to-Full,Cancelled,4062.0,1
89587,884,Natal (RN),Rio de Janeiro (RJ),economic,774.57,1.55,595.03,CloudFy,2020-02-07,Hotel CB,Rio de Janeiro (RJ),3,165.99,2020-07-02,497.97,Juliastad,Michaelburgh,Sedan,Sixt,4.0,194.0,Partial,Cancelled,2562.0,1
108584,1077,Florianopolis (SC),Campo Grande (MS),firstClass,857.32,1.49,573.81,Rainbow,2021-04-03,Hotel BW,Campo Grande (MS),2,60.39,2021-03-04,120.78,,,,,,,,,,0
39702,384,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,2020-03-19,Hotel BW,Campo Grande (MS),2,60.39,2020-03-19,120.78,New Christinemouth,Laurieport,SUV,Enterprise,1.0,340.0,Prepaid,Pending,4603.0,1
7860,75,Recife (PE),Rio de Janeiro (RJ),firstClass,1706.89,2.3,885.57,FlyingDrops,2021-04-11,Hotel CB,Rio de Janeiro (RJ),2,165.99,2021-11-04,331.98,,,,,,,,,,0
73280,711,Natal (RN),Campo Grande (MS),premium,748.52,0.65,250.68,CloudFy,2021-03-25,Hotel BW,Campo Grande (MS),1,60.39,2021-03-25,60.39,Lake Dakotaburgh,Port Christine,Luxury,Hertz,2.0,264.0,Partial,Pending,6393.0,1
16889,168,Aracaju (SE),Recife (PE),firstClass,1119.47,1.44,555.74,Rainbow,2022-08-09,Hotel AU,Recife (PE),4,312.83,2022-09-08,1251.32,West Katherine,Torresport,Sedan,Hertz,2.0,116.0,Full-to-Full,Pending,1644.0,1
33819,325,Recife (PE),Aracaju (SE),firstClass,1166.1,1.44,555.74,CloudFy,2020-06-02,Hotel Z,Aracaju (SE),2,208.04,2020-02-06,416.08,West Sarahtown,Andersonmouth,Hatchback,Sixt,4.0,444.0,Full-to-Full,Cancelled,3964.0,1
134605,1323,Florianopolis (SC),Natal (RN),economic,726.95,1.84,709.37,CloudFy,2022-04-28,Hotel BD,Natal (RN),3,242.88,2022-04-28,728.64,,,,,,,,,,0
9052,91,Recife (PE),Rio de Janeiro (RJ),premium,1351.89,2.3,885.57,Rainbow,2020-05-28,Hotel CB,Rio de Janeiro (RJ),1,165.99,2020-05-28,165.99,Morrisfurt,Matthewmouth,Sedan,Budget,2.0,144.0,Full-to-Full,Cancelled,1909.0,1
2408,21,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,2021-09-12,Hotel A,Florianopolis (SC),3,313.02,2021-12-09,939.06,Andreaview,New Marystad,Sedan,Avis,2.0,356.0,Full-to-Full,Pending,4032.0,1
111273,1103,Florianopolis (SC),Brasilia (DF),economic,636.51,1.66,637.56,CloudFy,2020-07-23,Hotel BP,Brasilia (DF),2,247.62,2020-07-23,495.24,Matthewfort,Sydneychester,Sedan,Enterprise,2.0,186.0,Full-to-Full,Pending,2340.0,1
67288,652,Sao Paulo (SP),Natal (RN),firstClass,943.18,0.85,327.55,FlyingDrops,2020-03-09,Hotel BD,Natal (RN),4,242.88,2020-09-03,971.52,New Ericstad,Jessicamouth,Hatchback,Enterprise,1.0,318.0,Full-to-Full,Cancelled,2842.0,1
30224,288,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,2021-01-28,Hotel AF,Sao Paulo (SP),1,139.1,2021-01-28,139.1,,,,,,,,,,0
115110,1145,Florianopolis (SC),Brasilia (DF),premium,885.37,1.66,637.56,CloudFy,2022-03-02,Hotel BP,Brasilia (DF),3,247.62,2022-02-03,742.86,,,,,,,,,,0
7986,77,Brasilia (DF),Recife (PE),premium,568.38,0.63,242.21,CloudFy,2021-03-18,Hotel AU,Recife (PE),3,312.83,2021-03-18,938.49,Port Laura,Danahaven,Hatchback,Sixt,3.0,300.0,Partial,Cancelled,2776.0,1
7085,68,Aracaju (SE),Salvador (BH),premium,1289.05,2.16,830.86,Rainbow,2020-08-13,Hotel K,Salvador (BH),1,263.41,2020-08-13,263.41,Moyerton,New Michael,Hatchback,Sixt,1.0,389.0,Partial,Pending,3382.0,1
30528,290,Brasilia (DF),Sao Paulo (SP),economic,533.8,0.67,257.81,Rainbow,2021-11-18,Hotel AF,Sao Paulo (SP),3,139.1,2021-11-18,417.3,,,,,,,,,,0
121391,1204,Florianopolis (SC),Natal (RN),firstClass,1385.49,1.84,709.37,Rainbow,2019-03-10,Hotel BD,Natal (RN),4,242.88,2019-10-03,971.52,,,,,,,,,,0
39085,376,Aracaju (SE),Sao Paulo (SP),firstClass,752.27,1.02,392.76,Rainbow,2019-03-10,Hotel AF,Sao Paulo (SP),4,139.1,2019-10-03,556.4,Obrienmouth,Wendyshire,Luxury,Hertz,4.0,211.0,Prepaid,Confirmed,5668.0,1
47213,458,Campo Grande (MS),Natal (RN),premium,652.47,0.65,250.68,CloudFy,2020-10-22,Hotel BD,Natal (RN),3,242.88,2020-10-22,728.64,,,,,,,,,,0
38931,372,Aracaju (SE),Florianopolis (SC),firstClass,1515.79,2.1,808.85,CloudFy,2022-07-07,Hotel A,Florianopolis (SC),4,313.02,2022-07-07,1252.08,Port Michaelfurt,Williamville,SUV,Enterprise,3.0,440.0,Partial,Pending,5975.0,1
95535,943,Florianopolis (SC),Natal (RN),firstClass,1385.49,1.84,709.37,Rainbow,2019-12-12,Hotel BD,Natal (RN),4,242.88,2019-12-12,971.52,West James,West Stevenmouth,Luxury,Avis,1.0,209.0,Full-to-Full,Pending,5174.0,1
23587,230,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,1.55,597.61,Rainbow,2022-12-05,Hotel CB,Rio de Janeiro (RJ),4,165.99,2022-05-12,663.96,Saundersshire,South Christopherfurt,Sedan,Budget,2.0,326.0,Partial,Cancelled,3728.0,1
81010,788,Natal (RN),Florianopolis (SC),premium,1165.99,1.84,709.37,CloudFy,2021-08-07,Hotel A,Florianopolis (SC),3,313.02,2021-07-08,939.06,,,,,,,,,,0
134296,1321,Florianopolis (SC),Recife (PE),economic,674.52,1.76,676.53,CloudFy,2021-08-26,Hotel AU,Recife (PE),2,312.83,2021-08-26,625.66,Port Sara,Port Dianaside,Hatchback,Sixt,1.0,147.0,Prepaid,Pending,1454.0,1
131557,1295,Florianopolis (SC),Campo Grande (MS),firstClass,857.32,1.49,573.81,Rainbow,2020-03-12,Hotel BW,Campo Grande (MS),1,60.39,2020-12-03,60.39,,,,,,,,,,0
84478,830,Aracaju (SE),Recife (PE),firstClass,1088.87,1.44,555.74,FlyingDrops,2020-03-09,Hotel AU,Recife (PE),2,312.83,2020-09-03,625.66,West Julie,Kevinhaven,Hatchback,Budget,1.0,431.0,Full-to-Full,Pending,3708.0,1
68807,666,Sao Paulo (SP),Salvador (BH),premium,1118.61,1.04,401.66,CloudFy,2020-09-17,Hotel K,Salvador (BH),3,263.41,2020-09-17,790.23,,,,,,,,,,0
32205,308,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,2022-07-04,Hotel BW,Campo Grande (MS),2,60.39,2022-04-07,120.78,East Michaelville,North Jacobport,Hatchback,Budget,3.0,181.0,Partial,Confirmed,1830.0,1
28397,271,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,2022-04-28,Hotel CB,Rio de Janeiro (RJ),3,165.99,2022-04-28,497.97,,,,,,,,,,0
