Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date,Hotel_Name,Arrival_place,Hotel_stay,Hotel_per_day_price,Check_in,Hotel_TotalPrice,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price
3,1,2,814.55,1.66,637.56,2,58,4,1,3,247.62,57,742.86,2374,1676,0,1,5.0,360.0,0,2,3340.0
2,0,1,1545.78,1.69,650.1,2,138,8,0,1,208.04,138,208.04,2242,1611,2,0,3.0,401.0,0,0,5505.0
1,5,1,691.39,0.63,242.21,1,6,2,5,2,312.83,4,625.66,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,8,1,762.89,1.46,562.14,1,116,1,8,3,139.1,116,417.3,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,8,2,577.76,1.46,562.14,2,89,1,8,1,139.1,84,139.1,1713,2738,1,1,4.0,337.0,2,1,8174.0
2,7,1,1114.75,1.36,522.34,2,63,7,7,2,263.41,59,526.82,1155,2373,3,2,4.0,303.0,1,0,3632.0
3,7,0,915.02,2.44,937.77,2,159,7,7,4,263.41,128,1053.64,942,202,0,1,1.0,330.0,1,1,2936.0
3,0,2,1248.7,2.1,808.85,2,0,8,0,1,208.04,1,208.04,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,6,1,1614.7,2.09,806.48,0,47,6,6,4,165.99,47,663.96,251,1957,2,0,5.0,75.0,0,0,1793.0
5,3,0,761.2,1.76,676.53,0,11,0,3,2,313.02,11,626.04,2358,2198,2,1,2.0,462.0,0,0,6149.0
1,4,2,1107.52,1.43,550.69,2,27,3,4,3,242.88,26,728.64,326,1897,0,2,5.0,325.0,0,1,3099.0
6,4,1,932.87,0.85,327.55,2,30,3,4,2,242.88,30,485.76,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,3,0,764.53,1.49,573.81,2,121,0,3,4,313.02,120,1252.08,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,4,2,535.95,0.46,176.33,0,126,3,4,1,242.88,126,242.88,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,1,1,847.83,0.72,277.7,1,80,4,1,2,247.62,75,495.24,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,8,1,693.51,1.46,562.14,0,164,1,8,4,139.1,150,556.4,3347,3335,4,5,3.0,277.0,3,3,3713.0
6,1,1,824.31,0.67,257.81,2,70,4,1,1,247.62,69,247.62,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,3,0,852.18,2.1,808.85,2,63,0,3,3,313.02,59,939.06,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,0,555.01,1.66,637.56,2,62,4,1,4,247.62,24,990.48,1528,1308,3,0,4.0,308.0,1,0,3700.0
5,2,0,563.71,1.39,535.4,0,90,5,2,3,60.39,90,181.17,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,4,0,301.51,0.58,222.67,0,59,3,4,2,242.88,37,485.76,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,0,1,1468.03,2.1,808.85,0,19,8,0,4,208.04,27,832.16,3347,3335,4,5,3.0,277.0,3,3,3713.0
6,2,1,595.09,0.44,168.22,2,21,5,2,3,60.39,20,181.17,1517,537,2,0,2.0,497.0,1,0,6576.0
2,3,2,1031.59,1.49,573.81,0,94,0,3,2,313.02,94,626.04,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,3,1,1341.21,1.49,573.81,2,80,0,3,1,313.02,75,313.02,661,2938,2,3,1.0,442.0,0,1,5829.0
3,5,0,695.3,1.76,676.53,2,126,2,5,4,312.83,126,1251.32,1920,1137,3,1,1.0,171.0,2,2,2107.0
0,4,2,427.25,0.46,176.33,2,26,3,4,4,242.88,25,971.52,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,4,2,474.6,0.58,222.67,0,188,3,4,4,242.88,184,971.52,3246,1679,1,1,4.0,257.0,2,0,6578.0
4,1,1,1286.63,1.43,550.69,2,134,4,1,3,247.62,133,742.86,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,6,1,624.89,1.21,466.3,1,179,6,6,1,165.99,182,165.99,514,1266,3,3,2.0,229.0,0,1,2743.0
3,1,0,555.01,1.66,637.56,2,135,4,1,1,247.62,134,247.62,2503,452,3,0,4.0,244.0,2,1,3052.0
3,1,0,555.01,1.66,637.56,2,62,4,1,4,247.62,24,990.48,937,2161,3,1,2.0,437.0,2,0,4836.0
6,6,2,861.9,0.86,331.89,2,54,6,6,2,165.99,50,331.98,575,2568,1,2,5.0,52.0,2,1,2622.0
3,6,1,549.55,1.21,466.3,2,13,6,6,1,165.99,13,165.99,2075,36,0,3,5.0,401.0,1,1,3690.0
3,4,1,1348.79,1.84,709.37,1,106,3,4,3,242.88,89,728.64,1521,1848,2,1,4.0,168.0,2,1,2819.0
3,8,1,762.89,1.46,562.14,1,118,1,8,4,139.1,118,556.4,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,5,2,835.21,1.44,555.74,0,60,2,5,3,312.83,60,938.49,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,3,1,1515.79,2.1,808.85,0,9,0,3,2,313.02,8,626.04,1305,3252,0,2,4.0,465.0,2,0,4153.0
3,4,1,1348.79,1.84,709.37,1,6,3,4,3,242.88,4,728.64,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,0,636.51,1.66,637.56,0,128,4,1,2,247.62,127,495.24,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,5,0,602.49,1.44,555.74,2,31,2,5,3,312.83,31,938.49,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,4,0,780.68,1.84,709.37,2,26,3,4,1,242.88,25,242.88,2187,2925,3,4,3.0,407.0,1,0,4621.0
1,2,0,583.6,0.72,277.7,0,108,5,2,4,60.39,108,241.56,1841,2957,3,4,4.0,190.0,2,1,2498.0
3,7,2,1367.88,2.44,937.77,2,82,7,7,1,263.41,81,263.41,540,2615,1,0,1.0,125.0,1,0,3465.0
3,6,2,481.42,1.21,466.3,2,51,6,6,2,165.99,41,331.98,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,7,0,964.83,2.16,830.86,0,41,7,7,1,263.41,32,263.41,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,5,1,1292.29,1.76,676.53,1,33,2,5,4,312.83,58,1251.32,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,1,1087.18,1.66,637.56,2,63,4,1,2,247.62,59,495.24,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,8,2,554.87,1.46,562.14,0,96,1,8,1,139.1,96,139.1,2576,1199,2,4,3.0,284.0,0,2,4088.0
1,5,0,421.2,0.63,242.21,2,87,2,5,3,312.83,86,938.49,23,333,1,4,1.0,143.0,2,0,3820.0
3,4,1,1385.49,1.84,709.37,2,80,3,4,2,242.88,75,485.76,187,2425,2,0,3.0,162.0,2,1,2642.0
3,4,1,1348.79,1.84,709.37,1,57,3,4,3,242.88,56,728.64,896,127,1,2,2.0,148.0,0,1,4071.0
3,5,2,918.66,1.76,676.53,0,50,2,5,1,312.83,28,312.83,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,8,1,762.89,1.46,562.14,1,123,1,8,3,139.1,122,417.3,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,1,2,755.62,1.11,425.98,0,116,4,1,1,247.62,116,247.62,3347,3335,4,5,3.0,277.0,3,3,3713.0
4,2,0,546.04,0.65,250.68,0,36,5,2,1,60.39,35,60.39,3275,3033,3,0,5.0,424.0,1,2,4918.0
1,0,0,654.88,1.11,425.98,0,30,8,0,1,208.04,30,208.04,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,4,0,380.32,0.46,176.33,2,63,3,4,4,242.88,59,971.52,2043,3192,0,2,2.0,493.0,1,1,4278.0
1,8,0,538.95,0.67,257.81,0,11,1,8,4,139.1,11,556.4,1835,263,3,3,3.0,79.0,2,2,1323.0
3,0,1,1582.1,2.1,808.85,2,126,8,0,4,208.04,126,832.16,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,4,1,633.71,0.58,222.67,1,125,3,4,4,242.88,125,971.52,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,7,2,1268.97,1.76,676.56,2,43,7,7,1,263.41,43,263.41,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,5,0,602.49,1.44,555.74,2,24,2,5,2,312.83,49,625.66,102,2934,3,2,5.0,177.0,0,1,2433.0
1,6,1,586.04,0.48,183.37,2,31,6,6,4,165.99,31,663.96,2102,3216,0,4,2.0,347.0,2,0,3089.0
2,8,2,441.34,0.44,168.22,2,136,1,8,4,139.1,135,556.4,3347,3335,4,5,3.0,277.0,3,3,3713.0
6,3,2,1367.6,1.46,562.14,2,75,0,3,1,313.02,74,313.02,2385,736,1,1,1.0,379.0,0,0,8552.0
3,2,1,949.58,1.49,573.81,0,98,5,2,2,60.39,93,120.78,930,548,1,4,1.0,198.0,1,2,4936.0
3,2,0,478.02,1.49,573.81,0,6,5,2,4,60.39,4,241.56,3075,945,1,2,1.0,178.0,1,2,4527.0
6,2,2,447.53,0.44,168.22,0,88,5,2,4,60.39,87,241.56,2246,1160,3,4,2.0,95.0,2,1,1406.0
3,7,0,898.67,2.44,937.77,0,19,7,7,3,263.41,27,790.23,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,5,0,674.52,1.76,676.53,0,59,2,5,2,312.83,37,625.66,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,7,2,1346.6,1.76,676.56,0,99,7,7,3,263.41,99,790.23,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,8,1,684.65,0.44,168.22,1,50,1,8,2,139.1,28,278.2,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,0,2,1248.7,2.1,808.85,2,95,8,0,1,208.04,95,208.04,5,720,1,2,4.0,326.0,0,0,7940.0
1,8,1,893.65,0.67,257.81,0,29,1,8,4,139.1,29,556.4,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,0,1,1581.8,1.69,650.1,0,97,8,0,2,208.04,80,416.08,3044,2031,0,1,2.0,423.0,0,2,3726.0
2,0,1,1473.41,1.69,650.1,1,141,8,0,3,208.04,158,624.12,2556,1541,0,0,5.0,321.0,1,1,3051.0
3,7,0,898.67,2.44,937.77,0,14,7,7,1,263.41,53,263.41,98,1275,2,4,3.0,272.0,1,0,3965.0
2,8,2,441.34,0.44,168.22,2,15,1,8,1,139.1,16,139.1,203,67,0,3,1.0,382.0,2,2,3340.0
0,7,1,1714.75,2.16,830.86,1,121,7,7,2,263.41,120,526.82,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,3,1,1569.65,1.66,637.56,1,105,0,3,2,313.02,105,626.04,37,1591,0,3,5.0,456.0,0,1,4111.0
0,3,1,1582.41,2.1,808.85,2,20,0,3,3,313.02,40,939.06,1121,1876,1,3,4.0,413.0,0,0,9691.0
3,2,2,697.65,1.49,573.81,0,73,5,2,4,60.39,114,241.56,2054,886,2,3,3.0,493.0,0,0,6614.0
2,7,1,1149.38,1.36,522.34,0,42,7,7,2,263.41,42,526.82,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,3,2,1222.24,1.66,637.56,2,6,0,3,4,313.02,4,1252.08,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,0,555.01,1.66,637.56,2,104,4,1,2,247.62,104,495.24,1431,2069,3,2,2.0,201.0,2,2,2494.0
4,0,0,361.68,0.46,176.33,0,0,8,0,4,208.04,1,832.16,18,717,0,3,4.0,375.0,0,0,3421.0
3,8,1,693.51,1.46,562.14,0,39,1,8,3,139.1,38,417.3,560,758,3,0,1.0,273.0,1,1,3126.0
0,2,1,1376.09,1.69,650.1,1,91,5,2,1,60.39,91,60.39,2118,840,0,0,5.0,466.0,1,2,4220.0
2,5,2,959.91,1.39,535.4,0,35,2,5,4,312.83,34,1251.32,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,8,0,513.06,1.26,486.52,0,52,1,8,3,139.1,51,417.3,3020,384,0,1,3.0,373.0,0,1,3355.0
0,7,0,964.83,2.16,830.86,0,37,7,7,3,263.41,19,790.23,2613,446,1,1,1.0,107.0,2,0,3107.0
0,3,0,852.18,2.1,808.85,2,2,0,3,4,313.02,6,1252.08,1285,2307,3,0,4.0,185.0,2,0,2456.0
2,7,2,834.61,1.36,522.34,2,137,7,7,3,263.41,136,790.23,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,0,2,987.07,1.11,425.98,0,61,8,0,2,208.04,61,416.08,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,6,1,1183.57,1.55,597.61,0,114,6,6,1,165.99,113,165.99,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,7,0,943.36,2.16,830.86,2,114,7,7,1,263.41,113,263.41,3282,3241,1,0,3.0,222.0,1,1,5724.0
5,2,1,1069.12,1.39,535.4,2,60,5,2,3,60.39,60,181.17,3347,3335,4,5,3.0,277.0,3,3,3713.0
6,3,2,1370.17,1.46,562.14,0,83,0,3,1,313.02,82,313.02,1983,2248,0,0,5.0,147.0,1,2,1640.0
3,1,2,814.55,1.66,637.56,2,198,4,1,1,247.62,172,247.62,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,1,1097.17,1.66,637.56,1,165,4,1,1,247.62,164,247.62,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,1,1,949.99,0.72,277.7,0,32,4,1,1,247.62,23,247.62,1487,767,1,1,1.0,415.0,2,2,9294.0
0,3,1,1582.41,2.1,808.85,2,26,0,3,1,313.02,25,313.02,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,7,0,958.15,1.76,676.56,0,3,7,7,3,263.41,0,790.23,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,8,0,426.91,1.46,562.14,0,37,1,8,3,139.1,19,417.3,938,3102,1,1,2.0,220.0,0,2,5548.0
2,0,0,886.9,1.69,650.1,0,30,8,0,3,208.04,30,624.12,1621,1911,1,3,1.0,153.0,2,1,4055.0
6,4,0,488.57,0.85,327.55,0,64,3,4,3,242.88,64,728.64,604,2612,0,4,3.0,417.0,1,2,3710.0
0,6,0,717.04,1.55,597.61,0,133,6,6,3,165.99,149,497.97,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,0,2,1215.45,1.69,650.1,0,118,8,0,4,208.04,118,832.16,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,3,1,1434.38,1.76,676.53,1,93,0,3,2,313.02,106,626.04,2112,1135,0,2,1.0,155.0,0,2,1507.0
3,7,2,1311.38,2.44,937.77,0,10,7,7,2,263.41,9,526.82,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,5,1,691.39,0.63,242.21,1,163,2,5,2,312.83,161,625.66,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,5,1,1119.47,1.44,555.74,2,21,2,5,2,312.83,20,625.66,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,3,2,1030.13,1.49,573.81,2,40,0,3,4,313.02,39,1252.08,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,5,1,1292.29,1.76,676.53,1,37,2,5,1,312.83,19,312.83,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,6,1,1183.57,1.55,597.61,0,5,6,6,1,165.99,3,165.99,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,7,1,1692.64,2.44,937.77,1,154,7,7,4,263.41,141,1053.64,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,2,1,1376.09,1.69,650.1,1,5,5,2,1,60.39,3,60.39,999,3292,1,1,1.0,105.0,0,1,3072.0
2,3,2,1031.59,1.49,573.81,0,104,0,3,1,313.02,104,313.02,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,1,1127.36,1.66,637.56,0,21,4,1,2,247.62,20,495.24,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,1,1,957.68,1.11,425.98,0,8,4,1,3,247.62,7,742.86,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,0,1,1574.28,2.1,808.85,1,154,8,0,3,208.04,141,624.12,1880,2861,0,0,3.0,334.0,0,0,3034.0
3,7,2,1367.88,2.44,937.77,2,33,7,7,4,263.41,58,1053.64,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,4,2,1128.51,1.84,709.37,0,25,3,4,2,242.88,62,485.76,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,2,0,743.54,1.69,650.1,2,15,5,2,4,60.39,16,241.56,2652,3015,2,0,4.0,369.0,0,2,5202.0
1,3,2,1222.24,1.66,637.56,2,153,0,3,1,313.02,152,313.02,2521,2906,3,3,5.0,473.0,2,0,5417.0
3,2,2,714.86,1.49,573.81,2,123,5,2,2,60.39,122,120.78,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,8,0,538.95,0.67,257.81,0,16,1,8,2,139.1,17,278.2,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,8,1,730.43,1.02,392.76,0,18,1,8,1,139.1,14,139.1,2474,772,2,4,5.0,364.0,1,2,5251.0
0,2,1,1387.89,1.69,650.1,2,28,5,2,1,60.39,36,60.39,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,3,1,1582.41,2.1,808.85,2,1,0,3,4,313.02,10,1252.08,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,4,1,778.01,0.65,250.68,2,85,3,4,3,242.88,97,728.64,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,7,2,1367.88,2.44,937.77,2,73,7,7,1,263.41,114,263.41,2041,126,3,1,2.0,426.0,1,2,4729.0
5,1,0,393.68,0.63,242.21,0,130,4,1,3,247.62,129,742.86,1731,1437,0,3,2.0,476.0,2,1,4145.0
2,0,1,1473.41,1.69,650.1,1,79,8,0,4,208.04,71,832.16,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,2,0,583.6,0.72,277.7,0,56,5,2,3,60.39,55,181.17,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,5,0,674.52,1.76,676.53,0,57,2,5,4,312.83,56,1251.32,982,2631,3,2,1.0,440.0,2,0,4801.0
0,4,1,549.96,0.46,176.33,2,102,3,4,1,242.88,115,242.88,1813,859,2,1,2.0,261.0,1,1,3730.0
2,6,2,1328.88,2.09,806.48,2,37,6,6,3,165.99,19,497.97,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,7,2,826.72,1.36,522.34,0,60,7,7,3,263.41,60,790.23,3331,110,3,1,5.0,323.0,2,0,3921.0
3,2,1,857.32,1.49,573.81,2,127,5,2,2,60.39,123,120.78,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,2,1,1009.71,0.72,277.7,1,96,5,2,1,60.39,96,60.39,2896,1683,3,0,1.0,71.0,1,2,1105.0
2,1,1,870.91,0.72,277.7,2,0,4,1,4,247.62,1,990.48,903,2444,0,3,4.0,163.0,0,1,1747.0
4,7,2,1315.97,1.85,710.57,2,155,7,7,2,263.41,155,526.82,566,474,0,4,5.0,492.0,1,1,4398.0
3,1,1,1087.18,1.66,637.56,2,39,4,1,1,247.62,38,247.62,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,5,1,1300.6,1.76,676.53,0,103,2,5,3,312.83,103,938.49,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,1,0,517.82,0.72,277.7,2,35,4,1,1,247.62,34,247.62,608,357,2,0,3.0,336.0,1,2,4722.0
4,6,1,1375.48,1.55,595.03,1,38,6,6,1,165.99,45,165.99,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,6,0,313.62,1.21,466.3,0,30,6,6,2,165.99,30,331.98,2830,1142,2,3,5.0,354.0,1,2,5143.0
2,4,1,749.85,0.65,250.68,1,98,3,4,2,242.88,93,485.76,1663,2835,3,1,3.0,478.0,1,2,5340.0
2,8,1,684.65,0.44,168.22,1,24,1,8,3,139.1,49,417.3,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,8,0,545.95,1.26,486.52,2,194,1,8,1,139.1,193,139.1,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,3,0,803.39,1.76,676.53,2,92,0,3,2,313.02,67,626.04,2929,113,0,1,5.0,53.0,2,1,906.0
5,4,1,628.96,0.58,222.67,2,73,3,4,3,242.88,114,728.64,1146,181,1,0,5.0,124.0,0,1,4068.0
2,5,1,1185.95,1.39,535.4,2,5,2,5,3,312.83,3,938.49,3329,2775,1,3,3.0,56.0,2,0,2420.0
2,1,1,870.91,0.72,277.7,2,149,4,1,2,247.62,148,495.24,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,1,1097.17,1.66,637.56,1,89,4,1,2,247.62,84,495.24,1498,2453,3,2,5.0,131.0,1,1,1991.0
3,5,1,1292.29,1.76,676.53,1,101,2,5,1,312.83,102,312.83,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,3,1,1446.34,1.49,573.81,0,91,0,3,1,313.02,91,313.02,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,6,1,1614.7,2.09,806.48,0,33,6,6,1,165.99,58,165.99,1738,838,1,0,3.0,166.0,1,1,4585.0
2,7,1,1114.75,1.36,522.34,2,12,7,7,4,263.41,12,1053.64,3041,2703,3,0,4.0,224.0,2,0,2835.0
0,4,0,380.32,0.46,176.33,2,123,3,4,2,242.88,122,485.76,1471,2653,2,3,2.0,339.0,1,0,4659.0
3,4,1,1385.49,1.84,709.37,2,162,3,4,1,242.88,160,242.88,1563,517,2,1,5.0,162.0,0,1,2832.0
5,4,1,628.96,0.58,222.67,2,113,3,4,3,242.88,112,728.64,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,8,0,375.51,0.44,168.22,0,7,1,8,1,139.1,5,139.1,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,2,2,793.15,1.39,535.4,0,118,5,2,1,60.39,118,60.39,697,1509,0,4,4.0,58.0,1,2,904.0
3,1,0,555.01,1.66,637.56,2,58,4,1,2,247.62,57,495.24,738,2548,0,4,4.0,96.0,1,0,1182.0
5,8,1,883.63,1.26,486.52,0,79,1,8,4,139.1,71,556.4,1096,2059,0,1,1.0,244.0,2,0,2216.0
0,8,0,410.79,1.02,392.76,0,167,1,8,2,139.1,137,278.2,3153,2363,0,3,1.0,284.0,1,2,2541.0
3,5,2,1013.4,1.76,676.53,2,42,2,5,3,312.83,42,938.49,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,0,2,932.84,1.44,555.74,0,56,8,0,1,208.04,55,208.04,1871,3073,2,3,4.0,360.0,1,0,5106.0
2,3,1,1446.34,1.49,573.81,0,38,0,3,4,313.02,45,1252.08,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,2,0,478.02,1.49,573.81,0,120,5,2,4,60.39,166,241.56,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,4,1,1315.27,1.84,709.37,0,59,3,4,1,242.88,37,242.88,2844,1214,2,3,4.0,496.0,2,1,6744.0
1,7,2,1346.6,1.76,676.56,0,61,7,7,2,263.41,61,526.82,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,6,2,1007.72,1.55,597.61,0,47,6,6,4,165.99,47,663.96,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,8,0,375.51,0.44,168.22,0,23,1,8,1,139.1,22,139.1,1107,1725,2,2,2.0,77.0,2,2,1521.0
0,1,1,959.29,1.11,425.98,2,36,4,1,4,247.62,35,990.48,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,7,1,1692.64,2.44,937.77,1,145,7,7,3,263.41,132,790.23,3296,643,3,2,5.0,277.0,1,1,3440.0
0,6,2,930.12,1.55,597.61,2,74,6,6,2,165.99,73,331.98,3347,3335,4,5,3.0,277.0,3,3,3713.0
2,3,1,1446.34,1.49,573.81,0,34,0,3,4,313.02,33,1252.08,3223,1520,0,4,1.0,359.0,2,0,3150.0
3,8,2,577.76,1.46,562.14,2,88,1,8,3,139.1,87,417.3,832,1645,0,1,1.0,203.0,2,1,1888.0
3,7,2,1311.38,2.44,937.77,0,21,7,7,2,263.41,20,526.82,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,0,2,1248.7,2.1,808.85,2,69,8,0,3,208.04,68,624.12,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,0,1,1468.03,2.1,808.85,0,60,8,0,3,208.04,60,624.12,1332,1016,3,1,3.0,467.0,2,0,5220.0
5,0,0,684.88,1.44,555.74,0,115,8,0,3,208.04,98,624.12,141,2422,3,1,4.0,423.0,1,2,4837.0
3,4,1,1385.49,1.84,709.37,2,111,3,4,1,242.88,76,242.88,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,7,2,1311.38,2.44,937.77,0,27,7,7,4,263.41,26,1053.64,2975,1270,3,4,3.0,497.0,2,1,5491.0
