travelCode,User_ID,Flight_price,Flight_duration,Flight_Distance,Departure_date,Hotel_stay,Check-in_x,Hotel_TotalPrice,Check-in_y,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,total_rent_price,Car_rented,review_car,review_hotel,review_flights,car_rating,overall_rating
87,0,804.24,0.63,242.21,174,1,83,312.83,194,3347,3335,4,5,,,3,,0,35,30,33,0,2.5
90,1,630.34,1.02,392.76,59,1,147,139.1,194,3347,3335,4,5,,,3,,0,35,32,20,0,4.0
92,1,638.63,0.63,242.21,110,1,155,247.62,194,3347,3335,4,5,,,3,,0,35,1,4,0,2.0
100,2,344.26,0.48,183.37,197,4,163,663.96,194,3347,3335,4,5,,,3,,0,35,34,42,0,2.0
101,2,743.54,1.69,650.1,67,3,167,181.17,194,3347,3335,4,5,,,3,,0,35,29,1,0,3.5
105,2,654.88,1.11,425.98,74,4,183,832.16,194,3347,3335,4,5,,,3,,0,35,34,40,0,2.5
108,2,804.24,0.63,242.21,170,3,195,938.49,194,3347,3335,4,5,,,3,,0,35,9,41,0,2.0
109,2,1389.37,1.69,650.1,0,2,0,120.78,194,3347,3335,4,5,,,3,,0,35,27,31,0,2.0
110,2,1242.65,2.05,788.55,4,1,4,263.41,194,3347,3335,4,5,,,3,,0,35,39,38,0,2.0
112,2,698.1,0.67,257.81,143,4,12,556.4,194,3347,3335,4,5,,,3,,0,35,20,35,0,2.5
116,2,743.54,1.69,650.1,126,4,28,241.56,194,3347,3335,4,5,,,3,,0,35,9,11,0,2.0
117,2,602.49,1.44,555.74,172,2,32,625.66,32,701,1082,3,3,1.0,433.0,1,4740.0,2,28,13,41,2,2.0
119,2,1723.71,2.16,830.86,20,2,40,526.82,39,1575,1341,0,1,3.0,421.0,0,3744.0,2,13,9,16,2,2.0
122,2,1174.97,2.1,808.85,22,4,52,1252.08,194,3347,3335,4,5,,,3,,0,35,44,18,0,2.0
124,2,1181.19,1.44,555.74,101,3,60,624.12,194,3347,3335,4,5,,,3,,0,35,37,12,0,2.0
125,2,793.15,1.39,535.4,146,2,64,120.78,194,3347,3335,4,5,,,3,,0,35,1,42,0,2.0
135,2,717.04,1.55,597.61,42,1,104,165.99,194,3347,3335,4,5,,,3,,0,35,22,35,0,2.5
137,2,1371.83,1.76,676.53,103,3,112,939.06,194,3347,3335,4,5,,,3,,0,35,0,35,0,2.5
150,2,1214.82,1.11,425.98,96,2,154,416.08,194,3347,3335,4,5,,,3,,0,35,6,42,0,2.0
153,2,1021.53,1.69,650.1,66,4,166,241.56,161,2305,672,3,2,5.0,100.0,2,1694.0,3,8,0,32,2,3.0
156,2,697.22,0.63,242.21,169,2,178,495.24,194,3347,3335,4,5,,,3,,0,35,8,40,0,2.5
160,2,563.71,1.39,535.4,157,2,194,120.78,194,3347,3335,4,5,,,3,,0,35,6,12,0,2.0
165,2,633.71,0.58,222.67,177,3,15,728.64,194,3347,3335,4,5,,,3,,0,35,27,40,0,2.5
177,2,965.62,1.11,425.98,137,2,63,416.08,194,3347,3335,4,5,,,3,,0,35,2,30,0,2.5
180,2,1116.83,1.69,650.1,82,3,75,181.17,194,3347,3335,4,5,,,3,,0,35,0,6,0,2.0
187,2,932.84,1.44,555.74,41,3,103,624.12,194,3347,3335,4,5,,,3,,0,35,19,24,0,2.0
188,2,750.0,0.67,257.81,45,2,107,278.2,194,3347,3335,4,5,,,3,,0,35,11,33,0,2.5
189,2,1723.71,2.16,830.86,94,4,111,1053.64,194,3347,3335,4,5,,,3,,0,35,18,34,0,5.0
192,2,884.94,1.66,637.56,48,4,120,1252.08,194,3347,3335,4,5,,,3,,0,35,7,41,0,2.0
197,2,1222.24,1.66,637.56,56,3,135,939.06,194,3347,3335,4,5,,,3,,0,35,41,18,0,2.0
201,2,1582.41,2.1,808.85,61,2,149,626.04,194,3347,3335,4,5,,,3,,0,35,20,3,0,3.5
205,2,539.39,0.48,183.37,65,2,165,331.98,194,3347,3335,4,5,,,3,,0,35,7,41,0,2.0
211,2,663.23,1.44,555.74,105,3,189,624.12,194,3347,3335,4,5,,,3,,0,35,28,20,0,3.5
213,2,921.08,1.76,676.56,195,3,197,790.23,194,3347,3335,4,5,,,3,,0,35,3,9,0,2.5
214,2,604.14,1.44,555.74,2,1,2,312.83,194,3347,3335,4,5,,,3,,0,35,11,23,0,2.0
219,2,889.07,1.66,637.56,11,2,22,626.04,194,3347,3335,4,5,,,3,,0,35,10,13,0,3.5
221,2,943.36,2.16,830.86,151,1,30,263.41,194,3347,3335,4,5,,,3,,0,35,27,29,0,3.5
224,2,755.62,1.11,425.98,107,3,42,742.86,194,3347,3335,4,5,,,3,,0,35,15,17,0,1.5
225,2,1067.3,1.43,550.69,152,4,46,971.52,194,3347,3335,4,5,,,3,,0,35,29,33,0,2.5
233,3,1569.65,1.66,637.56,91,2,171,626.04,194,3347,3335,4,5,,,3,,0,35,38,17,0,1.5
235,3,889.07,1.66,637.56,182,3,179,939.06,194,3347,3335,4,5,,,3,,0,35,44,20,0,3.5
238,3,1070.54,1.76,676.53,124,2,191,626.04,194,3347,3335,4,5,,,3,,0,35,31,13,0,2.0
239,3,1434.38,1.76,676.53,170,2,195,626.04,194,3347,3335,4,5,,,3,,0,35,37,9,0,2.0
240,3,439.38,0.63,242.21,0,4,0,990.48,194,3347,3335,4,5,,,3,,0,35,17,24,0,2.5
241,3,1074.75,1.76,676.53,4,1,4,313.02,194,3347,3335,4,5,,,3,,0,35,38,0,0,2.0
243,3,1183.57,1.55,597.61,143,1,12,165.99,194,3347,3335,4,5,,,3,,0,35,5,27,0,2.5
244,3,602.49,1.44,555.74,189,4,16,1251.32,194,3347,3335,4,5,,,3,,0,35,38,22,0,2.5
246,3,432.1,0.63,242.21,80,2,24,625.66,194,3347,3335,4,5,,,3,,0,35,41,30,0,2.5
248,3,793.15,1.39,535.4,172,2,32,120.78,194,3347,3335,4,5,,,3,,0,35,10,26,0,3.5
255,3,1499.93,2.1,808.85,101,1,60,313.02,59,570,2777,2,4,4.0,249.0,1,3783.0,3,9,2,16,2,2.0
259,3,1433.35,1.43,550.69,88,2,76,485.76,194,3347,3335,4,5,,,3,,0,35,42,6,0,2.0
263,3,851.15,0.72,277.7,40,3,92,181.17,194,3347,3335,4,5,,,3,,0,35,23,12,0,2.0
269,3,586.04,0.48,183.37,148,2,115,331.98,194,3347,3335,4,5,,,3,,0,35,43,42,0,1.5
275,3,726.19,1.43,550.69,54,2,133,485.76,194,3347,3335,4,5,,,3,,0,35,21,23,0,1.5
279,3,474.6,0.58,222.67,58,1,146,242.88,194,3347,3335,4,5,,,3,,0,35,20,15,0,2.0
283,3,670.13,1.26,486.52,187,1,162,139.1,157,1477,1753,0,2,3.0,309.0,1,2869.0,1,14,39,5,2,2.0
287,3,691.39,0.63,242.21,169,1,178,312.83,194,3347,3335,4,5,,,3,,0,35,42,18,0,2.0
290,3,1069.12,1.39,535.4,112,1,190,60.39,194,3347,3335,4,5,,,3,,0,35,38,8,0,3.5
291,3,921.08,1.76,676.56,157,1,194,263.41,194,3347,3335,4,5,,,3,,0,35,7,41,0,2.0
295,3,669.83,0.58,222.67,131,4,11,971.52,194,3347,3335,4,5,,,3,,0,35,8,35,0,2.5
296,3,835.21,1.44,555.74,177,3,15,938.49,194,3347,3335,4,5,,,3,,0,35,25,1,0,3.5
299,3,513.06,1.26,486.52,113,3,27,417.3,194,3347,3335,4,5,,,3,,0,35,18,5,0,3.5
300,3,1268.97,1.76,676.56,158,3,31,790.23,194,3347,3335,4,5,,,3,,0,35,9,27,0,2.0
303,3,1387.89,1.69,650.1,114,1,43,60.39,194,3347,3335,4,5,,,3,,0,35,38,35,0,2.5
305,3,301.51,0.58,222.67,21,4,51,971.52,50,158,1140,2,2,1.0,146.0,0,2278.0,3,28,5,0,2,2.333333333333333
306,3,1174.97,2.1,808.85,25,3,55,939.06,194,3347,3335,4,5,,,3,,0,35,6,3,0,3.5
307,3,535.95,0.46,176.33,92,2,59,485.76,194,3347,3335,4,5,,,3,,0,35,32,31,0,2.5
311,3,410.79,1.02,392.76,82,2,75,278.2,194,3347,3335,4,5,,,3,,0,35,14,36,0,3.5
315,3,1270.03,2.3,885.57,39,3,91,497.97,194,3347,3335,4,5,,,3,,0,35,9,36,0,3.5
322,3,598.61,0.46,176.33,185,1,117,242.88,194,3347,3335,4,5,,,3,,0,35,10,41,0,3.5
325,3,649.64,0.48,183.37,122,3,126,497.97,194,3347,3335,4,5,,,3,,0,35,30,5,0,2.0
337,3,717.04,1.55,597.61,69,3,169,497.97,194,3347,3335,4,5,,,3,,0,35,32,11,0,2.5
338,3,721.2,1.11,425.98,118,3,173,624.12,168,794,3183,3,2,3.0,214.0,1,2683.0,2,24,44,27,1,1.666666666666667
347,3,393.68,0.63,242.21,125,1,10,247.62,194,3347,3335,4,5,,,3,,0,35,38,30,0,2.5
350,3,474.6,0.58,222.67,11,1,22,242.88,194,3347,3335,4,5,,,3,,0,35,26,31,0,3.5
363,3,992.17,0.67,257.81,32,1,74,139.1,194,3347,3335,4,5,,,3,,0,35,18,38,0,3.5
369,3,772.21,0.63,242.21,147,3,98,938.49,194,3347,3335,4,5,,,3,,0,35,0,40,0,2.5
373,3,1038.95,1.39,535.4,134,4,113,241.56,194,3347,3335,4,5,,,3,,0,35,10,2,0,5.0
377,3,869.13,2.1,808.85,117,4,125,1252.08,194,3347,3335,4,5,,,3,,0,35,12,30,0,2.5
382,3,1242.65,2.05,788.55,140,2,140,526.82,194,3347,3335,4,5,,,3,,0,35,6,5,0,2.0
383,3,852.18,2.1,808.85,186,2,144,626.04,194,3347,3335,4,5,,,3,,0,35,9,33,0,2.5
385,3,615.59,1.39,535.4,85,2,152,120.78,147,1917,2671,2,3,1.0,260.0,0,3631.0,2,9,19,14,2,2.0
387,3,698.1,0.67,257.81,176,3,160,417.3,155,840,1334,0,4,1.0,408.0,1,3554.0,2,22,28,19,2,2.0
388,3,535.95,0.46,176.33,64,4,164,971.52,194,3347,3335,4,5,,,3,,0,35,43,27,0,1.5
394,3,1723.71,2.16,830.86,97,4,188,1053.64,194,3347,3335,4,5,,,3,,0,35,24,39,0,2.5
397,3,432.1,0.63,242.21,1,4,1,1251.32,194,3347,3335,4,5,,,3,,0,35,11,8,0,3.5
398,3,1038.95,1.39,535.4,5,4,5,241.56,194,3347,3335,4,5,,,3,,0,35,18,28,0,3.5
403,3,545.95,1.26,486.52,99,3,25,417.3,194,3347,3335,4,5,,,3,,0,35,2,11,0,2.0
404,3,1260.1,1.11,425.98,144,1,29,208.04,194,3347,3335,4,5,,,3,,0,35,36,39,0,2.0
406,3,474.6,0.58,222.67,17,2,37,485.76,194,3347,3335,4,5,,,3,,0,35,44,14,0,2.0
408,3,1249.83,2.05,788.55,145,1,45,263.41,194,3347,3335,4,5,,,3,,0,35,14,12,0,2.0
409,3,1684.05,2.16,830.86,190,3,49,790.23,194,3347,3335,4,5,,,3,,0,35,32,19,0,2.5
410,3,832.77,1.39,535.4,23,3,53,181.17,194,3347,3335,4,5,,,3,,0,35,9,17,0,1.5
412,3,1499.93,2.1,808.85,127,2,61,626.04,194,3347,3335,4,5,,,3,,0,35,30,9,0,2.0
415,3,930.12,1.55,597.61,31,2,73,331.98,194,3347,3335,4,5,,,3,,0,35,7,0,0,2.0
417,3,488.73,0.58,222.67,160,2,81,485.76,194,3347,3335,4,5,,,3,,0,35,10,18,0,3.5
418,3,875.41,1.44,555.74,33,1,85,312.83,194,3347,3335,4,5,,,3,,0,35,16,26,0,3.5
419,3,1389.37,1.69,650.1,37,2,89,120.78,194,3347,3335,4,5,,,3,,0,35,10,17,0,3.0
424,3,712.64,1.55,597.61,83,1,109,165.99,194,3347,3335,4,5,,,3,,0,35,41,19,0,2.0
426,4,602.49,1.44,555.74,59,2,147,625.66,194,3347,3335,4,5,,,3,,0,35,7,25,0,2.0
431,4,421.2,0.63,242.21,67,4,167,1251.32,194,3347,3335,4,5,,,3,,0,35,25,36,0,3.5
432,4,421.2,0.63,242.21,91,3,171,938.49,194,3347,3335,4,5,,,3,,0,35,1,37,0,2.0
440,4,1685.23,1.76,676.56,4,3,4,790.23,194,3347,3335,4,5,,,3,,0,35,34,26,0,2.0
442,4,965.62,1.11,425.98,143,2,12,416.08,194,3347,3335,4,5,,,3,,0,35,30,15,0,2.0
445,4,1612.39,2.3,885.57,80,1,24,165.99,194,3347,3335,4,5,,,3,,0,35,31,35,0,2.5
447,4,992.17,0.67,257.81,172,2,32,278.2,194,3347,3335,4,5,,,3,,0,35,36,22,0,2.5
450,4,1389.37,1.69,650.1,120,2,44,120.78,194,3347,3335,4,5,,,3,,0,35,24,20,0,4.0
452,4,852.18,2.1,808.85,22,1,52,313.02,194,3347,3335,4,5,,,3,,0,35,7,3,0,3.5
456,4,440.69,0.48,183.37,191,3,68,497.97,194,3347,3335,4,5,,,3,,0,35,29,23,0,2.0
457,4,832.77,1.39,535.4,30,2,72,120.78,194,3347,3335,4,5,,,3,,0,35,22,26,0,2.0
468,4,663.23,1.44,555.74,148,1,115,208.04,194,3347,3335,4,5,,,3,,0,35,6,24,0,2.0
473,4,954.78,1.26,486.52,175,4,130,556.4,194,3347,3335,4,5,,,3,,0,35,16,0,0,3.5
481,4,1371.83,1.76,676.53,141,4,158,1252.08,194,3347,3335,4,5,,,3,,0,35,5,26,0,2.5
486,4,987.07,1.11,425.98,169,4,178,832.16,194,3347,3335,4,5,,,3,,0,35,34,22,0,2.5
490,4,1351.89,2.3,885.57,157,1,194,165.99,194,3347,3335,4,5,,,3,,0,35,1,4,0,2.0
491,4,1189.32,1.66,637.56,198,4,198,1252.08,194,3347,3335,4,5,,,3,,0,35,4,27,0,2.0
494,4,513.06,1.26,486.52,131,2,11,278.2,194,3347,3335,4,5,,,3,,0,35,31,29,0,3.5
498,4,586.04,0.48,183.37,113,4,27,663.96,194,3347,3335,4,5,,,3,,0,35,1,27,0,2.0
500,4,1242.65,2.05,788.55,15,2,35,526.82,194,3347,3335,4,5,,,3,,0,35,25,20,0,3.5
501,4,1706.89,2.3,885.57,19,1,39,165.99,194,3347,3335,4,5,,,3,,0,35,18,35,0,4.0
503,4,1515.79,2.1,808.85,159,2,47,626.04,194,3347,3335,4,5,,,3,,0,35,33,40,0,4.0
505,4,1582.41,2.1,808.85,25,2,55,626.04,194,3347,3335,4,5,,,3,,0,35,28,41,0,2.0
514,4,1119.47,1.44,555.74,39,3,91,938.49,194,3347,3335,4,5,,,3,,0,35,11,8,0,3.5
517,4,360.22,0.58,222.67,41,4,103,971.52,99,255,1462,1,2,2.0,358.0,0,8288.0,3,25,29,1,2,3.0
529,4,980.83,1.26,486.52,149,3,141,417.3,194,3347,3335,4,5,,,3,,0,35,44,41,0,2.0
532,4,717.04,1.55,597.61,90,4,153,663.96,194,3347,3335,4,5,,,3,,0,35,18,1,0,5.0
537,4,559.13,0.63,242.21,118,3,173,938.49,194,3347,3335,4,5,,,3,,0,35,44,0,0,2.0
541,4,1611.14,2.3,885.57,105,3,189,497.97,194,3347,3335,4,5,,,3,,0,35,34,29,0,3.5
543,4,1009.71,0.72,277.7,195,3,197,181.17,194,3347,3335,4,5,,,3,,0,35,28,16,0,2.0
545,4,1038.95,1.39,535.4,79,1,6,60.39,6,1779,1161,1,1,5.0,469.0,2,10974.0,1,21,25,8,5,4.0
548,4,831.7,0.72,277.7,7,2,18,120.78,18,1099,903,0,1,5.0,349.0,0,3259.0,1,23,3,7,2,2.333333333333333
555,4,1189.32,1.66,637.56,152,1,46,313.02,194,3347,3335,4,5,,,3,,0,35,1,22,0,2.5
556,4,842.11,2.05,788.55,196,3,50,790.23,194,3347,3335,4,5,,,3,,0,35,42,37,0,2.0
557,4,1249.83,2.05,788.55,24,1,54,263.41,194,3347,3335,4,5,,,3,,0,35,24,6,0,2.5
559,4,842.11,2.05,788.55,132,2,62,526.82,194,3347,3335,4,5,,,3,,0,35,24,39,0,2.5
562,4,360.22,0.58,222.67,32,2,74,485.76,72,1151,1896,1,2,3.0,376.0,0,8798.0,2,11,25,37,2,2.0
564,4,1611.14,2.3,885.57,166,1,82,165.99,194,3347,3335,4,5,,,3,,0,35,1,27,0,2.0
565,4,1611.14,2.3,885.57,34,2,86,331.98,83,2633,1795,3,2,1.0,318.0,0,3586.0,1,17,21,3,2,2.666666666666667
574,4,573.61,0.63,242.21,47,4,119,990.48,194,3347,3335,4,5,,,3,,0,35,36,21,0,2.0
578,4,1181.19,1.44,555.74,52,3,131,624.12,194,3347,3335,4,5,,,3,,0,35,2,26,0,2.0
581,4,371.04,0.48,183.37,140,3,140,497.97,194,3347,3335,4,5,,,3,,0,35,19,21,0,2.0
582,4,588.14,1.02,392.76,186,3,144,417.3,194,3347,3335,4,5,,,3,,0,35,15,37,0,2.0
586,4,1242.65,2.05,788.55,176,2,160,526.82,194,3347,3335,4,5,,,3,,0,35,15,25,0,2.0
587,4,1723.71,2.16,830.86,64,1,164,263.41,194,3347,3335,4,5,,,3,,0,35,28,35,0,2.5
588,4,577.71,0.46,176.33,68,2,168,485.76,194,3347,3335,4,5,,,3,,0,35,20,32,0,3.5
590,4,421.2,0.63,242.21,156,2,176,625.66,194,3347,3335,4,5,,,3,,0,35,19,30,0,2.5
591,4,772.21,0.63,242.21,71,4,180,1251.32,175,1873,2667,3,4,2.0,472.0,1,5175.0,1,28,33,23,2,3.0
596,4,638.63,0.63,242.21,1,1,1,247.62,194,3347,3335,4,5,,,3,,0,35,2,36,0,3.5
598,4,360.22,0.58,222.67,119,4,9,971.52,194,3347,3335,4,5,,,3,,0,35,3,40,0,3.0
604,4,756.3,1.02,392.76,13,3,33,417.3,194,3347,3335,4,5,,,3,,0,35,41,18,0,2.0
605,4,761.2,1.76,676.53,17,4,37,1252.08,194,3347,3335,4,5,,,3,,0,35,3,24,0,2.5
609,4,1096.58,0.72,277.7,23,2,53,120.78,52,1777,2665,1,2,4.0,96.0,2,3330.0,2,11,29,41,2,2.0
619,4,440.69,0.48,183.37,93,4,93,663.96,194,3347,3335,4,5,,,3,,0,35,20,5,0,2.0
621,4,573.61,0.63,242.21,184,4,101,990.48,194,3347,3335,4,5,,,3,,0,35,8,38,0,2.0
623,4,474.6,0.58,222.67,83,4,109,971.52,194,3347,3335,4,5,,,3,,0,35,16,10,0,3.5
624,5,921.08,1.76,676.56,168,2,143,526.82,194,3347,3335,4,5,,,3,,0,35,17,4,0,2.5
638,5,861.68,2.05,788.55,0,1,0,263.41,194,3347,3335,4,5,,,3,,0,35,42,25,0,2.0
643,5,992.17,0.67,257.81,9,3,20,417.3,194,3347,3335,4,5,,,3,,0,35,40,28,0,2.0
644,5,861.68,2.05,788.55,80,1,24,263.41,194,3347,3335,4,5,,,3,,0,35,4,0,0,2.0
646,5,1484.94,2.05,788.55,172,3,32,790.23,194,3347,3335,4,5,,,3,,0,35,3,3,0,4.0
648,5,457.95,0.48,183.37,20,4,40,663.96,194,3347,3335,4,5,,,3,,0,35,34,38,0,2.0
658,5,628.96,0.58,222.67,133,1,80,242.88,194,3347,3335,4,5,,,3,,0,35,32,29,0,4.0
668,5,1376.09,1.69,650.1,193,1,118,60.39,194,3347,3335,4,5,,,3,,0,35,23,23,0,2.0
670,5,1724.49,1.76,676.56,84,3,124,790.23,194,3347,3335,4,5,,,3,,0,35,8,23,0,2.0
676,5,1569.65,1.66,637.56,154,4,142,1252.08,194,3347,3335,4,5,,,3,,0,35,21,20,0,3.0
680,5,657.87,1.26,486.52,141,2,158,278.2,194,3347,3335,4,5,,,3,,0,35,38,31,0,2.0
683,5,904.0,0.67,257.81,70,1,170,139.1,194,3347,3335,4,5,,,3,,0,35,5,35,0,3.0
687,5,1300.81,1.44,555.74,77,1,186,208.04,194,3347,3335,4,5,,,3,,0,35,22,20,0,3.5
688,6,549.96,0.46,176.33,168,3,143,728.64,194,3347,3335,4,5,,,3,,0,35,25,41,0,2.0
690,6,893.65,0.67,257.81,63,3,151,417.3,194,3347,3335,4,5,,,3,,0,35,34,42,0,2.0
695,6,1569.65,1.66,637.56,91,2,171,626.04,194,3347,3335,4,5,,,3,,0,35,11,17,0,1.5
696,6,649.64,0.48,183.37,136,2,175,331.98,194,3347,3335,4,5,,,3,,0,35,39,4,0,2.0
698,6,772.21,0.63,242.21,74,1,183,312.83,178,640,1766,0,0,3.0,372.0,0,3347.0,2,5,10,32,3,4.333333333333333
699,6,1096.58,0.72,277.7,78,4,187,241.56,194,3347,3335,4,5,,,3,,0,35,0,39,0,2.0
701,6,721.93,0.63,242.21,170,4,195,990.48,194,3347,3335,4,5,,,3,,0,35,31,2,0,3.5
707,6,1132.81,2.1,808.85,9,2,20,626.04,194,3347,3335,4,5,,,3,,0,35,7,14,0,2.0
711,6,657.87,1.26,486.52,16,1,36,139.1,194,3347,3335,4,5,,,3,,0,35,40,35,0,2.5
712,6,852.18,2.1,808.85,20,4,40,1252.08,194,3347,3335,4,5,,,3,,0,35,22,16,0,2.0
718,6,921.08,1.76,676.56,146,4,64,1053.64,194,3347,3335,4,5,,,3,,0,35,2,29,0,3.5
719,6,730.43,1.02,392.76,191,1,68,139.1,194,3347,3335,4,5,,,3,,0,35,14,34,0,3.5
723,6,472.72,1.11,425.98,179,2,84,495.24,194,3347,3335,4,5,,,3,,0,35,33,34,0,5.0
739,6,657.87,1.26,486.52,109,3,139,417.3,194,3347,3335,4,5,,,3,,0,35,40,25,0,2.0
745,6,1346.6,1.76,676.56,187,1,162,263.41,194,3347,3335,4,5,,,3,,0,35,2,38,0,2.0
746,6,1190.94,1.55,597.61,66,4,166,663.96,194,3347,3335,4,5,,,3,,0,35,6,38,0,2.0
747,6,549.96,0.46,176.33,70,4,170,971.52,194,3347,3335,4,5,,,3,,0,35,16,26,0,3.5
749,6,1582.41,2.1,808.85,169,2,178,626.04,194,3347,3335,4,5,,,3,,0,35,35,9,0,2.0
753,6,697.22,0.63,242.21,157,2,194,495.24,194,3347,3335,4,5,,,3,,0,35,9,20,0,3.5
754,6,577.71,0.46,176.33,198,2,198,485.76,194,3347,3335,4,5,,,3,,0,35,10,1,0,5.0
755,6,943.36,2.16,830.86,3,1,3,263.41,194,3347,3335,4,5,,,3,,0,35,31,22,0,2.5
762,6,1190.94,1.55,597.61,158,3,31,497.97,194,3347,3335,4,5,,,3,,0,35,40,40,0,2.5
767,6,750.0,0.67,257.81,21,3,51,417.3,194,3347,3335,4,5,,,3,,0,35,12,4,0,2.0
778,7,630.34,1.02,392.76,136,3,175,417.3,194,3347,3335,4,5,,,3,,0,35,11,21,0,2.0
787,7,1110.76,1.39,535.4,143,1,12,60.39,194,3347,3335,4,5,,,3,,0,35,29,37,0,2.0
788,7,1038.95,1.39,535.4,189,2,16,120.78,194,3347,3335,4,5,,,3,,0,35,6,32,0,3.5
793,7,586.04,0.48,183.37,16,3,36,497.97,194,3347,3335,4,5,,,3,,0,35,34,9,0,2.0
795,7,583.6,0.72,277.7,120,2,44,120.78,194,3347,3335,4,5,,,3,,0,35,12,0,0,2.0
803,7,793.15,1.39,535.4,88,4,76,241.56,194,3347,3335,4,5,,,3,,0,35,2,31,0,2.0
805,7,965.62,1.11,425.98,179,2,84,416.08,81,3155,2501,1,2,3.0,384.0,2,8972.0,1,7,30,3,5,4.0
806,7,604.14,1.44,555.74,36,3,88,938.49,194,3347,3335,4,5,,,3,,0,35,20,19,0,2.0
808,7,1313.76,1.43,550.69,116,3,96,728.64,194,3347,3335,4,5,,,3,,0,35,12,7,0,2.0
809,7,548.62,1.11,425.98,161,4,100,990.48,194,3347,3335,4,5,,,3,,0,35,15,19,0,2.0
812,7,301.51,0.58,222.67,103,2,112,485.76,107,2527,2138,2,0,4.0,264.0,0,3962.0,3,28,44,2,2,3.0
815,7,559.13,0.63,242.21,49,3,121,938.49,194,3347,3335,4,5,,,3,,0,35,35,11,0,2.0
817,7,577.71,0.46,176.33,129,2,127,485.76,194,3347,3335,4,5,,,3,,0,35,40,25,0,2.0
819,7,831.7,0.72,277.7,54,2,133,120.78,194,3347,3335,4,5,,,3,,0,35,7,38,0,2.0
823,8,1268.97,1.76,676.56,59,4,147,1053.64,194,3347,3335,4,5,,,3,,0,35,3,0,0,2.5
826,8,1499.93,2.1,808.85,155,3,159,939.06,194,3347,3335,4,5,,,3,,0,35,36,2,0,3.5
827,8,804.24,0.63,242.21,197,4,163,1251.32,194,3347,3335,4,5,,,3,,0,35,17,39,0,2.5
