travelCode_outbound,User_ID,flightType_outbound,Flight_price_outbound,Flight_agency_outbound,Departure_date_outbound,Departure_outbound,Arrival_outbound,Flight Distance (km)_outbound,Flight Duration (hh:mm)_outbound,Departure Time_outbound,Arrival Time_outbound,flight_number_outbound,travelCode_return,flightType_return,Flight_price_return,Flight_agency_return,Departure_date_return,Departure_return,Arrival_return,Flight Distance (km)_return,Flight Duration (hh:mm)_return,Departure Time_return,Arrival Time_return,flight_number_return
4108,41,firstClass,1166.1,IndiGo,03/12/2020,Bilaspur,Hisar,6022.62,06:41,05:25,12:06,6E696,4194,economic,712.64,Akasa Air,11/04/2021,Hisar,Bilaspur,6022.62,06:41,10:36,17:17,QP1731
4194,41,economic,712.64,Akasa Air,11/04/2021,Hisar,Bilaspur,6022.62,06:41,10:36,17:17,QP1731,4108,firstClass,1166.1,IndiGo,03/12/2020,Bilaspur,Hisar,6022.62,06:41,05:25,12:06,6E696
4381,44,economic,852.18,SpiceJet,18/06/2020,Hisar,Khowai,6682.72,07:25,19:16,02:41,SG7021,4385,firstClass,904.0,GoAir,16/07/2020,Khowai,Hisar,6682.72,07:25,03:12,10:37,G81338
4385,44,firstClass,904.0,GoAir,16/07/2020,Khowai,Hisar,6682.72,07:25,03:12,10:37,G81338,4381,economic,852.18,SpiceJet,18/06/2020,Hisar,Khowai,6682.72,07:25,19:16,02:41,SG7021
5206,52,economic,538.95,IndiGo,19/11/2020,Bhopal,Puri,951.91,01:03,10:51,11:54,6E640C,5268,premium,670.13,Akasa Air,27/01/2022,Puri,Bhopal,951.91,01:03,06:25,07:28,QP1670C
5268,52,premium,670.13,Akasa Air,27/01/2022,Puri,Bhopal,951.91,01:03,06:25,07:28,QP1670C,5206,economic,538.95,IndiGo,19/11/2020,Bhopal,Puri,951.91,01:03,10:51,11:54,6E640C
5372,54,premium,657.87,Air India,13/02/2020,Bhubaneswar,Puri,52.73,00:03,08:59,09:02,AI228B,5404,premium,457.95,Air India,24/09/2020,Puri,Bhubaneswar,52.73,00:03,17:24,17:27,AI564E
5404,54,premium,457.95,Air India,24/09/2020,Puri,Bhubaneswar,52.73,00:03,17:24,17:27,AI564E,5372,premium,657.87,Air India,13/02/2020,Bhubaneswar,Puri,52.73,00:03,08:59,09:02,AI228B
5472,55,firstClass,1470.41,SpiceJet,20/02/2020,Puducherry,Delhi NCR,1881.72,02:05,22:09,00:14,SG1337,5511,firstClass,1124.11,IndiGo,19/11/2020,Delhi NCR,Puducherry,1881.72,02:05,07:38,09:43,6E370C
5511,55,firstClass,1124.11,IndiGo,19/11/2020,Delhi NCR,Puducherry,1881.72,02:05,07:38,09:43,6E370C,5472,firstClass,1470.41,SpiceJet,20/02/2020,Puducherry,Delhi NCR,1881.72,02:05,22:09,00:14,SG1337
5587,56,firstClass,1706.89,GoAir,19/12/2019,Hisar,Navi Mumbai,5467.58,06:04,17:55,23:59,G81638B,5670,premium,1007.72,IndiGo,22/07/2021,Navi Mumbai,Hisar,5467.58,06:04,20:30,02:34,6E330C
5670,56,premium,1007.72,IndiGo,22/07/2021,Navi Mumbai,Hisar,5467.58,06:04,20:30,02:34,6E330C,5587,firstClass,1706.89,GoAir,19/12/2019,Hisar,Navi Mumbai,5467.58,06:04,17:55,23:59,G81638B
6288,62,premium,1249.83,SpiceJet,14/01/2021,Chennai,Kota,3333.78,03:42,12:21,16:03,SG4192,6292,firstClass,1499.93,GoAir,02/11/2021,Kota,Chennai,3333.78,03:42,10:18,14:00,G81475B
6292,62,firstClass,1499.93,GoAir,02/11/2021,Kota,Chennai,3333.78,03:42,10:18,14:00,G81475B,6288,premium,1249.83,SpiceJet,14/01/2021,Chennai,Kota,3333.78,03:42,12:21,16:03,SG4192
6385,63,firstClass,1470.41,SpiceJet,11/07/2019,Thiruvananthapuram,Vijayawada,977.99,01:05,21:57,23:02,SG3985,6422,economic,371.04,Akasa Air,23/07/2020,Vijayawada,Thiruvananthapuram,977.99,01:05,21:51,22:56,QP1993
6399,63,premium,568.38,Air India,13/02/2020,Coimbatore,Nashik,1055.99,01:10,03:59,05:09,AI938D,6502,firstClass,1088.87,GoAir,02/03/2022,Nashik,Coimbatore,1055.99,01:10,00:42,01:52,G81412C
6422,63,economic,371.04,Akasa Air,23/07/2020,Vijayawada,Thiruvananthapuram,977.99,01:05,21:51,22:56,QP1993,6385,firstClass,1470.41,SpiceJet,11/07/2019,Thiruvananthapuram,Vijayawada,977.99,01:05,21:57,23:02,SG3985
6502,63,firstClass,1088.87,GoAir,02/03/2022,Nashik,Coimbatore,1055.99,01:10,00:42,01:52,G81412C,6399,premium,568.38,Air India,13/02/2020,Coimbatore,Nashik,1055.99,01:10,03:59,05:09,AI938D
6765,65,economic,344.26,Air India,12/10/2020,Navi Mumbai,Ahmedabad,445.78,00:29,05:00,05:29,AI425,6782,firstClass,1470.41,SpiceJet,04/08/2021,Ahmedabad,Navi Mumbai,445.78,00:29,19:04,19:33,SG5988B
6782,65,firstClass,1470.41,SpiceJet,04/08/2021,Ahmedabad,Navi Mumbai,445.78,00:29,19:04,19:33,SG5988B,6765,economic,344.26,Air India,12/10/2020,Navi Mumbai,Ahmedabad,445.78,00:29,05:00,05:29,AI425
7793,75,premium,1249.83,Akasa Air,23/07/2020,Delhi NCR,Ayodhya,545.38,00:36,01:54,02:30,QP1525E,7858,firstClass,1181.19,SpiceJet,21/10/2021,Ayodhya,Delhi NCR,545.38,00:36,06:52,07:28,SG4042B
7858,75,firstClass,1181.19,SpiceJet,21/10/2021,Ayodhya,Delhi NCR,545.38,00:36,06:52,07:28,SG4042B,7793,premium,1249.83,Akasa Air,23/07/2020,Delhi NCR,Ayodhya,545.38,00:36,01:54,02:30,QP1525E
8834,90,economic,421.2,Akasa Air,24/10/2019,Puducherry,Ahmedabad,1452.17,01:36,08:46,10:22,QP1550E,8913,firstClass,539.39,GoAir,29/04/2021,Ahmedabad,Puducherry,1452.17,01:36,02:36,04:12,G81203B
8913,90,firstClass,539.39,GoAir,29/04/2021,Ahmedabad,Puducherry,1452.17,01:36,02:36,04:12,G81203B,8834,economic,421.2,Akasa Air,24/10/2019,Puducherry,Ahmedabad,1452.17,01:36,08:46,10:22,QP1550E
9126,93,economic,712.64,Akasa Air,11/07/2019,Ludhiana,Dabolim,1739.21,01:55,04:33,06:28,QP1930D,9175,economic,538.95,IndiGo,15/10/2020,Dabolim,Ludhiana,1739.21,01:55,19:29,21:24,6E529
9137,93,premium,835.21,IndiGo,23/01/2020,Hyderabad,Bilaspur,649.95,00:43,13:22,14:05,6E711F,9231,economic,380.32,Akasa Air,11/11/2021,Bilaspur,Hyderabad,649.95,00:43,04:22,05:05,QP1775
9148,93,economic,545.95,Akasa Air,04/09/2020,Guwahati,Puducherry,2016.86,02:14,14:32,16:46,QP1214,9218,firstClass,1714.75,AirAsia India,08/12/2021,Puducherry,Guwahati,2016.86,02:14,14:39,16:53,I55739
9175,93,economic,538.95,IndiGo,15/10/2020,Dabolim,Ludhiana,1739.21,01:55,19:29,21:24,6E529,9126,economic,712.64,Akasa Air,11/07/2019,Ludhiana,Dabolim,1739.21,01:55,04:33,06:28,QP1930D
9218,93,firstClass,1714.75,AirAsia India,08/12/2021,Puducherry,Guwahati,2016.86,02:14,14:39,16:53,I55739,9148,economic,545.95,Akasa Air,04/09/2020,Guwahati,Puducherry,2016.86,02:14,14:32,16:46,QP1214
9231,93,economic,380.32,Akasa Air,11/11/2021,Bilaspur,Hyderabad,649.95,00:43,04:22,05:05,QP1775,9137,premium,835.21,IndiGo,23/01/2020,Hyderabad,Bilaspur,649.95,00:43,13:22,14:05,6E711F
9713,96,firstClass,539.39,AirAsia India,09/02/2021,Itanagar,Coimbatore,2495.63,02:46,11:39,14:25,I52854,9724,firstClass,1487.52,IndiGo,18/11/2021,Coimbatore,Itanagar,2495.63,02:46,21:58,00:44,6E975
9724,96,firstClass,1487.52,IndiGo,18/11/2021,Coimbatore,Itanagar,2495.63,02:46,21:58,00:44,6E975,9713,firstClass,539.39,AirAsia India,09/02/2021,Itanagar,Coimbatore,2495.63,02:46,11:39,14:25,I52854
10472,105,firstClass,1665.24,Akasa Air,08/11/2022,Coimbatore,Pune,899.88,00:59,02:41,03:40,QP1292B,10477,firstClass,1371.83,SpiceJet,15/09/2022,Pune,Coimbatore,899.88,00:59,03:53,04:52,SG5522
10477,105,firstClass,1371.83,SpiceJet,15/09/2022,Pune,Coimbatore,899.88,00:59,03:53,04:52,SG5522,10472,firstClass,1665.24,Akasa Air,08/11/2022,Coimbatore,Pune,899.88,00:59,02:41,03:40,QP1292B
11868,116,economic,513.06,IndiGo,23/01/2020,Guwahati,Visakhapatnam,1291.75,01:26,17:44,19:10,6E395B,11947,economic,548.62,SpiceJet,29/07/2021,Visakhapatnam,Guwahati,1291.75,01:26,00:39,02:05,SG5579
11947,116,economic,548.62,SpiceJet,29/07/2021,Visakhapatnam,Guwahati,1291.75,01:26,00:39,02:05,SG5579,11868,economic,513.06,IndiGo,23/01/2020,Guwahati,Visakhapatnam,1291.75,01:26,17:44,19:10,6E395B
11992,117,premium,474.6,IndiGo,23/07/2020,Prayagraj,Kolkata,735.59,00:49,10:11,11:00,6E150B,12021,firstClass,1612.39,IndiGo,02/11/2021,Kolkata,Prayagraj,735.59,00:49,17:45,18:34,6E297C
12021,117,firstClass,1612.39,IndiGo,02/11/2021,Kolkata,Prayagraj,735.59,00:49,17:45,18:34,6E297C,11992,premium,474.6,IndiGo,23/07/2020,Prayagraj,Kolkata,735.59,00:49,10:11,11:00,6E150B
12377,120,economic,803.39,Akasa Air,04/02/2020,Amritsar,Bengaluru,2092.35,02:19,00:24,02:43,QP1882C,12449,firstClass,1582.41,SpiceJet,19/08/2021,Bengaluru,Amritsar,2092.35,02:19,15:59,18:18,SG5400
12449,120,firstClass,1582.41,SpiceJet,19/08/2021,Bengaluru,Amritsar,2092.35,02:19,15:59,18:18,SG5400,12377,economic,803.39,Akasa Air,04/02/2020,Amritsar,Bengaluru,2092.35,02:19,00:24,02:43,QP1882C
13120,129,economic,583.6,Air India,05/07/2020,Vadodara,Bhubaneswar,1326.97,01:28,10:47,12:15,AI709B,13122,firstClass,1582.41,Akasa Air,21/05/2020,Bhubaneswar,Vadodara,1326.97,01:28,14:13,15:41,QP1120
13122,129,firstClass,1582.41,Akasa Air,21/05/2020,Bhubaneswar,Vadodara,1326.97,01:28,14:13,15:41,QP1120,13120,economic,583.6,Air India,05/07/2020,Vadodara,Bhubaneswar,1326.97,01:28,10:47,12:15,AI709B
13381,132,firstClass,752.27,Akasa Air,10/10/2019,Bengaluru,Dehradun,1930.04,02:08,00:05,02:13,QP1085,13400,firstClass,980.83,Akasa Air,20/02/2020,Dehradun,Bengaluru,1930.04,02:08,15:49,17:57,QP1759E
13385,132,firstClass,669.83,IndiGo,11/07/2019,Visakhapatnam,Ahmedabad,1255.45,01:23,22:30,23:53,6E415,13411,firstClass,898.04,AirAsia India,05/07/2020,Ahmedabad,Visakhapatnam,1255.45,01:23,00:04,01:27,I56821
13400,132,firstClass,980.83,Akasa Air,20/02/2020,Dehradun,Bengaluru,1930.04,02:08,15:49,17:57,QP1759E,13381,firstClass,752.27,Akasa Air,10/10/2019,Bengaluru,Dehradun,1930.04,02:08,00:05,02:13,QP1085
13411,132,firstClass,898.04,AirAsia India,05/07/2020,Ahmedabad,Visakhapatnam,1255.45,01:23,00:04,01:27,I56821,13385,firstClass,669.83,IndiGo,11/07/2019,Visakhapatnam,Ahmedabad,1255.45,01:23,22:30,23:53,6E415
13636,134,economic,371.04,SpiceJet,25/03/2021,Ahmedabad,Raipur,952.67,01:03,02:01,03:04,SG8456,13675,firstClass,1183.57,IndiGo,23/12/2021,Raipur,Ahmedabad,952.67,01:03,03:59,05:02,6E756
13675,134,firstClass,1183.57,IndiGo,23/12/2021,Raipur,Ahmedabad,952.67,01:03,03:59,05:02,6E756,13636,economic,371.04,SpiceJet,25/03/2021,Ahmedabad,Raipur,952.67,01:03,02:01,03:04,SG8456
13808,137,premium,932.22,Akasa Air,01/09/2020,Bengaluru,Srinagar,2364.58,02:37,13:18,15:55,QP1550C,13815,economic,750.92,IndiGo,27/02/2020,Srinagar,Bengaluru,2364.58,02:37,17:12,19:49,6E107
13815,137,economic,750.92,IndiGo,27/02/2020,Srinagar,Bengaluru,2364.58,02:37,17:12,19:49,6E107,13808,premium,932.22,Akasa Air,01/09/2020,Bengaluru,Srinagar,2364.58,02:37,13:18,15:55,QP1550C
13919,138,premium,638.63,Akasa Air,19/12/2019,Ayodhya,Shimla,685.0,00:45,10:35,11:20,QP1500G,13934,firstClass,1354.53,Air India,04/02/2020,Shimla,Ayodhya,685.0,00:45,19:58,20:43,AI366
13934,138,firstClass,1354.53,Air India,04/02/2020,Shimla,Ayodhya,685.0,00:45,19:58,20:43,AI366,13919,premium,638.63,Akasa Air,19/12/2019,Ayodhya,Shimla,685.0,00:45,10:35,11:20,QP1500G
14549,146,economic,663.23,Akasa Air,16/01/2020,Pune,Kullu-Manali,1521.61,01:41,06:18,07:59,QP1669C,14617,economic,301.51,IndiGo,05/06/2021,Kullu-Manali,Pune,1521.61,01:41,00:11,01:52,6E752
14617,146,economic,301.51,IndiGo,05/06/2021,Kullu-Manali,Pune,1521.61,01:41,00:11,01:52,6E752,14549,economic,663.23,Akasa Air,16/01/2020,Pune,Kullu-Manali,1521.61,01:41,06:18,07:59,QP1669C
14661,146,firstClass,957.68,IndiGo,03/10/2022,Thiruvananthapuram,Nashik,1324.36,01:28,07:01,08:29,6E774,14717,economic,921.08,Akasa Air,04/06/2023,Nashik,Thiruvananthapuram,1324.36,01:28,00:49,02:17,QP1445
14717,146,economic,921.08,Akasa Air,04/06/2023,Nashik,Thiruvananthapuram,1324.36,01:28,00:49,02:17,QP1445,14661,firstClass,957.68,IndiGo,03/10/2022,Thiruvananthapuram,Nashik,1324.36,01:28,07:01,08:29,6E774
15005,149,firstClass,752.27,Akasa Air,04/01/2021,Gangtok,Bengaluru,1964.74,02:10,20:36,22:46,QP1159B,15035,economic,360.22,Akasa Air,28/10/2021,Bengaluru,Gangtok,1964.74,02:10,08:08,10:18,QP1976B
15017,149,firstClass,756.3,GoAir,24/06/2021,Jaipur,Patna,943.53,01:02,08:15,09:17,G81300B,15037,firstClass,709.25,Air India,11/11/2021,Patna,Jaipur,943.53,01:02,06:06,07:08,AI200B
15035,149,economic,360.22,Akasa Air,28/10/2021,Bengaluru,Gangtok,1964.74,02:10,08:08,10:18,QP1976B,15005,firstClass,752.27,Akasa Air,04/01/2021,Gangtok,Bengaluru,1964.74,02:10,20:36,22:46,QP1159B
15037,149,firstClass,709.25,Air India,11/11/2021,Patna,Jaipur,943.53,01:02,06:06,07:08,AI200B,15017,firstClass,756.3,GoAir,24/06/2021,Jaipur,Patna,943.53,01:02,08:15,09:17,G81300B
15489,155,firstClass,1300.81,AirAsia India,31/10/2019,Ahmedabad,Pune,518.11,00:34,04:45,05:19,I55017,15529,economic,964.83,Air India,08/06/2020,Pune,Ahmedabad,518.11,00:34,02:59,03:33,AI246B
15520,155,premium,1351.89,SpiceJet,06/04/2020,Kolkata,Shillong,489.31,00:32,05:04,05:36,SG4156,15582,firstClass,1611.14,Akasa Air,08/12/2021,Shillong,Kolkata,489.31,00:32,08:10,08:42,QP1484B
15529,155,economic,964.83,Air India,08/06/2020,Pune,Ahmedabad,518.11,00:34,02:59,03:33,AI246B,15489,firstClass,1300.81,AirAsia India,31/10/2019,Ahmedabad,Pune,518.11,00:34,04:45,05:19,I55017
15582,155,firstClass,1611.14,Akasa Air,08/12/2021,Shillong,Kolkata,489.31,00:32,08:10,08:42,QP1484B,15520,premium,1351.89,SpiceJet,06/04/2020,Kolkata,Shillong,489.31,00:32,05:04,05:36,SG4156
15809,157,premium,1270.03,Air India,23/01/2020,Hisar,Vijayawada,6273.48,06:58,15:03,22:01,AI884B,15831,economic,472.72,Air India,25/06/2020,Vijayawada,Hisar,6273.48,06:58,03:08,10:06,AI886
15831,157,economic,472.72,Air India,25/06/2020,Vijayawada,Hisar,6273.48,06:58,03:08,10:06,AI886,15809,premium,1270.03,Air India,23/01/2020,Hisar,Vijayawada,6273.48,06:58,15:03,22:01,AI884B
16006,158,premium,832.77,SpiceJet,02/04/2021,Vadodara,Chennai,1268.27,01:24,02:18,03:42,SG7527,16077,premium,965.62,SpiceJet,16/06/2022,Chennai,Vadodara,1268.27,01:24,22:07,23:31,SG4908B
16077,158,premium,965.62,SpiceJet,16/06/2022,Chennai,Vadodara,1268.27,01:24,22:07,23:31,SG4908B,16006,premium,832.77,SpiceJet,02/04/2021,Vadodara,Chennai,1268.27,01:24,02:18,03:42,SG7527
16808,168,firstClass,633.71,AirAsia India,18/02/2021,Bengaluru,Dhubri,1944.48,02:09,03:11,05:20,I54181,16851,firstClass,1110.76,Air India,16/12/2021,Dhubri,Bengaluru,1944.48,02:09,12:06,14:15,AI926B
16851,168,firstClass,1110.76,Air India,16/12/2021,Dhubri,Bengaluru,1944.48,02:09,12:06,14:15,AI926B,16808,firstClass,633.71,AirAsia India,18/02/2021,Bengaluru,Dhubri,1944.48,02:09,03:11,05:20,I54181
17150,171,premium,831.7,IndiGo,12/12/2019,Kullu-Manali,Imphal,1818.49,02:01,07:49,09:50,6E109C,17175,premium,750.0,Akasa Air,06/04/2020,Imphal,Kullu-Manali,1818.49,02:01,05:10,07:11,QP1604B
17175,171,premium,750.0,Akasa Air,06/04/2020,Imphal,Kullu-Manali,1818.49,02:01,05:10,07:11,QP1604B,17150,premium,831.7,IndiGo,12/12/2019,Kullu-Manali,Imphal,1818.49,02:01,07:49,09:50,6E109C
17324,174,premium,1007.72,IndiGo,26/12/2019,Chandigarh,Gangtok,1209.73,01:20,13:03,14:23,6E237E,17343,premium,750.0,SpiceJet,05/07/2020,Gangtok,Chandigarh,1209.73,01:20,15:07,16:27,SG5315
17343,174,premium,750.0,SpiceJet,05/07/2020,Gangtok,Chandigarh,1209.73,01:20,15:07,16:27,SG5315,17324,premium,1007.72,IndiGo,26/12/2019,Chandigarh,Gangtok,1209.73,01:20,13:03,14:23,6E237E
18141,180,firstClass,1110.76,Air India,10/03/2019,Dehradun,Patna,873.23,00:58,12:47,13:45,AI539D,18265,firstClass,1434.38,GoAir,17/02/2022,Patna,Dehradun,873.23,00:58,05:39,06:37,G81049
18202,180,firstClass,1434.38,GoAir,12/03/2020,Mopa,Bilaspur,8261.64,09:10,08:22,17:32,G81043,18203,premium,1288.79,Air India,12/10/2020,Bilaspur,Mopa,8261.64,09:10,09:32,18:42,AI367
18203,180,premium,1288.79,Air India,12/10/2020,Bilaspur,Mopa,8261.64,09:10,09:32,18:42,AI367,18202,firstClass,1434.38,GoAir,12/03/2020,Mopa,Bilaspur,8261.64,09:10,08:22,17:32,G81043
18265,180,firstClass,1434.38,GoAir,17/02/2022,Patna,Dehradun,873.23,00:58,05:39,06:37,G81049,18141,firstClass,1110.76,Air India,10/03/2019,Dehradun,Patna,873.23,00:58,12:47,13:45,AI539D
18380,182,premium,670.13,SpiceJet,21/11/2019,Ahmedabad,Prayagraj,976.02,01:05,21:30,22:35,SG7131,18382,premium,987.07,Air India,12/05/2019,Prayagraj,Ahmedabad,976.02,01:05,18:01,19:06,AI812C
18382,182,premium,987.07,Air India,12/05/2019,Prayagraj,Ahmedabad,976.02,01:05,18:01,19:06,AI812C,18380,premium,670.13,SpiceJet,21/11/2019,Ahmedabad,Prayagraj,976.02,01:05,21:30,22:35,SG7131
18462,182,economic,533.8,SpiceJet,17/06/2021,Shimla,Tirupati,1956.06,02:10,11:26,13:36,SG5784,18475,economic,513.06,Air India,16/09/2021,Tirupati,Shimla,1956.06,02:10,07:35,09:45,AI532
18475,182,economic,513.06,Air India,16/09/2021,Tirupati,Shimla,1956.06,02:10,07:35,09:45,AI532,18462,economic,533.8,SpiceJet,17/06/2021,Shimla,Tirupati,1956.06,02:10,11:26,13:36,SG5784
18556,183,premium,1270.03,Air India,21/01/2021,Mopa,Raigarh,8390.44,09:19,08:02,17:21,AI142,18648,premium,568.38,Air India,27/10/2022,Raigarh,Mopa,8390.44,09:19,20:32,05:51,AI209
18648,183,premium,568.38,Air India,27/10/2022,Raigarh,Mopa,8390.44,09:19,20:32,05:51,AI209,18556,premium,1270.03,Air India,21/01/2021,Mopa,Raigarh,8390.44,09:19,08:02,17:21,AI142
19100,187,economic,629.54,Akasa Air,13/05/2021,Jamshedpur,Bilaspur,421.89,00:28,18:42,19:10,QP1777,19156,firstClass,1189.86,SpiceJet,06/09/2022,Bilaspur,Jamshedpur,421.89,00:28,14:09,14:37,SG6771
19156,187,firstClass,1189.86,SpiceJet,06/09/2022,Bilaspur,Jamshedpur,421.89,00:28,14:09,14:37,SG6771,19100,economic,629.54,Akasa Air,13/05/2021,Jamshedpur,Bilaspur,421.89,00:28,18:42,19:10,QP1777
21681,212,premium,427.25,SpiceJet,20/08/2020,Dehradun,Gangtok,1082.57,01:12,10:59,12:11,SG1580,21703,economic,721.2,Akasa Air,21/01/2021,Gangtok,Dehradun,1082.57,01:12,22:00,23:12,QP1479B
21703,212,economic,721.2,Akasa Air,21/01/2021,Gangtok,Dehradun,1082.57,01:12,22:00,23:12,QP1479B,21681,premium,427.25,SpiceJet,20/08/2020,Dehradun,Gangtok,1082.57,01:12,10:59,12:11,SG1580
22000,216,firstClass,633.71,GoAir,01/02/2020,Coimbatore,Mopa,7784.51,08:38,01:02,09:40,G81674C,22073,firstClass,1612.39,Air India,27/05/2021,Mopa,Coimbatore,7784.51,08:38,14:17,22:55,AI440
22073,216,firstClass,1612.39,Air India,27/05/2021,Mopa,Coimbatore,7784.51,08:38,14:17,22:55,AI440,22000,firstClass,633.71,GoAir,01/02/2020,Coimbatore,Mopa,7784.51,08:38,01:02,09:40,G81674C
22753,222,premium,440.69,Akasa Air,12/02/2021,Thiruvananthapuram,Vijayawada,977.99,01:05,14:21,15:26,QP1781D,22759,firstClass,772.21,Akasa Air,13/01/2022,Vijayawada,Thiruvananthapuram,977.99,01:05,04:58,06:03,QP1993
22759,222,firstClass,772.21,Akasa Air,13/01/2022,Vijayawada,Thiruvananthapuram,977.99,01:05,04:58,06:03,QP1993,22753,premium,440.69,Akasa Air,12/02/2021,Thiruvananthapuram,Vijayawada,977.99,01:05,14:21,15:26,QP1781D
23364,229,premium,1070.54,SpiceJet,10/01/2020,Gwalior,Dehradun,455.5,00:30,05:38,06:08,SG7607,23376,firstClass,1069.12,Akasa Air,24/12/2020,Dehradun,Gwalior,455.5,00:30,00:34,01:04,QP1760D
23376,229,firstClass,1069.12,Akasa Air,24/12/2020,Dehradun,Gwalior,455.5,00:30,00:34,01:04,QP1760D,23364,premium,1070.54,SpiceJet,10/01/2020,Gwalior,Dehradun,455.5,00:30,05:38,06:08,SG7607
24762,241,premium,1021.53,IndiGo,02/11/2021,Itanagar,Mumbai,2295.82,02:33,12:38,15:11,6E371,24886,firstClass,1376.09,GoAir,29/06/2023,Mumbai,Itanagar,2295.82,02:33,00:32,03:05,G81423E
