Airline,Departure,Arrival,Flight_Number
Air India,Vijayawada,Puducherry,AI697
Air India,Vijayawada,Diu,AI508
Air India,Vijayawada,Srinagar,AI470
Air India,Itanagar,Tirupati,AI126
Air India,Itanagar,Visakhapatnam,AI968
Air India,Itanagar,Dhubri,AI324
Air India,Itanagar,Guwahati,AI241
Air India,Itanagar,Patna,AI621
Air India,Itanagar,Raipur,AI605
Air India,Itanagar,Bilaspur,AI193
Air India,Itanagar,Raigarh,AI873
Air India,Itanagar,Mopa,AI148
Air India,Itanagar,Dabolim,AI981
Air India,Itanagar,Ahmedabad,AI212
Air India,Itanagar,Surat,AI256
Air India,Itanagar,Vadodara,AI742
Air India,Itanagar,Hisar,AI263
Air India,Itanagar,Shimla,AI911
Air India,Itanagar,Kullu-Manali,AI796
Air India,Itanagar,Jamshedpur,AI532
Air India,Itanagar,Ranchi,AI710
Air India,Itanagar,Bengaluru,AI165
Air India,Itanagar,Mysuru,AI494
Air India,Itanagar,Thiruvananthapuram,AI490
Air India,Itanagar,Gwalior,AI710
Air India,Itanagar,Indore,AI579
Air India,Itanagar,Bhopal,AI641
Air India,Itanagar,Mumbai,AI357
Air India,Itanagar,Navi Mumbai,AI666
Air India,Itanagar,Nashik,AI981
Air India,Itanagar,Pune,AI111
Air India,Itanagar,Imphal,AI796
Air India,Itanagar,Shillong,AI838
Air India,Itanagar,Puri,AI217
Air India,Itanagar,Bhubaneswar,AI798
Air India,Itanagar,Ludhiana,AI649
Air India,Itanagar,Amritsar,AI868
Air India,Itanagar,Jaipur,AI373
Air India,Itanagar,Udaipur,AI887
Air India,Itanagar,Kota,AI756
Air India,Itanagar,Gangtok,AI448
Air India,Itanagar,Coimbatore,AI214
Air India,Itanagar,Chennai,AI400
Air India,Itanagar,Hyderabad,AI545
Air India,Itanagar,Khowai,AI261
Air India,Itanagar,Ayodhya,AI564
Air India,Itanagar,Varanasi,AI103
Air India,Itanagar,Prayagraj,AI839
Air India,Itanagar,Dehradun,AI996
Air India,Itanagar,Kolkata,AI836
Air India,Itanagar,Delhi NCR,AI369
Air India,Itanagar,Chandigarh,AI612
Air India,Itanagar,Puducherry,AI880
Air India,Itanagar,Diu,AI282
Air India,Itanagar,Srinagar,AI619
Air India,Dhubri,Tirupati,AI860
Air India,Dhubri,Visakhapatnam,AI451
Air India,Dhubri,Vijayawada,AI645
Air India,Dhubri,Itanagar,AI323
Air India,Dhubri,Guwahati,AI208
Air India,Dhubri,Patna,AI991
Air India,Dhubri,Raipur,AI740
Air India,Dhubri,Bilaspur,AI405
Air India,Dhubri,Raigarh,AI961
Air India,Dhubri,Mopa,AI754
Air India,Dhubri,Dabolim,AI619
Air India,Dhubri,Ahmedabad,AI723
Air India,Dhubri,Surat,AI303
Air India,Dhubri,Vadodara,AI256
Air India,Dhubri,Hisar,AI482
Air India,Dhubri,Shimla,AI880
Air India,Dhubri,Kullu-Manali,AI265
Air India,Dhubri,Jamshedpur,AI652
Air India,Dhubri,Ranchi,AI897
Air India,Dhubri,Bengaluru,AI643
Air India,Dhubri,Mysuru,AI100
Air India,Dhubri,Thiruvananthapuram,AI713
Air India,Dhubri,Gwalior,AI431
Air India,Dhubri,Indore,AI600
Air India,Dhubri,Bhopal,AI119
Air India,Dhubri,Mumbai,AI214
Air India,Dhubri,Navi Mumbai,AI471
Air India,Dhubri,Nashik,AI999
Air India,Dhubri,Pune,AI951
Air India,Dhubri,Imphal,AI926
Air India,Dhubri,Shillong,AI414
Air India,Dhubri,Puri,AI345
Air India,Dhubri,Bhubaneswar,AI159
Air India,Dhubri,Ludhiana,AI346
Air India,Dhubri,Amritsar,AI999
Air India,Dhubri,Jaipur,AI680
Air India,Dhubri,Udaipur,AI180
Air India,Dhubri,Kota,AI187
Air India,Dhubri,Coimbatore,AI597
Air India,Dhubri,Chennai,AI935
Air India,Dhubri,Hyderabad,AI170
Air India,Dhubri,Khowai,AI878
Air India,Dhubri,Ayodhya,AI645
Air India,Dhubri,Varanasi,AI884
Air India,Dhubri,Prayagraj,AI228
Air India,Dhubri,Kolkata,AI775
Air India,Dhubri,Delhi NCR,AI586
Air India,Dhubri,Chandigarh,AI662
Air India,Dhubri,Puducherry,AI269
Air India,Dhubri,Diu,AI371
Air India,Guwahati,Tirupati,AI382
Air India,Guwahati,Visakhapatnam,AI717
Air India,Guwahati,Vijayawada,AI845
Air India,Guwahati,Itanagar,AI242
Air India,Guwahati,Dhubri,AI207
Air India,Guwahati,Patna,AI993
Air India,Guwahati,Raipur,AI721
Air India,Guwahati,Bilaspur,AI533
Air India,Guwahati,Raigarh,AI316
Air India,Guwahati,Mopa,AI652
Air India,Guwahati,Dabolim,AI873
Air India,Guwahati,Ahmedabad,AI847
Air India,Guwahati,Surat,AI806
Air India,Guwahati,Hisar,AI830
Air India,Guwahati,Shimla,AI419
Air India,Guwahati,Kullu-Manali,AI508
Air India,Guwahati,Jamshedpur,AI787
Air India,Guwahati,Ranchi,AI765
Air India,Guwahati,Bengaluru,AI482
Air India,Guwahati,Mysuru,AI548
Air India,Guwahati,Thiruvananthapuram,AI629
Air India,Guwahati,Gwalior,AI562
Air India,Guwahati,Indore,AI223
Air India,Guwahati,Bhopal,AI353
Air India,Guwahati,Mumbai,AI330
Air India,Guwahati,Navi Mumbai,AI165
Air India,Guwahati,Nashik,AI446
Air India,Guwahati,Pune,AI121
Air India,Guwahati,Imphal,AI702
Air India,Guwahati,Shillong,AI667
Air India,Guwahati,Puri,AI335
Air India,Guwahati,Bhubaneswar,AI702
Air India,Guwahati,Ludhiana,AI325
Air India,Guwahati,Amritsar,AI107
Air India,Guwahati,Jaipur,AI172
Air India,Guwahati,Udaipur,AI824
Air India,Guwahati,Kota,AI746
Air India,Guwahati,Gangtok,AI160
Air India,Guwahati,Coimbatore,AI334
Air India,Guwahati,Chennai,AI169
Air India,Guwahati,Hyderabad,AI132
Air India,Guwahati,Khowai,AI980
Air India,Guwahati,Ayodhya,AI438
Air India,Guwahati,Varanasi,AI172
Air India,Guwahati,Prayagraj,AI626
Air India,Guwahati,Dehradun,AI343
Air India,Guwahati,Kolkata,AI385
Air India,Guwahati,Delhi NCR,AI785
Air India,Guwahati,Chandigarh,AI597
Air India,Guwahati,Puducherry,AI319
Air India,Guwahati,Diu,AI652
Air India,Guwahati,Srinagar,AI235
Air India,Patna,Tirupati,AI349
Air India,Patna,Visakhapatnam,AI369
Air India,Patna,Vijayawada,AI349
Air India,Patna,Itanagar,AI622
Air India,Patna,Dhubri,AI992
Air India,Patna,Guwahati,AI994
Air India,Patna,Raipur,AI840
Air India,Patna,Bilaspur,AI684
Air India,Patna,Raigarh,AI690
Air India,Patna,Mopa,AI584
Air India,Patna,Dabolim,AI348
Air India,Patna,Ahmedabad,AI903
Air India,Patna,Surat,AI584
Air India,Patna,Vadodara,AI926
Air India,Patna,Hisar,AI516
Air India,Patna,Shimla,AI294
Air India,Patna,Kullu-Manali,AI196
Air India,Patna,Jamshedpur,AI199
Air India,Patna,Ranchi,AI774
Air India,Patna,Bengaluru,AI541
Air India,Patna,Mysuru,AI462
Air India,Patna,Thiruvananthapuram,AI533
Air India,Patna,Indore,AI578
Air India,Patna,Bhopal,AI984
Air India,Patna,Mumbai,AI846
Air India,Patna,Navi Mumbai,AI155
Air India,Patna,Nashik,AI789
Air India,Patna,Pune,AI769
Air India,Patna,Imphal,AI761
Air India,Patna,Shillong,AI200
Air India,Patna,Puri,AI162
Air India,Patna,Bhubaneswar,AI512
Air India,Patna,Ludhiana,AI845
Air India,Patna,Amritsar,AI447
Air India,Patna,Jaipur,AI919
Air India,Patna,Udaipur,AI982
Air India,Patna,Kota,AI211
Air India,Patna,Gangtok,AI354
Air India,Patna,Coimbatore,AI296
Air India,Patna,Chennai,AI294
Air India,Patna,Hyderabad,AI649
Air India,Patna,Khowai,AI559
Air India,Patna,Varanasi,AI532
Air India,Patna,Prayagraj,AI287
Air India,Patna,Dehradun,AI385
Air India,Patna,Kolkata,AI573
Air India,Patna,Delhi NCR,AI355
Air India,Patna,Chandigarh,AI995
Air India,Patna,Puducherry,AI177
Air India,Patna,Diu,AI553
Air India,Patna,Srinagar,AI927
Air India,Raipur,Tirupati,AI327
Air India,Raipur,Visakhapatnam,AI925
Air India,Raipur,Vijayawada,AI268
Air India,Raipur,Itanagar,AI606
Air India,Raipur,Dhubri,AI739
Air India,Raipur,Guwahati,AI722
Air India,Raipur,Patna,AI839
Air India,Raipur,Bilaspur,AI982
Air India,Raipur,Raigarh,AI976
Air India,Raipur,Mopa,AI663
Air India,Raipur,Dabolim,AI200
Air India,Raipur,Ahmedabad,AI151
Air India,Raipur,Surat,AI767
Air India,Raipur,Vadodara,AI653
Air India,Raipur,Hisar,AI956
Air India,Raipur,Kullu-Manali,AI195
Air India,Raipur,Jamshedpur,AI871
Air India,Raipur,Ranchi,AI969
Air India,Raipur,Bengaluru,AI342
Air India,Raipur,Mysuru,AI270
Air India,Raipur,Thiruvananthapuram,AI516
Air India,Raipur,Gwalior,AI597
Air India,Raipur,Bhopal,AI318
Air India,Raipur,Mumbai,AI985
Air India,Raipur,Navi Mumbai,AI510
Air India,Raipur,Nashik,AI160
Air India,Raipur,Pune,AI268
Air India,Raipur,Imphal,AI488
Air India,Raipur,Shillong,AI102
Air India,Raipur,Puri,AI499
Air India,Raipur,Bhubaneswar,AI371
Air India,Raipur,Ludhiana,AI902
Air India,Raipur,Amritsar,AI903
Air India,Raipur,Jaipur,AI565
Air India,Raipur,Udaipur,AI392
Air India,Raipur,Kota,AI533
Air India,Raipur,Gangtok,AI813
Air India,Raipur,Coimbatore,AI848
Air India,Raipur,Chennai,AI902
Air India,Raipur,Hyderabad,AI669
Air India,Raipur,Khowai,AI777
Air India,Raipur,Ayodhya,AI835
Air India,Raipur,Varanasi,AI598
Air India,Raipur,Prayagraj,AI258
Air India,Raipur,Dehradun,AI294
Air India,Raipur,Kolkata,AI403
Air India,Raipur,Delhi NCR,AI322
Air India,Raipur,Chandigarh,AI159
Air India,Raipur,Puducherry,AI693
Air India,Raipur,Diu,AI853
Air India,Raipur,Srinagar,AI655
Air India,Bilaspur,Tirupati,AI241
Air India,Bilaspur,Vijayawada,AI574
Air India,Bilaspur,Itanagar,AI194
Air India,Bilaspur,Dhubri,AI406
Air India,Bilaspur,Guwahati,AI534
Air India,Bilaspur,Patna,AI683
Air India,Bilaspur,Raipur,AI981
Air India,Bilaspur,Raigarh,AI162
Air India,Bilaspur,Mopa,AI865
Air India,Bilaspur,Dabolim,AI421
Air India,Bilaspur,Ahmedabad,AI158
Air India,Bilaspur,Surat,AI151
Air India,Bilaspur,Vadodara,AI698
Air India,Bilaspur,Hisar,AI588
Air India,Bilaspur,Kullu-Manali,AI973
Air India,Bilaspur,Jamshedpur,AI643
Air India,Bilaspur,Ranchi,AI261
Air India,Bilaspur,Bengaluru,AI158
Air India,Bilaspur,Mysuru,AI620
Air India,Bilaspur,Thiruvananthapuram,AI182
Air India,Bilaspur,Gwalior,AI971
Air India,Bilaspur,Indore,AI290
Air India,Bilaspur,Bhopal,AI170
Air India,Bilaspur,Mumbai,AI709
Air India,Bilaspur,Navi Mumbai,AI169
Air India,Bilaspur,Nashik,AI791
Air India,Bilaspur,Pune,AI982
Air India,Bilaspur,Imphal,AI340
Air India,Bilaspur,Shillong,AI513
Air India,Bilaspur,Puri,AI222
Air India,Bilaspur,Bhubaneswar,AI683
Air India,Bilaspur,Ludhiana,AI352
Air India,Bilaspur,Amritsar,AI692
Air India,Bilaspur,Jaipur,AI708
Air India,Bilaspur,Udaipur,AI140
Air India,Bilaspur,Kota,AI734
Air India,Bilaspur,Gangtok,AI183
Air India,Bilaspur,Coimbatore,AI529
Air India,Bilaspur,Chennai,AI773
Air India,Bilaspur,Hyderabad,AI697
Air India,Bilaspur,Khowai,AI678
Air India,Bilaspur,Ayodhya,AI635
Air India,Bilaspur,Varanasi,AI423
Air India,Bilaspur,Prayagraj,AI367
Air India,Bilaspur,Kolkata,AI785
Air India,Bilaspur,Delhi NCR,AI833
Air India,Bilaspur,Chandigarh,AI421
Air India,Bilaspur,Puducherry,AI344
Air India,Bilaspur,Diu,AI371
Air India,Bilaspur,Srinagar,AI505
Air India,Raigarh,Tirupati,AI853
Air India,Raigarh,Visakhapatnam,AI848
Air India,Raigarh,Vijayawada,AI487
Air India,Raigarh,Itanagar,AI874
Air India,Raigarh,Dhubri,AI962
Air India,Raigarh,Guwahati,AI315
Air India,Raigarh,Patna,AI689
Air India,Raigarh,Raipur,AI975
Air India,Raigarh,Bilaspur,AI161
Air India,Raigarh,Mopa,AI234
Air India,Raigarh,Dabolim,AI787
Air India,Raigarh,Surat,AI407
Air India,Raigarh,Vadodara,AI568
Air India,Raigarh,Hisar,AI423
Air India,Raigarh,Shimla,AI869
Air India,Raigarh,Kullu-Manali,AI174
Air India,Raigarh,Jamshedpur,AI109
Air India,Raigarh,Ranchi,AI569
Air India,Raigarh,Bengaluru,AI736
Air India,Raigarh,Mysuru,AI676
Air India,Raigarh,Thiruvananthapuram,AI202
Air India,Raigarh,Gwalior,AI175
Air India,Raigarh,Indore,AI650
Air India,Raigarh,Bhopal,AI318
Air India,Raigarh,Mumbai,AI618
Air India,Raigarh,Navi Mumbai,AI371
Air India,Raigarh,Nashik,AI235
Air India,Raigarh,Pune,AI457
Air India,Raigarh,Imphal,AI170
Air India,Raigarh,Shillong,AI350
Air India,Raigarh,Puri,AI478
Air India,Raigarh,Bhubaneswar,AI391
Air India,Raigarh,Ludhiana,AI261
Air India,Raigarh,Amritsar,AI548
Air India,Raigarh,Jaipur,AI953
Air India,Raigarh,Udaipur,AI656
Air India,Raigarh,Kota,AI820
Air India,Raigarh,Gangtok,AI409
Air India,Raigarh,Coimbatore,AI726
Air India,Raigarh,Chennai,AI926
Air India,Raigarh,Hyderabad,AI769
Air India,Raigarh,Khowai,AI641
Air India,Raigarh,Ayodhya,AI108
Air India,Raigarh,Varanasi,AI783
Air India,Raigarh,Prayagraj,AI936
Air India,Raigarh,Dehradun,AI667
Air India,Raigarh,Kolkata,AI406
Air India,Raigarh,Delhi NCR,AI779
Air India,Raigarh,Chandigarh,AI206
Air India,Raigarh,Puducherry,AI999
Air India,Raigarh,Diu,AI237
Air India,Raigarh,Srinagar,AI370
Air India,Mopa,Tirupati,AI203
Air India,Mopa,Visakhapatnam,AI569
Air India,Mopa,Vijayawada,AI375
Air India,Mopa,Itanagar,AI147
Air India,Mopa,Dhubri,AI753
Air India,Mopa,Guwahati,AI651
Air India,Mopa,Patna,AI583
Air India,Mopa,Raipur,AI664
Air India,Mopa,Bilaspur,AI866
Air India,Mopa,Raigarh,AI233
Air India,Mopa,Dabolim,AI218
Air India,Mopa,Ahmedabad,AI209
Air India,Mopa,Surat,AI860
Air India,Mopa,Vadodara,AI666
Air India,Mopa,Hisar,AI259
Air India,Mopa,Shimla,AI378
Air India,Mopa,Jamshedpur,AI719
Air India,Mopa,Ranchi,AI315
Air India,Mopa,Bengaluru,AI834
Air India,Mopa,Mysuru,AI451
Air India,Mopa,Thiruvananthapuram,AI308
Air India,Mopa,Gwalior,AI803
Air India,Mopa,Indore,AI749
Air India,Mopa,Bhopal,AI973
Air India,Mopa,Mumbai,AI370
Air India,Mopa,Navi Mumbai,AI617
Air India,Mopa,Nashik,AI600
Air India,Mopa,Pune,AI357
Air India,Mopa,Shillong,AI152
Air India,Mopa,Puri,AI194
Air India,Mopa,Bhubaneswar,AI749
Air India,Mopa,Ludhiana,AI533
Air India,Mopa,Amritsar,AI949
Air India,Mopa,Jaipur,AI383
Air India,Mopa,Udaipur,AI145
Air India,Mopa,Kota,AI103
Air India,Mopa,Gangtok,AI441
Air India,Mopa,Chennai,AI233
Air India,Mopa,Hyderabad,AI752
Air India,Mopa,Khowai,AI368
Air India,Mopa,Ayodhya,AI265
Air India,Mopa,Varanasi,AI859
Air India,Mopa,Prayagraj,AI552
Air India,Mopa,Dehradun,AI664
Air India,Mopa,Kolkata,AI822
Air India,Mopa,Delhi NCR,AI537
Air India,Mopa,Chandigarh,AI674
Air India,Mopa,Puducherry,AI109
Air India,Mopa,Diu,AI214
Air India,Mopa,Srinagar,AI177
Air India,Dabolim,Tirupati,AI791
Air India,Dabolim,Visakhapatnam,AI650
Air India,Dabolim,Vijayawada,AI756
Air India,Dabolim,Itanagar,AI982
Air India,Dabolim,Dhubri,AI620
Air India,Dabolim,Guwahati,AI874
Air India,Dabolim,Patna,AI347
Air India,Dabolim,Raipur,AI199
Air India,Dabolim,Bilaspur,AI422
Air India,Dabolim,Raigarh,AI788
Air India,Dabolim,Mopa,AI217
Air India,Dabolim,Ahmedabad,AI807
Air India,Dabolim,Surat,AI252
Air India,Dabolim,Vadodara,AI658
Air India,Dabolim,Shimla,AI954
Air India,Dabolim,Kullu-Manali,AI478
Air India,Dabolim,Jamshedpur,AI696
Air India,Dabolim,Ranchi,AI665
Air India,Dabolim,Bengaluru,AI251
Air India,Dabolim,Mysuru,AI540
Air India,Dabolim,Thiruvananthapuram,AI230
Air India,Dabolim,Gwalior,AI142
Air India,Dabolim,Indore,AI415
Air India,Dabolim,Bhopal,AI473
Air India,Dabolim,Mumbai,AI915
Air India,Dabolim,Navi Mumbai,AI981
Air India,Dabolim,Nashik,AI140
Air India,Dabolim,Imphal,AI315
Air India,Dabolim,Shillong,AI798
Air India,Dabolim,Puri,AI355
Air India,Dabolim,Bhubaneswar,AI782
Air India,Dabolim,Ludhiana,AI205
Air India,Dabolim,Amritsar,AI462
Air India,Dabolim,Jaipur,AI898
Air India,Dabolim,Udaipur,AI673
Air India,Dabolim,Kota,AI995
Air India,Dabolim,Gangtok,AI516
Air India,Dabolim,Coimbatore,AI735
Air India,Dabolim,Chennai,AI867
Air India,Dabolim,Hyderabad,AI258
Air India,Dabolim,Khowai,AI342
Air India,Dabolim,Ayodhya,AI985
Air India,Dabolim,Varanasi,AI266
Air India,Dabolim,Prayagraj,AI919
Air India,Dabolim,Dehradun,AI930
Air India,Dabolim,Kolkata,AI281
Air India,Dabolim,Delhi NCR,AI522
Air India,Dabolim,Chandigarh,AI125
Air India,Dabolim,Puducherry,AI283
Air India,Dabolim,Diu,AI854
Air India,Dabolim,Srinagar,AI440
Air India,Ahmedabad,Tirupati,AI857
Air India,Ahmedabad,Visakhapatnam,AI228
Air India,Ahmedabad,Vijayawada,AI803
Air India,Ahmedabad,Itanagar,AI211
Air India,Ahmedabad,Dhubri,AI724
Air India,Ahmedabad,Guwahati,AI848
Air India,Ahmedabad,Patna,AI904
Air India,Ahmedabad,Raipur,AI152
Air India,Ahmedabad,Bilaspur,AI157
Air India,Ahmedabad,Mopa,AI210
Air India,Ahmedabad,Dabolim,AI808
Air India,Ahmedabad,Surat,AI901
Air India,Ahmedabad,Vadodara,AI521
Air India,Ahmedabad,Shimla,AI785
Air India,Ahmedabad,Kullu-Manali,AI984
Air India,Ahmedabad,Jamshedpur,AI852
Air India,Ahmedabad,Ranchi,AI930
Air India,Ahmedabad,Bengaluru,AI354
Air India,Ahmedabad,Mysuru,AI373
Air India,Ahmedabad,Thiruvananthapuram,AI263
Air India,Ahmedabad,Gwalior,AI906
Air India,Ahmedabad,Indore,AI818
Air India,Ahmedabad,Bhopal,AI210
Air India,Ahmedabad,Mumbai,AI491
Air India,Ahmedabad,Navi Mumbai,AI993
Air India,Ahmedabad,Nashik,AI139
Air India,Ahmedabad,Pune,AI979
Air India,Ahmedabad,Imphal,AI581
Air India,Ahmedabad,Shillong,AI327
Air India,Ahmedabad,Puri,AI304
Air India,Ahmedabad,Bhubaneswar,AI936
Air India,Ahmedabad,Ludhiana,AI571
Air India,Ahmedabad,Amritsar,AI458
Air India,Ahmedabad,Jaipur,AI412
Air India,Ahmedabad,Udaipur,AI940
Air India,Ahmedabad,Gangtok,AI992
Air India,Ahmedabad,Coimbatore,AI333
Air India,Ahmedabad,Chennai,AI328
Air India,Ahmedabad,Khowai,AI775
Air India,Ahmedabad,Ayodhya,AI297
Air India,Ahmedabad,Varanasi,AI508
Air India,Ahmedabad,Prayagraj,AI436
Air India,Ahmedabad,Dehradun,AI385
Air India,Ahmedabad,Kolkata,AI985
Air India,Ahmedabad,Delhi NCR,AI171
Air India,Ahmedabad,Chandigarh,AI891
Air India,Ahmedabad,Puducherry,AI385
Air India,Ahmedabad,Diu,AI459
Air India,Ahmedabad,Srinagar,AI756
Air India,Surat,Tirupati,AI657
Air India,Surat,Visakhapatnam,AI488
Air India,Surat,Vijayawada,AI669
Air India,Surat,Itanagar,AI255
Air India,Surat,Dhubri,AI304
Air India,Surat,Guwahati,AI805
Air India,Surat,Patna,AI583
Air India,Surat,Raipur,AI768
Air India,Surat,Bilaspur,AI152
Air India,Surat,Raigarh,AI408
Air India,Surat,Mopa,AI859
Air India,Surat,Dabolim,AI251
Air India,Surat,Ahmedabad,AI902
Air India,Surat,Vadodara,AI621
Air India,Surat,Hisar,AI509
Air India,Surat,Shimla,AI795
Air India,Surat,Kullu-Manali,AI963
Air India,Surat,Jamshedpur,AI649
Air India,Surat,Ranchi,AI439
Air India,Surat,Bengaluru,AI128
Air India,Surat,Mysuru,AI218
Air India,Surat,Thiruvananthapuram,AI998
Air India,Surat,Gwalior,AI367
Air India,Surat,Indore,AI282
Air India,Surat,Bhopal,AI694
Air India,Surat,Mumbai,AI371
Air India,Surat,Navi Mumbai,AI139
