Airline,Departure,Arrival,Flight_Number
Air India,Dabolim,Itanagar,AI981
Air India,Itanagar,Ahmedabad,AI212
Air India,Ahmedabad,Itanagar,AI212
Air India,Itanagar,Surat,AI256
Air India,Surat,Itanagar,AI256
Air India,Itanagar,Vadodara,AI742
Air India,Vadodara,Itanagar,AI742
Air India,Itanagar,Hisar,AI263A
Air India,Hisar,Itanagar,AI263A
Air India,Itanagar,Shimla,AI911
Air India,Shimla,Itanagar,AI911
Air India,Itanagar,Kullu-Manali,AI796
Air India,Kullu-Manali,Itanagar,AI796
Air India,Itanagar,Jamshedpur,AI532B
Air India,Jamshedpur,Itanagar,AI532B
Air India,Itanagar,Ranchi,AI710
Air India,Ranchi,Itanagar,AI710
Air India,Itanagar,Bengaluru,AI165
Air India,Bengaluru,Itanagar,AI165
Air India,Itanagar,Mysuru,AI494
Air India,Mysuru,Itanagar,AI494
Air India,Itanagar,Thiruvananthapuram,AI490
Air India,Thiruvananthapuram,Itanagar,AI490
Air India,Itanagar,Gwalior,AI710A
Air India,Gwalior,Itanagar,AI710A
Air India,Itanagar,Indore,AI579
Air India,Indore,Itanagar,AI579
Air India,Itanagar,Bhopal,AI641
Air India,Bhopal,Itanagar,AI641
Air India,Itanagar,Mumbai,AI357
Air India,Mumbai,Itanagar,AI357
Air India,Itanagar,Navi Mumbai,AI666
Air India,Navi Mumbai,Itanagar,AI666
Air India,Itanagar,Nashik,AI981A
Air India,Nashik,Itanagar,AI981A
Air India,Itanagar,Pune,AI111
Air India,Pune,Itanagar,AI111
Air India,Itanagar,Imphal,AI796A
Air India,Imphal,Itanagar,AI796A
Air India,Itanagar,Shillong,AI838
Air India,Shillong,Itanagar,AI838
Air India,Itanagar,Puri,AI217
Air India,Puri,Itanagar,AI217
Air India,Itanagar,Bhubaneswar,AI798
Air India,Bhubaneswar,Itanagar,AI798
Air India,Itanagar,Ludhiana,AI649A
Air India,Ludhiana,Itanagar,AI649A
Air India,Itanagar,Amritsar,AI868
Air India,Amritsar,Itanagar,AI868
Air India,Itanagar,Jaipur,AI373A
Air India,Jaipur,Itanagar,AI373A
Air India,Itanagar,Udaipur,AI887
Air India,Udaipur,Itanagar,AI887
Air India,Itanagar,Kota,AI756
Air India,Kota,Itanagar,AI756
Air India,Itanagar,Gangtok,AI448A
Air India,Gangtok,Itanagar,AI448A
Air India,Itanagar,Coimbatore,AI214A
Air India,Coimbatore,Itanagar,AI214A
Air India,Itanagar,Chennai,AI400A
Air India,Chennai,Itanagar,AI400A
Air India,Itanagar,Hyderabad,AI545
Air India,Hyderabad,Itanagar,AI545
Air India,Itanagar,Khowai,AI261
Air India,Khowai,Itanagar,AI261
Air India,Itanagar,Ayodhya,AI564A
Air India,Ayodhya,Itanagar,AI564A
Air India,Itanagar,Varanasi,AI103
Air India,Varanasi,Itanagar,AI103
Air India,Itanagar,Prayagraj,AI839
Air India,Prayagraj,Itanagar,AI839
Air India,Itanagar,Dehradun,AI996
Air India,Dehradun,Itanagar,AI996
Air India,Itanagar,Kolkata,AI836
Air India,Kolkata,Itanagar,AI836
Air India,Itanagar,Delhi NCR,AI369A
Air India,Delhi NCR,Itanagar,AI369A
Air India,Itanagar,Chandigarh,AI612
Air India,Chandigarh,Itanagar,AI612
Air India,Itanagar,Puducherry,AI880
Air India,Puducherry,Itanagar,AI880
Air India,Itanagar,Diu,AI282
Air India,Diu,Itanagar,AI282
Air India,Itanagar,Srinagar,AI619
Air India,Srinagar,Itanagar,AI619
Air India,Dhubri,Guwahati,AI208
Air India,Guwahati,Dhubri,AI208
Air India,Dhubri,Patna,AI991
Air India,Patna,Dhubri,AI991
Air India,Dhubri,Raipur,AI740
Air India,Raipur,Dhubri,AI740
Air India,Dhubri,Bilaspur,AI405
Air India,Bilaspur,Dhubri,AI405
Air India,Dhubri,Raigarh,AI961
Air India,Raigarh,Dhubri,AI961
Air India,Dhubri,Mopa,AI754A
Air India,Mopa,Dhubri,AI754A
Air India,Dhubri,Dabolim,AI619A
Air India,Dabolim,Dhubri,AI619A
Air India,Dhubri,Ahmedabad,AI723A
Air India,Ahmedabad,Dhubri,AI723A
Air India,Dhubri,Surat,AI303A
Air India,Surat,Dhubri,AI303A
Air India,Dhubri,Vadodara,AI256A
Air India,Vadodara,Dhubri,AI256A
Air India,Dhubri,Hisar,AI482
Air India,Hisar,Dhubri,AI482
Air India,Dhubri,Shimla,AI880A
Air India,Shimla,Dhubri,AI880A
Air India,Dhubri,Kullu-Manali,AI265
Air India,Kullu-Manali,Dhubri,AI265
Air India,Dhubri,Jamshedpur,AI652
Air India,Jamshedpur,Dhubri,AI652
Air India,Dhubri,Ranchi,AI897
Air India,Ranchi,Dhubri,AI897
Air India,Dhubri,Bengaluru,AI643
Air India,Bengaluru,Dhubri,AI643
Air India,Dhubri,Mysuru,AI100
Air India,Mysuru,Dhubri,AI100
Air India,Dhubri,Thiruvananthapuram,AI713
Air India,Thiruvananthapuram,Dhubri,AI713
Air India,Dhubri,Gwalior,AI431
Air India,Gwalior,Dhubri,AI431
Air India,Dhubri,Indore,AI600
Air India,Indore,Dhubri,AI600
Air India,Dhubri,Bhopal,AI119
Air India,Bhopal,Dhubri,AI119
Air India,Dhubri,Mumbai,AI214B
Air India,Mumbai,Dhubri,AI214B
Air India,Dhubri,Navi Mumbai,AI471
Air India,Navi Mumbai,Dhubri,AI471
Air India,Dhubri,Nashik,AI999
Air India,Nashik,Dhubri,AI999
Air India,Dhubri,Pune,AI951
Air India,Pune,Dhubri,AI951
Air India,Dhubri,Imphal,AI926A
Air India,Imphal,Dhubri,AI926A
Air India,Dhubri,Shillong,AI414
Air India,Shillong,Dhubri,AI414
Air India,Dhubri,Puri,AI345
Air India,Puri,Dhubri,AI345
Air India,Dhubri,Bhubaneswar,AI159
Air India,Bhubaneswar,Dhubri,AI159
Air India,Dhubri,Ludhiana,AI346
Air India,Ludhiana,Dhubri,AI346
Air India,Dhubri,Amritsar,AI999A
Air India,Amritsar,Dhubri,AI999A
Air India,Dhubri,Jaipur,AI680A
Air India,Jaipur,Dhubri,AI680A
Air India,Dhubri,Udaipur,AI180A
Air India,Udaipur,Dhubri,AI180A
Air India,Dhubri,Kota,AI187
Air India,Kota,Dhubri,AI187
Air India,Dhubri,Gangtok,AI849
Air India,Gangtok,Dhubri,AI849
Air India,Dhubri,Coimbatore,AI597
Air India,Coimbatore,Dhubri,AI597
Air India,Dhubri,Chennai,AI935
Air India,Chennai,Dhubri,AI935
Air India,Dhubri,Hyderabad,AI170
Air India,Hyderabad,Dhubri,AI170
Air India,Dhubri,Khowai,AI878
Air India,Khowai,Dhubri,AI878
Air India,Dhubri,Ayodhya,AI645
Air India,Ayodhya,Dhubri,AI645
Air India,Dhubri,Varanasi,AI884
Air India,Varanasi,Dhubri,AI884
Air India,Dhubri,Prayagraj,AI228
Air India,Prayagraj,Dhubri,AI228
Air India,Dhubri,Dehradun,AI231
Air India,Dehradun,Dhubri,AI231
Air India,Dhubri,Kolkata,AI775
Air India,Kolkata,Dhubri,AI775
Air India,Dhubri,Delhi NCR,AI586
Air India,Delhi NCR,Dhubri,AI586
Air India,Dhubri,Chandigarh,AI662
Air India,Chandigarh,Dhubri,AI662
Air India,Dhubri,Puducherry,AI269
Air India,Puducherry,Dhubri,AI269
Air India,Dhubri,Diu,AI371A
Air India,Diu,Dhubri,AI371A
Air India,Dhubri,Srinagar,AI640
Air India,Srinagar,Dhubri,AI640
Air India,Guwahati,Patna,AI993
Air India,Patna,Guwahati,AI993
Air India,Guwahati,Raipur,AI721
Air India,Raipur,Guwahati,AI721
Air India,Guwahati,Bilaspur,AI533
Air India,Bilaspur,Guwahati,AI533
Air India,Guwahati,Raigarh,AI316A
Air India,Raigarh,Guwahati,AI316A
Air India,Guwahati,Mopa,AI652A
Air India,Mopa,Guwahati,AI652A
Air India,Guwahati,Dabolim,AI873A
Air India,Dabolim,Guwahati,AI873A
Air India,Guwahati,Ahmedabad,AI847A
Air India,Ahmedabad,Guwahati,AI847A
Air India,Guwahati,Surat,AI806
Air India,Surat,Guwahati,AI806
Air India,Guwahati,Vadodara,AI305
Air India,Vadodara,Guwahati,AI305
Air India,Guwahati,Hisar,AI830
Air India,Hisar,Guwahati,AI830
Air India,Guwahati,Shimla,AI419
Air India,Shimla,Guwahati,AI419
Air India,Guwahati,Kullu-Manali,AI508A
Air India,Kullu-Manali,Guwahati,AI508A
Air India,Guwahati,Jamshedpur,AI787
Air India,Jamshedpur,Guwahati,AI787
Air India,Guwahati,Ranchi,AI765A
Air India,Ranchi,Guwahati,AI765A
Air India,Guwahati,Bengaluru,AI482A
Air India,Bengaluru,Guwahati,AI482A
Air India,Guwahati,Mysuru,AI548
Air India,Mysuru,Guwahati,AI548
Air India,Guwahati,Thiruvananthapuram,AI629
Air India,Thiruvananthapuram,Guwahati,AI629
Air India,Guwahati,Gwalior,AI562
Air India,Gwalior,Guwahati,AI562
Air India,Guwahati,Indore,AI223
Air India,Indore,Guwahati,AI223
Air India,Guwahati,Bhopal,AI353
Air India,Bhopal,Guwahati,AI353
Air India,Guwahati,Mumbai,AI330
Air India,Mumbai,Guwahati,AI330
Air India,Guwahati,Navi Mumbai,AI165A
Air India,Navi Mumbai,Guwahati,AI165A
Air India,Guwahati,Nashik,AI446
Air India,Nashik,Guwahati,AI446
Air India,Guwahati,Pune,AI121
Air India,Pune,Guwahati,AI121
Air India,Guwahati,Imphal,AI702
Air India,Imphal,Guwahati,AI702
Air India,Guwahati,Shillong,AI667
Air India,Shillong,Guwahati,AI667
Air India,Guwahati,Puri,AI335
Air India,Puri,Guwahati,AI335
Air India,Guwahati,Bhubaneswar,AI702A
Air India,Bhubaneswar,Guwahati,AI702A
Air India,Guwahati,Ludhiana,AI325A
Air India,Ludhiana,Guwahati,AI325A
Air India,Guwahati,Amritsar,AI107
Air India,Amritsar,Guwahati,AI107
Air India,Guwahati,Jaipur,AI172
Air India,Jaipur,Guwahati,AI172
Air India,Guwahati,Udaipur,AI824
Air India,Udaipur,Guwahati,AI824
Air India,Guwahati,Kota,AI746
Air India,Kota,Guwahati,AI746
Air India,Guwahati,Gangtok,AI160
Air India,Gangtok,Guwahati,AI160
Air India,Guwahati,Coimbatore,AI334A
Air India,Coimbatore,Guwahati,AI334A
Air India,Guwahati,Chennai,AI169
Air India,Chennai,Guwahati,AI169
Air India,Guwahati,Hyderabad,AI132B
Air India,Hyderabad,Guwahati,AI132B
Air India,Guwahati,Khowai,AI980
Air India,Khowai,Guwahati,AI980
Air India,Guwahati,Ayodhya,AI438
Air India,Ayodhya,Guwahati,AI438
Air India,Guwahati,Varanasi,AI172A
Air India,Varanasi,Guwahati,AI172A
Air India,Guwahati,Prayagraj,AI626
Air India,Prayagraj,Guwahati,AI626
Air India,Guwahati,Dehradun,AI343
Air India,Dehradun,Guwahati,AI343
Air India,Guwahati,Kolkata,AI385
Air India,Kolkata,Guwahati,AI385
Air India,Guwahati,Delhi NCR,AI785
Air India,Delhi NCR,Guwahati,AI785
Air India,Guwahati,Chandigarh,AI597A
Air India,Chandigarh,Guwahati,AI597A
Air India,Guwahati,Puducherry,AI319
Air India,Puducherry,Guwahati,AI319
Air India,Guwahati,Diu,AI652B
Air India,Diu,Guwahati,AI652B
Air India,Guwahati,Srinagar,AI235
Air India,Srinagar,Guwahati,AI235
Air India,Patna,Raipur,AI840
Air India,Raipur,Patna,AI840
Air India,Patna,Bilaspur,AI684
Air India,Bilaspur,Patna,AI684
Air India,Patna,Raigarh,AI690
Air India,Raigarh,Patna,AI690
Air India,Patna,Mopa,AI584
Air India,Mopa,Patna,AI584
Air India,Patna,Dabolim,AI348
Air India,Dabolim,Patna,AI348
Air India,Patna,Ahmedabad,AI903
Air India,Ahmedabad,Patna,AI903
Air India,Patna,Surat,AI584A
Air India,Surat,Patna,AI584A
Air India,Patna,Vadodara,AI926B
Air India,Vadodara,Patna,AI926B
Air India,Patna,Hisar,AI516
Air India,Hisar,Patna,AI516
Air India,Patna,Shimla,AI294
Air India,Shimla,Patna,AI294
Air India,Patna,Kullu-Manali,AI196
Air India,Kullu-Manali,Patna,AI196
Air India,Patna,Jamshedpur,AI199A
Air India,Jamshedpur,Patna,AI199A
Air India,Patna,Ranchi,AI774
Air India,Ranchi,Patna,AI774
Air India,Patna,Bengaluru,AI541
Air India,Bengaluru,Patna,AI541
Air India,Patna,Mysuru,AI462
Air India,Mysuru,Patna,AI462
Air India,Patna,Thiruvananthapuram,AI533A
Air India,Thiruvananthapuram,Patna,AI533A
Air India,Patna,Gwalior,AI520
Air India,Gwalior,Patna,AI520
Air India,Patna,Indore,AI578
Air India,Indore,Patna,AI578
Air India,Patna,Bhopal,AI984
Air India,Bhopal,Patna,AI984
Air India,Patna,Mumbai,AI846A
Air India,Mumbai,Patna,AI846A
Air India,Patna,Navi Mumbai,AI155
Air India,Navi Mumbai,Patna,AI155
Air India,Patna,Nashik,AI789
Air India,Nashik,Patna,AI789
Air India,Patna,Pune,AI769
Air India,Pune,Patna,AI769
Air India,Patna,Imphal,AI761
Air India,Imphal,Patna,AI761
Air India,Patna,Shillong,AI200
Air India,Shillong,Patna,AI200
Air India,Patna,Puri,AI162
Air India,Puri,Patna,AI162
Air India,Patna,Bhubaneswar,AI512
Air India,Bhubaneswar,Patna,AI512
Air India,Patna,Ludhiana,AI845
Air India,Ludhiana,Patna,AI845
Air India,Patna,Amritsar,AI447
Air India,Amritsar,Patna,AI447
Air India,Patna,Jaipur,AI919
Air India,Jaipur,Patna,AI919
Air India,Patna,Udaipur,AI982A
Air India,Udaipur,Patna,AI982A
Air India,Patna,Kota,AI211
Air India,Kota,Patna,AI211
Air India,Patna,Gangtok,AI354
Air India,Gangtok,Patna,AI354
Air India,Patna,Coimbatore,AI296A
Air India,Coimbatore,Patna,AI296A
