User_ID,travelCode,Check-in,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price
15,1747,06/17/2021,Michaelchester,West Larryberg,Hatchback,Enterprise,5,103,Partial,Pending,1287
15,1751,07/15/2021,East Ryan,Morganside,Hatchback,Hertz,5,272,Partial,Confirmed,2667
16,1812,11/14/2019,Danielton,Harrishaven,SUV,Hertz,2,328,Partial,Cancelled,4528
16,1843,06/18/2020,Danielbury,East Hannahstad,Luxury,Enterprise,3,60,Full-to-Full,Confirmed,2496
16,1859,10/08/2020,Curtismouth,Ericfurt,Sedan,Hertz,2,434,Prepaid,Cancelled,4827
16,1869,12/17/2020,South Scottbury,Youngstad,Sedan,Hertz,2,383,Prepaid,Pending,4303
16,1883,03/25/2021,Lake Gabriel,Port Steventown,Sedan,Sixt,4,173,Full-to-Full,Confirmed,2333
16,1899,07/15/2021,Raymouth,South David,Hatchback,Hertz,3,205,Partial,Cancelled,2019
16,1908,09/16/2021,West Margaret,Johnsonshire,Sedan,Avis,4,463,Full-to-Full,Cancelled,5227
16,1948,06/23/2022,West Bryan,Lake Cynthiashire,Sedan,Enterprise,4,233,Partial,Pending,2932
17,1978,01/23/2020,South Richard,Bentleyview,Hatchback,Sixt,1,166,Prepaid,Pending,1616
19,2160,04/02/2020,East Jasonfort,Kennethshire,Hatchback,Sixt,5,405,Prepaid,Confirmed,3737
19,2209,03/11/2021,Crawfordland,Barrytown,SUV,Hertz,3,211,Partial,Cancelled,3249
19,2213,04/08/2021,Jefferyland,East Jonathan,Sedan,Sixt,1,68,Partial,Confirmed,1072
20,2272,10/22/2020,Taylorport,Nguyenmouth,Luxury,Budget,5,368,Partial,Pending,8924
21,2327,05/21/2020,East Emily,West Christopher,Luxury,Hertz,1,402,Prepaid,Pending,9014
21,2387,07/15/2021,Jenniferborough,North Janice,Hatchback,Enterprise,5,191,Prepaid,Confirmed,1999
21,2396,09/16/2021,New Michael,New Courtneyport,Luxury,Enterprise,5,123,Prepaid,Cancelled,4055
21,2408,12/09/2021,Andreaview,New Marystad,Sedan,Avis,2,356,Full-to-Full,Pending,4032
21,2414,01/20/2022,Markstad,East Ashleybury,Hatchback,Enterprise,5,193,Partial,Cancelled,2010
21,2422,03/17/2022,Carolshire,Davisberg,Hatchback,Budget,4,299,Partial,Confirmed,2821
21,2450,09/29/2022,Patrickton,Nicholasside,Luxury,Avis,4,139,Prepaid,Cancelled,4199
21,2465,01/12/2023,Jacquelineshire,West Kaylaton,Hatchback,Enterprise,5,203,Partial,Pending,2095
21,2467,01/26/2023,West Thomas,East Kimchester,Sedan,Enterprise,1,65,Full-to-Full,Pending,1065
21,2483,05/18/2023,Ryanchester,Matthewbury,Hatchback,Enterprise,2,104,Prepaid,Pending,1166
22,2523,04/30/2020,Calebmouth,New Tyler,SUV,Enterprise,5,112,Partial,Pending,2210
22,2534,07/16/2020,Jonathanville,Lake Scotthaven,Sedan,Sixt,5,437,Prepaid,Pending,5061
22,2556,12/17/2020,Johnsonfort,Duranfurt,SUV,Sixt,2,481,Prepaid,Confirmed,6395
22,2582,06/17/2021,Lake Jeromehaven,Michaelhaven,Sedan,Avis,4,209,Prepaid,Cancelled,2687
22,2608,12/16/2021,Port Amanda,Sarahmouth,Sedan,Budget,4,271,Full-to-Full,Pending,3317
22,2610,12/30/2021,West Joshuafort,Lake Andrewview,Luxury,Enterprise,2,93,Prepaid,Pending,2984
23,2761,03/17/2022,Richardsonhaven,Jeffreymouth,Luxury,Hertz,3,173,Partial,Cancelled,4758
24,2784,11/07/2019,Brandonchester,Johnsonbury,Luxury,Budget,5,246,Full-to-Full,Cancelled,6518
25,2828,11/28/2019,East Robertshire,New Collin,Hatchback,Hertz,5,218,Partial,Pending,2205
25,2845,03/26/2020,Mendozashire,North Katie,Hatchback,Hertz,1,230,Partial,Confirmed,2108
25,2851,05/07/2020,Kristahaven,South John,SUV,Enterprise,5,206,Prepaid,Confirmed,3353
25,2863,07/30/2020,Port Brian,East Reneeview,Sedan,Hertz,2,217,Partial,Cancelled,2655
25,2883,12/17/2020,Bushmouth,Angelatown,Sedan,Enterprise,3,181,Partial,Pending,2358
25,2884,12/24/2020,Karenside,Lake Stevenland,Luxury,Avis,3,235,Partial,Cancelled,5980
25,2895,03/11/2021,West Cristian,New Chad,Hatchback,Enterprise,1,471,Prepaid,Pending,4066
27,3030,03/19/2020,South Kendra,Lake Nicoleshire,Hatchback,Budget,5,206,Prepaid,Confirmed,2147
28,3085,10/24/2019,East Charles,Franceshaven,Hatchback,Sixt,4,155,Partial,Cancelled,1673
29,3103,12/19/2019,North Jasonmouth,Braunside,Hatchback,Budget,2,314,Prepaid,Cancelled,2831
30,3128,12/12/2019,Stephanieshire,New Peter,Hatchback,Sixt,4,263,Full-to-Full,Cancelled,2521
32,3172,09/26/2019,Johnnystad,West Teresa,Sedan,Enterprise,2,158,Partial,Pending,2032
32,3187,01/09/2020,Timothyfort,North Markhaven,SUV,Budget,4,337,Partial,Pending,4814
32,3224,09/24/2020,Paulfurt,Duartefurt,Hatchback,Avis,2,269,Partial,Cancelled,2472
32,3288,12/16/2021,Evansside,Vazquezmouth,Hatchback,Enterprise,5,150,Full-to-Full,Pending,1673
32,3327,09/15/2022,Port Lisa,Port Beckystad,SUV,Budget,4,118,Prepaid,Confirmed,2213
34,3390,04/23/2020,Lisaside,Lake Kristin,Luxury,Hertz,3,360,Partial,Cancelled,8473
34,3396,06/04/2020,Martinezmouth,Lake Laura,Luxury,Avis,4,389,Partial,Pending,9213
34,3408,08/27/2020,Christopherfurt,Edwinstad,SUV,Sixt,1,372,Partial,Confirmed,4964
34,3415,10/15/2020,North Bradleystad,Robertton,Sedan,Hertz,2,450,Partial,Cancelled,4975
34,3418,11/05/2020,Leeton,West Dianaport,Hatchback,Hertz,4,416,Prepaid,Cancelled,3762
34,3429,01/21/2021,West Jerrymouth,Johnstad,Luxury,Budget,1,79,Partial,Confirmed,2557
34,3451,06/24/2021,Nunezport,Hannahborough,Hatchback,Avis,5,466,Partial,Pending,4220
34,3520,10/20/2022,East Natashamouth,Wendyview,Sedan,Hertz,5,298,Full-to-Full,Cancelled,3668
36,3574,11/14/2019,West Jessica,New Jenniferchester,Sedan,Avis,1,133,Prepaid,Confirmed,1731
36,3596,04/16/2020,New Joseph,Johnstonshire,Luxury,Enterprise,5,337,Prepaid,Pending,8328
38,3658,10/10/2019,Port Andrewborough,North Benjamin,Sedan,Avis,3,173,Partial,Pending,2259
38,3688,05/07/2020,West Natashaburgh,Stevensfort,Luxury,Hertz,5,487,Prepaid,Pending,11329
38,3729,02/18/2021,Lake Phillip,East Brittany,Hatchback,Hertz,1,143,Partial,Pending,1443
39,3765,11/07/2019,Alisonberg,Brianview,SUV,Hertz,3,290,Prepaid,Cancelled,4171
39,3793,05/21/2020,East Jamesmouth,West Michaelshire,Luxury,Hertz,1,217,Prepaid,Cancelled,5315
39,3827,01/14/2021,Haleyport,South Brittanyville,Luxury,Budget,2,300,Prepaid,Cancelled,7149
39,3868,10/28/2021,Morrisstad,Lake Michael,Hatchback,Avis,4,216,Prepaid,Cancelled,2163
39,3875,12/16/2021,Petersonstad,Jesseburgh,Luxury,Avis,1,236,Partial,Cancelled,5703
39,3899,06/02/2022,Rachelview,East Beverlychester,SUV,Sixt,1,457,Prepaid,Confirmed,6020
40,3922,01/30/2020,Krausemouth,West Kimberly,Luxury,Budget,1,216,Prepaid,Cancelled,5299
40,3924,02/13/2020,New Jacquelinestad,South Leslie,SUV,Avis,4,143,Full-to-Full,Pending,2509
40,3936,05/07/2020,Sherriton,East Howardburgh,SUV,Enterprise,2,311,Partial,Cancelled,4350
40,4003,08/19/2021,Hectorhaven,Brittanyville,Sedan,Avis,2,220,Partial,Pending,2667
40,4004,08/26/2021,Robertsonborough,Hallhaven,Sedan,Budget,4,330,Prepaid,Pending,3908
40,4014,11/04/2021,South Sharonview,Billville,SUV,Hertz,3,262,Partial,Cancelled,3864
40,4027,02/03/2022,New Thomas,Maciasfort,Sedan,Sixt,3,89,Full-to-Full,Pending,1435
40,4054,08/11/2022,Anthonyport,Donaldtown,Luxury,Sixt,4,187,Partial,Pending,5164
40,4058,09/08/2022,Lake Joshua,Brendabury,Hatchback,Sixt,2,310,Full-to-Full,Confirmed,2801
41,4131,08/20/2020,Port Jose,South Wesley,Hatchback,Sixt,4,279,Full-to-Full,Confirmed,2663
41,4135,09/17/2020,New Christina,South Jonathanborough,SUV,Hertz,2,98,Partial,Cancelled,1792
41,4149,12/24/2020,Morrisport,Lake Sallyside,Hatchback,Enterprise,3,208,Prepaid,Cancelled,2059
41,4168,05/06/2021,Foleytown,Lake Taylormouth,Hatchback,Sixt,2,378,Prepaid,Confirmed,3336
41,4175,06/24/2021,New Elizabethhaven,East Deniseburgh,Sedan,Enterprise,3,400,Prepaid,Cancelled,4553
41,4182,08/12/2021,Thomasport,New Gabriella,Luxury,Enterprise,2,95,Prepaid,Confirmed,3048
41,4220,05/05/2022,Shannonview,New Kristi,Luxury,Budget,1,171,Partial,Confirmed,4402
41,4221,05/12/2022,Carterton,Jillburgh,Sedan,Sixt,3,348,Partial,Pending,4007
41,4225,06/09/2022,South Kristopher,Carneychester,Sedan,Hertz,2,406,Partial,Confirmed,4512
43,4289,03/26/2020,South Richardside,Morrisborough,Hatchback,Enterprise,5,172,Full-to-Full,Pending,1861
43,4305,07/16/2020,Deckerchester,Cruzborough,Hatchback,Avis,1,356,Partial,Pending,3134
43,4336,02/18/2021,Port Isaiah,Port Alexandra,SUV,Enterprise,3,424,Partial,Pending,5806
43,4339,03/11/2021,Patricktown,Simmonsbury,Luxury,Budget,2,338,Partial,Cancelled,7878
43,4340,03/18/2021,East Olivia,North Rebeccamouth,SUV,Hertz,3,295,Partial,Cancelled,4248
44,4372,04/16/2020,Ericafurt,New Kathleen,Sedan,Budget,1,427,Prepaid,Confirmed,4679
44,4420,03/18/2021,Port Jessica,Burnsberg,Luxury,Budget,3,337,Full-to-Full,Cancelled,8022
44,4430,05/27/2021,Port Harry,South Jose,SUV,Avis,3,234,Full-to-Full,Cancelled,3504
45,4459,01/16/2020,South Brittany,Watersburgh,SUV,Avis,4,369,Full-to-Full,Pending,5202
45,4463,02/13/2020,North Jasonshire,Tammyfort,Sedan,Sixt,2,434,Full-to-Full,Cancelled,4818
46,4588,04/23/2020,Bakerhaven,Jacobstown,Sedan,Budget,5,279,Full-to-Full,Pending,3483
46,4682,02/10/2022,Richardmouth,West Michaelhaven,Hatchback,Avis,4,157,Prepaid,Cancelled,1689
47,4782,04/15/2021,Alexanderbury,Roseport,Sedan,Budget,1,256,Partial,Confirmed,2961
47,4788,05/27/2021,New Jessicafort,South Kathleenton,SUV,Budget,1,424,Partial,Cancelled,5605
48,4863,03/26/2020,Lake Antonioside,Lake Josephberg,SUV,Hertz,3,405,Full-to-Full,Pending,5564
49,4886,11/14/2019,Butlerfort,Port Rebeccaville,SUV,Enterprise,1,218,Partial,Confirmed,3119
49,4936,10/29/2020,Gutierrezchester,Duncanbury,Sedan,Hertz,3,270,Full-to-Full,Cancelled,3254
49,4968,06/10/2021,New Robert,North Zachary,SUV,Budget,5,258,Prepaid,Cancelled,3990
49,4995,12/16/2021,Dianebury,West Lydia,Sedan,Sixt,3,483,Full-to-Full,Pending,5373
50,5046,01/02/2020,Robbinston,Fritzfort,SUV,Sixt,5,364,Partial,Pending,5251
50,5048,01/16/2020,Floresside,Port Meghan,Luxury,Sixt,5,252,Prepaid,Confirmed,6619
50,5069,06/11/2020,South Georgeborough,Riverafurt,SUV,Enterprise,1,439,Partial,Cancelled,5800
50,5103,02/04/2021,New Kristenburgh,Lake Marymouth,Hatchback,Budget,5,359,Partial,Cancelled,3359
50,5109,03/18/2021,Lake Jessica,Mclaughlintown,Hatchback,Avis,4,107,Partial,Confirmed,1273
50,5110,03/25/2021,West Veronica,New Katelyn,Hatchback,Avis,4,134,Prepaid,Pending,1509
52,5205,11/12/2020,New Katherineside,Port Andreashire,Hatchback,Sixt,5,268,Partial,Confirmed,2622
52,5206,11/19/2020,Lake Lisa,New Bonnie,Hatchback,Hertz,4,365,Partial,Confirmed,3347
52,5210,12/17/2020,Priceville,Port Larrystad,Hatchback,Enterprise,2,133,Prepaid,Pending,1374
52,5239,07/08/2021,Lake Cassidy,Michaelport,Hatchback,Enterprise,1,222,Partial,Cancelled,2061
52,5268,01/27/2022,East Adam,South Shannonchester,Sedan,Avis,5,349,Partial,Cancelled,4152
54,5374,02/27/2020,North Janet,New Anna,Sedan,Sixt,2,389,Partial,Cancelled,4375
54,5413,11/26/2020,Chloechester,Port Daniel,Hatchback,Avis,3,384,Prepaid,Pending,3433
55,5461,12/05/2019,Chambersfurt,Baileyville,Sedan,Budget,3,114,Full-to-Full,Cancelled,1700
55,5527,03/11/2021,Reesefurt,West Joshua,Hatchback,Hertz,1,119,Prepaid,Pending,1250
55,5528,03/18/2021,Timothymouth,Ashleyfort,Hatchback,Hertz,5,457,Prepaid,Confirmed,4141
55,5538,05/27/2021,Tinafurt,East Shawnstad,SUV,Hertz,4,201,Full-to-Full,Cancelled,3210
56,5642,01/07/2021,Lake Melissafort,Armstrongfort,Sedan,Budget,5,220,Prepaid,Pending,2877
57,5788,03/26/2020,Elizabethburgh,Michaelshire,Sedan,Hertz,3,64,Partial,Confirmed,1188
58,5829,02/27/2020,Garyside,Port Nicholasland,SUV,Hertz,5,176,Prepaid,Confirmed,3010
60,5898,01/30/2020,New James,Boltonton,Sedan,Hertz,1,458,Partial,Pending,4960
60,5911,04/30/2020,New Aaronstad,North Gregory,SUV,Hertz,1,182,Full-to-Full,Pending,2711
60,5912,05/07/2020,Arellanoland,North Brittany,Hatchback,Budget,4,246,Prepaid,Cancelled,2406
60,5937,10/29/2020,Fuentesbury,East Duane,Hatchback,Sixt,4,181,Prepaid,Cancelled,1880
60,5996,12/16/2021,Amandaport,Dominguezland,Hatchback,Hertz,4,291,Partial,Pending,2750
60,6020,06/02/2022,North Jerry,Brettport,SUV,Hertz,2,258,Prepaid,Confirmed,3687
60,6026,07/14/2022,South Jonathan,New Connieberg,Hatchback,Budget,3,224,Partial,Cancelled,2182
60,6030,08/11/2022,Elizabethbury,New Marissa,Luxury,Avis,5,385,Full-to-Full,Cancelled,9282
60,6040,10/20/2022,North Emily,Jacobstad,Hatchback,Enterprise,3,213,Full-to-Full,Pending,2083
61,6070,12/26/2019,Millerbury,Port Margaret,Sedan,Budget,3,278,Prepaid,Pending,3336
61,6084,04/02/2020,Ronaldmouth,Jeffreyborough,Hatchback,Sixt,5,227,Prepaid,Pending,2316
61,6085,04/09/2020,Lake Kenneth,Diazmouth,Sedan,Enterprise,3,491,Full-to-Full,Confirmed,5461
61,6087,04/23/2020,Jamesshire,West Jennifer,Luxury,Sixt,5,274,Prepaid,Cancelled,7059
61,6110,10/01/2020,Pedroside,Port Eileen,SUV,Budget,4,202,Full-to-Full,Cancelled,3231
61,6165,10/21/2021,Lake Gwendolyn,North Justin,SUV,Enterprise,1,295,Prepaid,Cancelled,4045
62,6235,01/09/2020,Sheltonview,Jodyport,SUV,Enterprise,2,216,Prepaid,Pending,3200
63,6408,04/16/2020,East Leah,New Kristifurt,SUV,Budget,4,273,Full-to-Full,Cancelled,4082
63,6422,07/23/2020,West Matthew,East Rachelshire,Hatchback,Sixt,4,257,Partial,Cancelled,2496
64,6558,06/25/2020,Walkerfurt,North Sonyaview,Luxury,Sixt,1,279,Partial,Cancelled,6580
64,6614,07/22/2021,Andersonstad,North Stephen,SUV,Hertz,3,314,Partial,Confirmed,4451
64,6620,09/02/2021,Port Samanthafort,North Lawrenceville,SUV,Sixt,4,131,Prepaid,Cancelled,2344
65,6761,11/12/2020,North Stephanieberg,North Suzanne,SUV,Avis,5,167,Full-to-Full,Pending,2877
65,6812,11/04/2021,West Nicholasfurt,Rodriguezmouth,Sedan,Budget,2,207,Full-to-Full,Confirmed,2526
66,6841,01/09/2020,Lake Christopher,Lloydstad,SUV,Hertz,2,124,Prepaid,Confirmed,2113
66,6868,07/16/2020,East Kennethborough,Taylortown,Luxury,Avis,4,353,Prepaid,Cancelled,8479
67,6994,09/30/2021,Amandaburgh,Mooreport,Hatchback,Hertz,5,456,Full-to-Full,Confirmed,4111
67,6996,10/14/2021,West Janet,Robertsonburgh,Luxury,Enterprise,4,115,Full-to-Full,Cancelled,3729
67,6997,10/21/2021,Nicolemouth,Joelhaven,Luxury,Avis,4,445,Prepaid,Cancelled,10326
67,7033,06/30/2022,Velezmouth,South Melissachester,Sedan,Enterprise,5,179,Partial,Cancelled,2466
67,7036,07/21/2022,Donaldburgh,Port Emily,Hatchback,Avis,5,384,Prepaid,Confirmed,3543
68,7085,08/13/2020,Moyerton,New Michael,Hatchback,Sixt,1,389,Partial,Pending,3382
68,7129,06/17/2021,South Keithfort,Nataliemouth,Luxury,Budget,4,415,Partial,Pending,9740
68,7130,06/24/2021,Tanyachester,West Steventown,Hatchback,Budget,5,176,Full-to-Full,Cancelled,1897
68,7141,09/09/2021,Charlotteville,East Thomas,Hatchback,Avis,2,484,Full-to-Full,Confirmed,4217
68,7145,10/07/2021,West Brookefurt,Smithborough,Sedan,Budget,4,340,Full-to-Full,Cancelled,4010
68,7164,02/17/2022,North Darryl,West Deniseland,Sedan,Hertz,2,264,Prepaid,Pending,3090
69,7250,04/01/2021,Lake Elizabeth,New Donaldbury,Sedan,Budget,2,335,Full-to-Full,Confirmed,3838
69,7251,04/08/2021,Johnland,South Julie,Hatchback,Enterprise,3,356,Prepaid,Confirmed,3247
69,7266,07/22/2021,Ashleyport,Johnsonmouth,SUV,Enterprise,4,425,Partial,Confirmed,5903
69,7294,02/03/2022,New Beverly,Jamesmouth,SUV,Avis,4,344,Full-to-Full,Confirmed,4932
70,7360,09/24/2020,Rivasmouth,Rachelview,Hatchback,Hertz,1,273,Partial,Pending,2469
70,7398,06/17/2021,Snowborough,North Jennifer,Sedan,Hertz,1,75,Full-to-Full,Pending,1159
73,7608,04/30/2020,Mcbridehaven,Cartertown,Sedan,Hertz,4,428,Prepaid,Cancelled,4893
73,7618,07/09/2020,Randolphshire,Michelehaven,Hatchback,Sixt,3,485,Partial,Cancelled,4265
73,7632,10/15/2020,Port Carol,North Monica,Sedan,Sixt,4,261,Prepaid,Confirmed,3237
73,7648,02/04/2021,Alyssaland,South Sandyhaven,SUV,Enterprise,5,464,Partial,Cancelled,6434
73,7655,03/25/2021,Reillyfort,South John,Luxury,Sixt,2,107,Prepaid,Cancelled,3269
75,7775,03/19/2020,North Heather,New Rachel,Luxury,Enterprise,3,305,Partial,Cancelled,7400
75,7780,04/23/2020,East Jasonside,Port Scott,Hatchback,Hertz,2,125,Full-to-Full,Confirmed,1318
75,7825,03/04/2021,Port Jamesport,Wesleyborough,Luxury,Hertz,3,252,Full-to-Full,Cancelled,6328
75,7832,04/22/2021,Mariahside,Jenniferhaven,SUV,Sixt,5,71,Partial,Confirmed,1735
75,7836,05/20/2021,East Josephton,Danafort,Luxury,Avis,3,418,Partial,Cancelled,9631
76,7904,04/30/2020,Robinsonhaven,Michaelton,Luxury,Avis,5,450,Prepaid,Confirmed,10569
77,7929,02/13/2020,Greenborough,North Joseph,Hatchback,Budget,4,470,Partial,Cancelled,4174
77,7934,03/19/2020,Justinside,New Jamesport,Luxury,Avis,4,319,Full-to-Full,Pending,7799
77,7962,10/01/2020,South John,East Ryan,Sedan,Hertz,2,153,Partial,Cancelled,1991
77,7986,03/18/2021,Port Laura,Danahaven,Hatchback,Sixt,3,300,Partial,Cancelled,2776
77,7991,04/22/2021,Port Ambermouth,West Nicole,Luxury,Hertz,3,66,Full-to-Full,Pending,2586
78,8045,06/11/2020,Millertown,East Gregory,Luxury,Enterprise,2,310,Prepaid,Pending,7321
78,8082,02/25/2021,East Amanda,South Kathleenburgh,Sedan,Sixt,1,125,Full-to-Full,Pending,1647
78,8098,06/17/2021,Lyonsport,Sandrafort,Sedan,Avis,5,141,Prepaid,Cancelled,2074
79,8109,10/17/2019,Loganfort,Ashleyville,Hatchback,Sixt,1,218,Prepaid,Confirmed,2026
79,8131,03/19/2020,Port Adriana,Charleston,Luxury,Hertz,5,254,Full-to-Full,Pending,6650
80,8213,02/13/2020,Campbellton,Kellystad,SUV,Budget,5,71,Prepaid,Confirmed,1718
81,8245,02/27/2020,Brittanyland,Knightmouth,Hatchback,Avis,2,208,Partial,Cancelled,2007
82,8329,03/19/2020,Fullerfurt,New Thomas,Sedan,Sixt,5,84,Full-to-Full,Confirmed,1525
82,8333,04/16/2020,Brianberg,Jennifertown,Hatchback,Avis,4,276,Partial,Pending,2644
82,8356,09/24/2020,Port Jeffrey,South Christopher,Hatchback,Budget,3,102,Full-to-Full,Confirmed,1212
82,8357,10/01/2020,Tylerland,West Melissaport,Sedan,Enterprise,5,260,Partial,Confirmed,3268
82,8372,01/14/2021,Washingtonside,Lake Justinbury,SUV,Avis,1,119,Prepaid,Confirmed,1929
82,8385,04/15/2021,New Gregorytown,Lake Micheleside,Luxury,Avis,2,153,Full-to-Full,Pending,4198
83,8550,09/10/2020,Angiestad,Villanuevashire,Luxury,Budget,5,198,Prepaid,Confirmed,5520
84,8704,12/10/2020,Lake Isaiahtown,Brownville,Sedan,Avis,3,180,Partial,Cancelled,2336
90,8834,10/24/2019,Donnaside,Christopherville,Hatchback,Hertz,2,237,Full-to-Full,Cancelled,2207
90,8881,09/17/2020,Craneburgh,West Jasmineberg,Luxury,Avis,3,147,Prepaid,Confirmed,4218
90,8899,01/21/2021,Rodriguezville,West Miaside,Luxury,Sixt,2,131,Prepaid,Cancelled,3751
90,8915,05/13/2021,Melissaberg,West Rebecca,Sedan,Sixt,1,475,Prepaid,Cancelled,5131
90,8951,01/20/2022,Chapmanshire,Port Austinshire,Hatchback,Hertz,3,210,Prepaid,Pending,2077
90,8960,03/24/2022,East Johnton,Danielleport,SUV,Budget,5,91,Prepaid,Pending,1976
