travelCode,User_ID,Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date
307,3,Aracaju (SE),Natal (RN),premium,535.95,0.46,176.33,CloudFy,15/04/2021
311,3,Aracaju (SE),Sao Paulo (SP),economic,410.79,1.02,392.76,CloudFy,13/05/2021
315,3,Recife (PE),Rio de Janeiro (RJ),premium,1270.03,2.3,885.57,CloudFy,06/10/2021
322,3,Aracaju (SE),Natal (RN),firstClass,598.61,0.46,176.33,CloudFy,29/07/2021
325,3,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,19/08/2021
337,3,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,11/11/2021
338,3,Brasilia (DF),Aracaju (SE),economic,721.2,1.11,425.98,Rainbow,18/11/2021
347,3,Recife (PE),Brasilia (DF),economic,393.68,0.63,242.21,CloudFy,20/01/2022
350,3,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,02/10/2022
363,3,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,0.67,257.81,Rainbow,05/12/2022
369,3,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,23/06/2022
373,3,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,21/07/2022
377,3,Aracaju (SE),Florianopolis (SC),economic,869.13,2.1,808.85,CloudFy,18/08/2022
382,3,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,22/09/2022
383,3,Aracaju (SE),Florianopolis (SC),economic,852.18,2.1,808.85,Rainbow,29/09/2022
385,3,Recife (PE),Campo Grande (MS),economic,615.59,1.39,535.4,Rainbow,13/10/2022
387,3,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,27/10/2022
388,3,Aracaju (SE),Natal (RN),premium,535.95,0.46,176.33,CloudFy,11/03/2022
394,3,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,15/12/2022
397,3,Brasilia (DF),Recife (PE),economic,432.1,0.63,242.21,CloudFy,01/05/2023
398,3,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,01/12/2023
403,3,Recife (PE),Sao Paulo (SP),economic,545.95,1.26,486.52,Rainbow,16/02/2023
404,3,Brasilia (DF),Aracaju (SE),firstClass,1260.1,1.11,425.98,CloudFy,23/02/2023
406,3,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,03/09/2023
408,3,Recife (PE),Salvador (BH),premium,1249.83,2.05,788.55,Rainbow,23/03/2023
409,3,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,30/03/2023
410,3,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,04/06/2023
412,3,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,20/04/2023
415,3,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,1.55,597.61,Rainbow,05/11/2023
417,3,Recife (PE),Natal (RN),premium,488.73,0.58,222.67,Rainbow,25/05/2023
418,3,Aracaju (SE),Recife (PE),premium,875.41,1.44,555.74,Rainbow,06/01/2023
419,3,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,06/08/2023
424,3,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,13/07/2023
426,4,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,10/03/2019
431,4,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,11/07/2019
432,4,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,14/11/2019
440,4,Brasilia (DF),Salvador (BH),firstClass,1685.23,1.76,676.56,CloudFy,01/09/2020
442,4,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,23/01/2020
445,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1612.39,2.3,885.57,CloudFy,13/02/2020
447,4,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,0.67,257.81,Rainbow,27/02/2020
450,4,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,19/03/2020
452,4,Aracaju (SE),Florianopolis (SC),economic,852.18,2.1,808.85,Rainbow,04/02/2020
456,4,Brasilia (DF),Rio de Janeiro (RJ),premium,440.69,0.48,183.37,Rainbow,30/04/2020
457,4,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,05/07/2020
468,4,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,23/07/2020
473,4,Recife (PE),Sao Paulo (SP),firstClass,954.78,1.26,486.52,FlyingDrops,27/08/2020
481,4,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,22/10/2020
486,4,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,26/11/2020
490,4,Recife (PE),Rio de Janeiro (RJ),premium,1351.89,2.3,885.57,Rainbow,24/12/2020
491,4,Brasilia (DF),Florianopolis (SC),premium,1189.32,1.66,637.56,CloudFy,31/12/2020
494,4,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,21/01/2021
498,4,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,0.48,183.37,Rainbow,18/02/2021
500,4,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,03/04/2021
501,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1706.89,2.3,885.57,FlyingDrops,03/11/2021
503,4,Aracaju (SE),Florianopolis (SC),firstClass,1515.79,2.1,808.85,CloudFy,25/03/2021
505,4,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,04/08/2021
514,4,Aracaju (SE),Recife (PE),firstClass,1119.47,1.44,555.74,Rainbow,06/10/2021
517,4,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,07/01/2021
529,4,Recife (PE),Sao Paulo (SP),firstClass,980.83,1.26,486.52,Rainbow,23/09/2021
532,4,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,14/10/2021
537,4,Brasilia (DF),Recife (PE),premium,559.13,0.63,242.21,Rainbow,18/11/2021
541,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,16/12/2021
543,4,Brasilia (DF),Campo Grande (MS),firstClass,1009.71,0.72,277.7,FlyingDrops,30/12/2021
545,4,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,13/01/2022
548,4,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,02/03/2022
555,4,Brasilia (DF),Florianopolis (SC),premium,1189.32,1.66,637.56,CloudFy,24/03/2022
556,4,Recife (PE),Salvador (BH),economic,842.11,2.05,788.55,CloudFy,31/03/2022
557,4,Recife (PE),Salvador (BH),premium,1249.83,2.05,788.55,Rainbow,04/07/2022
559,4,Recife (PE),Salvador (BH),economic,842.11,2.05,788.55,CloudFy,21/04/2022
562,4,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,05/12/2022
564,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,26/05/2022
565,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,06/02/2022
574,4,Recife (PE),Brasilia (DF),premium,573.61,0.63,242.21,CloudFy,08/04/2022
578,4,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,09/01/2022
581,4,Brasilia (DF),Rio de Janeiro (RJ),economic,371.04,0.48,183.37,Rainbow,22/09/2022
582,4,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,29/09/2022
586,4,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,27/10/2022
587,4,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,11/03/2022
588,4,Aracaju (SE),Natal (RN),firstClass,577.71,0.46,176.33,FlyingDrops,11/10/2022
590,4,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,24/11/2022
591,4,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,12/01/2022
596,4,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,01/05/2023
598,4,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,19/01/2023
604,4,Aracaju (SE),Sao Paulo (SP),firstClass,756.3,1.02,392.76,FlyingDrops,03/02/2023
605,4,Recife (PE),Florianopolis (SC),economic,761.2,1.76,676.53,CloudFy,03/09/2023
609,4,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,04/06/2023
619,4,Brasilia (DF),Rio de Janeiro (RJ),premium,440.69,0.48,183.37,Rainbow,15/06/2023
621,4,Recife (PE),Brasilia (DF),premium,573.61,0.63,242.21,CloudFy,29/06/2023
623,4,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,13/07/2023
624,5,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,26/09/2019
638,5,Recife (PE),Salvador (BH),economic,861.68,2.05,788.55,Rainbow,01/02/2020
643,5,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,0.67,257.81,Rainbow,02/06/2020
644,5,Recife (PE),Salvador (BH),economic,861.68,2.05,788.55,Rainbow,13/02/2020
646,5,Recife (PE),Salvador (BH),firstClass,1484.94,2.05,788.55,CloudFy,27/02/2020
648,5,Brasilia (DF),Rio de Janeiro (RJ),premium,457.95,0.48,183.37,CloudFy,03/12/2020
658,5,Recife (PE),Natal (RN),firstClass,628.96,0.58,222.67,Rainbow,21/05/2020
668,5,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,30/07/2020
670,5,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,13/08/2020
676,5,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,24/09/2020
680,5,Recife (PE),Sao Paulo (SP),premium,657.87,1.26,486.52,CloudFy,22/10/2020
683,5,Brasilia (DF),Sao Paulo (SP),firstClass,904.0,0.67,257.81,FlyingDrops,11/12/2020
687,5,Recife (PE),Aracaju (SE),firstClass,1300.81,1.44,555.74,FlyingDrops,12/10/2020
688,6,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,26/09/2019
690,6,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,10/10/2019
695,6,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,14/11/2019
696,6,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,21/11/2019
698,6,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,12/05/2019
699,6,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,12/12/2019
701,6,Recife (PE),Brasilia (DF),firstClass,721.93,0.63,242.21,Rainbow,26/12/2019
707,6,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,02/06/2020
711,6,Recife (PE),Sao Paulo (SP),premium,657.87,1.26,486.52,CloudFy,03/05/2020
712,6,Aracaju (SE),Florianopolis (SC),economic,852.18,2.1,808.85,Rainbow,03/12/2020
718,6,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,23/04/2020
719,6,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,30/04/2020
723,6,Aracaju (SE),Brasilia (DF),economic,472.72,1.11,425.98,CloudFy,28/05/2020
739,6,Recife (PE),Sao Paulo (SP),premium,657.87,1.26,486.52,CloudFy,17/09/2020
745,6,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,29/10/2020
746,6,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,1.55,597.61,FlyingDrops,11/05/2020
747,6,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,11/12/2020
749,6,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,26/11/2020
753,6,Recife (PE),Brasilia (DF),firstClass,697.22,0.63,242.21,FlyingDrops,24/12/2020
754,6,Aracaju (SE),Natal (RN),firstClass,577.71,0.46,176.33,FlyingDrops,31/12/2020
755,6,Aracaju (SE),Salvador (BH),economic,943.36,2.16,830.86,Rainbow,01/07/2021
762,6,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,1.55,597.61,FlyingDrops,25/02/2021
767,6,Brasilia (DF),Sao Paulo (SP),premium,750.0,0.67,257.81,Rainbow,04/01/2021
778,7,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,21/11/2019
787,7,Recife (PE),Campo Grande (MS),firstClass,1110.76,1.39,535.4,CloudFy,23/01/2020
788,7,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,30/01/2020
793,7,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,0.48,183.37,Rainbow,03/05/2020
795,7,Brasilia (DF),Campo Grande (MS),economic,583.6,0.72,277.7,CloudFy,19/03/2020
803,7,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,14/05/2020
805,7,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,28/05/2020
806,7,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,06/04/2020
808,7,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,18/06/2020
809,7,Aracaju (SE),Brasilia (DF),economic,548.62,1.11,425.98,Rainbow,25/06/2020
812,7,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,16/07/2020
815,7,Brasilia (DF),Recife (PE),premium,559.13,0.63,242.21,Rainbow,08/06/2020
817,7,Aracaju (SE),Natal (RN),firstClass,577.71,0.46,176.33,FlyingDrops,20/08/2020
819,7,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,09/03/2020
823,8,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,10/03/2019
826,8,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,24/10/2019
827,8,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,31/10/2019
830,8,Aracaju (SE),Natal (RN),premium,535.95,0.46,176.33,CloudFy,21/11/2019
834,8,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,19/12/2019
836,8,Recife (PE),Sao Paulo (SP),premium,657.87,1.26,486.52,CloudFy,01/02/2020
838,8,Recife (PE),Natal (RN),premium,488.73,0.58,222.67,Rainbow,16/01/2020
840,8,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,30/01/2020
852,8,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,23/04/2020
857,8,Brasilia (DF),Rio de Janeiro (RJ),premium,440.69,0.48,183.37,Rainbow,28/05/2020
861,8,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,1.55,597.61,FlyingDrops,25/06/2020
862,8,Recife (PE),Rio de Janeiro (RJ),firstClass,1612.39,2.3,885.57,CloudFy,07/02/2020
864,8,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,16/07/2020
865,8,Aracaju (SE),Campo Grande (MS),economic,750.92,1.69,650.1,CloudFy,23/07/2020
869,8,Recife (PE),Brasilia (DF),economic,439.38,0.63,242.21,Rainbow,20/08/2020
871,8,Recife (PE),Natal (RN),premium,488.73,0.58,222.67,Rainbow,09/03/2020
892,8,Brasilia (DF),Florianopolis (SC),premium,1189.32,1.66,637.56,CloudFy,28/01/2021
894,8,Recife (PE),Brasilia (DF),firstClass,721.93,0.63,242.21,Rainbow,02/11/2021
900,8,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,25/03/2021
904,8,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,22/04/2021
907,8,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,13/05/2021
911,8,Aracaju (SE),Natal (RN),premium,535.95,0.46,176.33,CloudFy,06/10/2021
913,8,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,24/06/2021
914,8,Aracaju (SE),Natal (RN),firstClass,598.61,0.46,176.33,CloudFy,07/01/2021
917,8,Aracaju (SE),Natal (RN),economic,380.32,0.46,176.33,Rainbow,22/07/2021
919,8,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,08/05/2021
920,8,Brasilia (DF),Natal (RN),premium,1107.52,1.43,550.69,Rainbow,08/12/2021
922,8,Aracaju (SE),Recife (PE),premium,875.41,1.44,555.74,Rainbow,26/08/2021
923,8,Brasilia (DF),Florianopolis (SC),economic,884.94,1.66,637.56,CloudFy,09/02/2021
925,8,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,16/09/2021
928,8,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,10/07/2021
932,8,Recife (PE),Salvador (BH),firstClass,1470.41,2.05,788.55,Rainbow,11/04/2021
935,8,Aracaju (SE),Natal (RN),premium,427.25,0.46,176.33,Rainbow,25/11/2021
938,8,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,16/12/2021
942,8,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,13/01/2022
944,8,Aracaju (SE),Recife (PE),firstClass,1124.11,1.44,555.74,CloudFy,27/01/2022
945,8,Brasilia (DF),Natal (RN),premium,1107.52,1.43,550.69,Rainbow,02/03/2022
948,8,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,24/02/2022
950,8,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,03/10/2022
957,8,Recife (PE),Aracaju (SE),premium,932.22,1.44,555.74,Rainbow,28/04/2022
